Subjects,Twin_MZ_1A,Twin_MZ_2A,NotTwin1,Twin_DZ_1A,Twin_DZ_2A,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_MZ_3A,NotTwin2,Twin_MZ_4A,NotTwin3,Twin_DZ_2B,Twin_MZ_5A,Twin_MZ_6A,NotTwin4,NotTwin5,NotTwin6,Twin_DZ_5A,Twin_MZ_7A,Twin_DZ_6A,Twin_MZ_8A,Twin_MZ_3B,NotTwin7,Twin_MZ_9A,Twin_MZ_10A,Twin_DZ_7A,NotTwin9,NotTwin10,NotTwin11,Twin_MZ_11A,Twin_MZ_12A,NotTwin12,NotTwin13,Twin_MZ_13A,Twin_DZ_8A,Twin_MZ_11B,Twin_DZ_9A,Twin_MZ_14A,Twin_MZ_15A,Twin_MZ_14B,NotTwin14,Twin_DZ_10A,Twin_MZ_10B,Twin_MZ_8B,NotTwin15,Twin_DZ_4B,Twin_MZ_16A,Twin_DZ_11A,Twin_MZ_17A,Twin_MZ_1B,Twin_MZ_4B,Twin_DZ_6B,Twin_MZ_18A,Twin_DZ_10B,NotTwin16,Twin_MZ_16B,Twin_DZ_12A,NotTwin17,Twin_DZ_7B,Twin_MZ_6B,NotTwin18,NotTwin19,Twin_DZ_8B,Twin_MZ_7B,Twin_MZ_15B,NotTwin20,Twin_MZ_12B,Twin_MZ_18B,NotTwin21,NotTwin22,Twin_MZ_19A,NotTwin23,Twin_MZ_2B,NotTwin8,NotTwin24,Twin_DZ_1B,Twin_DZ_13A,Twin_DZ_12B,Twin_MZ_5B,Twin_DZ_13B,Twin_DZ_9B,Twin_MZ_13B,Twin_MZ_17B,Twin_DZ_11B,Twin_DZ_5B,Twin_MZ_9B,NotTwin25,Twin_MZ_19B
Twin_MZ_1A,0.9393740675264778,0.8297180324051453,0.846983192810055,0.7952128126114721,0.7955435869436474,0.8782479764166915,0.7924465075821213,0.8391765621097376,0.8644983079824875,0.7302572587247069,0.8192112185720759,0.8872533639203642,0.7876008778553613,0.7931737837914812,0.8319849731661978,0.8827850286320288,0.8489617386318729,0.7490670762667516,0.801036338948337,0.8529601155136337,0.8251531443468949,0.8960964359901695,0.855095119765095,0.784200036579874,0.8533809750451944,0.8533841373976274,0.8314699404005621,0.7651095725546639,0.8602727922829305,0.8601108847082808,0.8091982898435176,0.7625962654367013,0.8379797793172181,0.8509308155795774,0.7878065515818627,0.7725488641415148,0.8074283051588207,0.7797306635990263,0.807975292406095,0.8605731416888691,0.8107877150539247,0.8610595486542267,0.8250043574304571,0.8569145270351701,0.8770966100967863,0.7989413248864916,0.8380792934422636,0.7939554018571191,0.8039554938084775,0.8842678920708589,0.893391410604967,0.8216790090952247,0.845869832386287,0.8804450177842281,0.6042576969510671,0.79963519503188,0.8137790367319423,0.8739667680550338,0.8741718574042768,0.8528125475838919,0.8393640240853061,0.8274382006736352,0.7462040016575816,0.7737055579939448,0.8473209848084668,0.8659326369973134,0.7936459724439192,0.772524483174788,0.8539833291320437,0.8890247426124509,0.7993939921954977,0.7837780447036968,0.7886418441928167,0.8106338988608711,0.8647727812341656,0.8693122173063617,0.8277539850653497,0.7890095977364339,0.8346320282562716,0.7929015116066005,0.7971772233405761,0.8362055709732653,0.7949520149285922,0.8732192597178133,0.7834124537872058,0.8221255521153753,0.845777210476571,0.774189235532464,0.7998861186443701
Twin_MZ_2A,0.8166959511413833,0.9752860920233507,0.7818246021309687,0.7621610151495705,0.796404435064215,0.876173765555766,0.784768525728787,0.7937331621350554,0.8660079691660127,0.6657768293014138,0.8005667689831254,0.8345091935138645,0.716920477542259,0.7871407721540253,0.8010665463844031,0.8668997009485226,0.8391942467835579,0.6973092140506276,0.8518066997386768,0.8383269950494027,0.8572755912645048,0.8389502238727382,0.897426625377423,0.7610782838829582,0.8366008950270623,0.871091683479986,0.7568732570871133,0.7493036075028294,0.81505962333134,0.8540500254084966,0.7845382504368348,0.7109068800892597,0.8418456133060469,0.8610452446124648,0.7684298949402,0.7644445178480542,0.7936291295233404,0.7351893247536383,0.7703381237487701,0.8689307437794261,0.7920361006853843,0.8444648731793962,0.8314680483457553,0.8790640695700684,0.850251291399233,0.7569857442495472,0.8686220453184507,0.7858521126521574,0.7983401573903698,0.8678980772943662,0.7925513483686979,0.8074909362467989,0.8168625658725154,0.8193685979877036,0.677041032658206,0.7566447835083677,0.7919155397862541,0.8288949278700368,0.8032750701332003,0.8638139622212971,0.8100797049401921,0.7938732067269215,0.7379303008478828,0.7659291701051424,0.8319626873687755,0.8743714316994827,0.7431135663921647,0.7061084674515126,0.8026829066349846,0.849947359852581,0.8146643790511305,0.8067879154622458,0.8279717050160458,0.9057286476833135,0.8280657109562497,0.8634647251043384,0.8417956724092093,0.7524449637992008,0.8448307243391464,0.7826521895915599,0.7712831294813064,0.809232587418959,0.7601516413260385,0.8510805541653641,0.7371546235991014,0.8616960123530545,0.8206913156914538,0.8102701745793197,0.8214038119585515
NotTwin1,0.8384910546494038,0.7344831815623124,0.9840629444661276,0.7874413129374621,0.8240903559791919,0.8525006003922962,0.8059554110695749,0.8447511747159568,0.8514754932951167,0.7296808600533423,0.8267130315376388,0.8831111343244449,0.8218774961669015,0.8464828075217299,0.8424813883797402,0.8613341396083797,0.8292511468863786,0.7736884110173251,0.7726753224235695,0.8683709033004432,0.8024349088123159,0.8430816196713992,0.7771537505778432,0.8212837969427779,0.8812299498479249,0.8119836420753245,0.8531378082810674,0.8160062099073502,0.8604975563295618,0.8677865302049178,0.8577840196678712,0.790956471826295,0.8595727783727026,0.8302936888772346,0.8033727814766022,0.8180815659972726,0.8492201729477576,0.8092888781532077,0.829830511154874,0.8125311930295862,0.8378743855440219,0.8491707908200292,0.8497126863533379,0.8154889902575884,0.8619316395726954,0.8223875010851597,0.8176566345293045,0.827488247599135,0.8312938509735862,0.8534834984438283,0.8545742370951359,0.8314177475411095,0.8267872199219448,0.8333986846918918,0.6888026437205477,0.8302468327867221,0.8487850754111944,0.8183723975409705,0.8812716498188908,0.810824396379968,0.8354837513431205,0.8706247640856305,0.8112452170752399,0.8338482742212507,0.8547474372771394,0.8190857279877729,0.8001692989404331,0.783180538986915,0.8307207502420348,0.836313394234897,0.8414454358000166,0.7972782158750382,0.772524363502965,0.7455585556830986,0.8428566475519351,0.8601198196985614,0.8564139234547369,0.8333330148352794,0.8267952980505097,0.7990521383226403,0.8421112466754476,0.8493073882653034,0.7878430421021387,0.8385885974202789,0.8050657161058303,0.8277034711596585,0.8723363944189557,0.7758021904525864,0.7998961791365033
Twin_DZ_1A,0.7604605195532443,0.7131594638238385,0.816730694033655,0.969248187131061,0.870676754906504,0.8544992635929214,0.8537241841881549,0.8531500128696256,0.8610132273110349,0.8314666126415265,0.8616550642350229,0.7992154451532025,0.807158375608475,0.8772148328133238,0.8456278628188968,0.8259529122033799,0.7959195639619113,0.8270952116836157,0.8454199517795813,0.8332852625374,0.780746546423478,0.7631588064306922,0.7730953016484912,0.8715523350718007,0.8344353097703249,0.7639118587761589,0.8070237360494645,0.7993012164156539,0.7405652257409785,0.8362076882838286,0.8515617839102538,0.8030367599899308,0.8458495183872716,0.8480897698392111,0.8547562022919908,0.8357954746935808,0.8504521992149469,0.8572773922922003,0.8834334344534533,0.7503038546001163,0.8738620729096755,0.7870976329846543,0.8781897800694476,0.8138988265991124,0.8106766654862982,0.8407911208228891,0.7887065084398681,0.8369353961537125,0.8799194679675587,0.7871751255790144,0.7465213160178747,0.8771421563454881,0.6694384337332909,0.7378532018613903,0.6714318433303662,0.8532255647576492,0.8501335300969192,0.7759418390656586,0.8329132215632612,0.7243068519974651,0.8402390107039202,0.8537864476492466,0.8329798476918996,0.8567559286932732,0.8064451327192248,0.7510160691168616,0.8654578190899214,0.8106255616029068,0.6963786488558916,0.8552268480626113,0.8421036159807638,0.8767339747928239,0.8460458429995112,0.7204224498156229,0.8559340167716806,0.8165955540486106,0.8560311802555515,0.8668131471414101,0.815882282329562,0.8649437213080253,0.8652305319142998,0.868358915204509,0.8930077345567078,0.7584118760655575,0.8460003846717312,0.7766565570075188,0.8327162301966382,0.8198290438523449,0.8688840486835125
Twin_DZ_2A,0.7767941888234909,0.7480784608279409,0.854905909325091,0.8836533652264312,0.9865658589773079,0.8690394325041447,0.8957488477084035,0.8826415250389816,0.8769379699473973,0.8476694491682587,0.9004644592252118,0.8415115497696433,0.8501689908842204,0.8876037590157619,0.8868651917265574,0.8697735350511477,0.8310081926163646,0.8394954556756759,0.8673299863314906,0.8732702278132333,0.8138823525812533,0.7976689527840591,0.8122528763223711,0.8832362673287303,0.8830278760448376,0.8258825546283065,0.8489005133507397,0.8175212674548079,0.7626575387990737,0.8539528264391514,0.8724397971810048,0.8447031858248972,0.8781165965809767,0.8680338735203506,0.8490640407323125,0.8556424158495167,0.8987753823126685,0.8944267758994233,0.9007615613299172,0.7734468931653083,0.8840350947009972,0.8067565511439829,0.8941310152640257,0.8462935538888772,0.8452084239781337,0.8580630345093243,0.8357407666083375,0.8618660877733809,0.9027092182380175,0.8121590019206109,0.7734315879032542,0.903103612869473,0.7239903523365727,0.7631786237259195,0.6984573812489778,0.8698040138542873,0.8840033787086803,0.8100345710050474,0.8596786394818723,0.7664339087049925,0.8847492094843636,0.8779751785391555,0.8814479971877163,0.8716691979939231,0.8627953537543438,0.800361189066546,0.892378397748166,0.8449355679430441,0.7408803365748217,0.8660280407121353,0.8600012637326422,0.886263013539283,0.8836534430939499,0.7688750439457487,0.8789749911628336,0.8683435626850275,0.8889977934571692,0.899263479965069,0.850427720987853,0.8800378256499637,0.9081391337136124,0.8974927276873961,0.8828594196100279,0.7845438842911939,0.8517758491414986,0.821351178833821,0.8609670513596408,0.8405991498783921,0.8915440866405707
Twin_DZ_3A,0.8445464649526103,0.8081011040795159,0.871944143121586,0.8807074494715387,0.8880523599368572,0.9867760471227212,0.9021733336868166,0.9029747689482607,0.9187034628415616,0.8325572477776815,0.8925160434713278,0.8701909332087796,0.8682645337745387,0.8938958173616685,0.900137653488875,0.8936688625728945,0.8717933240314,0.8602068647955307,0.8634559004446323,0.8865965602328006,0.837231876322279,0.8575006521571119,0.8515919083419522,0.8910495803792144,0.9125830736927262,0.8629639313976973,0.8866753901076456,0.8720195290996973,0.8248046152075657,0.889729727130218,0.9060570492494462,0.8651224035910512,0.8926741624155692,0.8896010832939941,0.8749341025853655,0.8683882531912692,0.8797735056864315,0.8821332162857596,0.8909260241720353,0.8322141517069825,0.8823869113936661,0.8426259285362233,0.8958932408214006,0.8861593020731029,0.8863428603741901,0.8767244607428964,0.8859390295308806,0.8692029705517125,0.8958433644762687,0.857815973712045,0.8291142289108844,0.9138880477751592,0.7958859097806213,0.8291754282734017,0.6840324162607568,0.8848062162149758,0.8785616383865578,0.8510164202544973,0.8840152556876286,0.8341233487142793,0.8978663520236001,0.903611725657722,0.8506479677031021,0.8484826893314902,0.8650786727221778,0.846586653309688,0.8789112465639736,0.8637844671260714,0.8098878111367804,0.9000109949984066,0.8734927773494496,0.8834644415716956,0.85010987592177,0.8095070930669264,0.9043810624749358,0.9087663092301398,0.8940359363311449,0.8870574163853785,0.862632772064125,0.8907358945757671,0.8721321307041687,0.8784595161628899,0.8664392095653237,0.8365570966207814,0.8715674710295543,0.8399059852095063,0.8982178480756033,0.8292900927120087,0.8902782087787264
Twin_DZ_3B,0.7384716763025532,0.7182105021245223,0.8176278149327422,0.8831474224820914,0.9007147604879956,0.8634326183514823,0.9873535000757473,0.871096484241344,0.8658432149729621,0.8445867130577343,0.888494686962033,0.8228614191361969,0.8672725645722847,0.8765481607285539,0.8772796802307707,0.8571798235466377,0.8261633799405937,0.8588633345599206,0.8532051969935107,0.8519030491605687,0.7674080418020042,0.7796640263263652,0.7852874179269802,0.897340989339745,0.8674558773367872,0.7911632644317774,0.8193279375734216,0.8428560084654381,0.7524247945416255,0.8255855524538076,0.8718377036880146,0.8219821807787344,0.853248694396312,0.8441054068159601,0.8416275962089965,0.8802299297764306,0.8649022530179866,0.9018019833193434,0.892271767898467,0.7247118943647938,0.8847271934622244,0.78320367755757,0.8704967745969903,0.8170967316002129,0.8290584854852485,0.8755806502541519,0.8077050045016949,0.8578376923611836,0.8855349081382514,0.7799019264454262,0.7485193947270835,0.9039240564306181,0.6984130139228558,0.7564178612175855,0.6781882243739336,0.8743674098770036,0.8571697365638606,0.8041240463226694,0.862441527377083,0.7346705814754411,0.8923076965215667,0.8651852418750782,0.8574030296712558,0.8472849908376205,0.8504629865269643,0.7552027796048966,0.8974163756856752,0.8460818671012067,0.7300758086043857,0.845346396705917,0.8470347597830885,0.8646665894198603,0.8428921826321405,0.720609387473811,0.8713768905097159,0.8264626524938122,0.8592434525886944,0.8939431781358403,0.8301768295238049,0.9025120468932044,0.8788044475433612,0.863539154849429,0.8525463402608973,0.7372471725794476,0.8560948326106241,0.8056263616048442,0.8483478790048837,0.8122549069698088,0.8678153599180808
Twin_DZ_4A,0.8043441874118884,0.7353437872255968,0.8580654997907575,0.8731002328368587,0.889340853704965,0.8763834266652303,0.8740543328933226,0.9920523695761455,0.8883739712925904,0.8453185353884163,0.8790736898955618,0.841594671569815,0.8915442841690009,0.8860614156033172,0.894513258693804,0.8608051858170793,0.8341031678396722,0.8647035941903469,0.8384520650959683,0.846814328998056,0.7986642380806002,0.8271435070964617,0.8011617231479191,0.8932597957661002,0.8812619375273752,0.7995763405232093,0.8675514430017097,0.8435908870226907,0.7794268465874371,0.8362229115516653,0.8819644035951042,0.8775871356465561,0.840323371447594,0.8615212182988946,0.8537836151701466,0.8756887528519033,0.8674156076770675,0.8821145101935604,0.8894583837302771,0.7618173110309813,0.8979303000154943,0.7878577292195188,0.8653938439828776,0.8360719928195972,0.8626897597721873,0.8801285025021236,0.8302767349232225,0.8364839531776965,0.8947701333915288,0.7948445076238285,0.7977117785123895,0.8812289099483258,0.7419371870809628,0.7804062414613055,0.6467855410538174,0.8805646155136369,0.8713349629717604,0.8330116537364832,0.879828152998161,0.7679045183298188,0.8894776866570397,0.8781331034880464,0.8595221527937644,0.8631666431881835,0.8272203296937686,0.8055219991017282,0.8957064084313734,0.8768229736771144,0.7669611118435471,0.8469204101641828,0.8433578026960619,0.8679603101574357,0.8288284719328295,0.7401195896996846,0.869912375155611,0.8532902860570142,0.8625570378671565,0.8718217995048092,0.8368619449947301,0.8838488428309076,0.8877109849501624,0.8648226859785645,0.8589788181463702,0.7767483303241876,0.8785215331333297,0.8030449685745841,0.8646290044322965,0.788024833557838,0.8820272339806925
Twin_MZ_3A,0.8272296838452191,0.8674391742128841,0.8467680545840891,0.8302520678037653,0.8512667791051016,0.9097851062574331,0.8437535689619389,0.8464592606731156,0.9622766014698491,0.7229979398871393,0.8741867152512339,0.8781158884173348,0.7939087188403685,0.8600133128489351,0.8403364591480816,0.9009563366407798,0.8679032121791106,0.7544446030790123,0.8844430903785434,0.8753694184894334,0.8727948753146191,0.8660536685290854,0.906494742788205,0.8299169004432482,0.8841167259307375,0.8532431264192333,0.8178938049097241,0.8100165898147023,0.8475273548698199,0.8867044220631286,0.8374253982384297,0.7610904527089133,0.8986586059436629,0.8739087055890923,0.8171392107994507,0.8339431327899639,0.8574674544769574,0.8053265386813192,0.8251656141675638,0.8634739813110063,0.8438659633094385,0.8904862302457135,0.8819591394353581,0.8842833021621967,0.8753543604585267,0.8222854368199463,0.9011169996610204,0.8511761569970779,0.85079782157391,0.878668406398963,0.8195016329086499,0.8707666664606531,0.8261353809989888,0.8362247635860551,0.7149453387795597,0.8060508891830879,0.8619637579503125,0.8459379480076841,0.8688772277777872,0.8623577554109179,0.850661671389014,0.859018320207918,0.7973525728474399,0.8368957366856337,0.8666258332246752,0.8744452447889325,0.8128842735126595,0.7519628568013645,0.8263202047511533,0.8669194747847224,0.8680610315047639,0.8513787271889254,0.8518311900438925,0.8775574793223241,0.8821966484291074,0.8857588194130889,0.8885237261184942,0.823171255633104,0.8744544701592276,0.8362034783520526,0.8353034010939974,0.85604790521229,0.8107098253122759,0.8657576416502648,0.794960492280749,0.8923186823841086,0.8701969472687694,0.849421346921679,0.8595663070135915
NotTwin2,0.7356293017191605,0.6650357994061715,0.8334796613218947,0.8827224082343502,0.8870177605975549,0.8398065731709513,0.8749756385836823,0.8681175286658961,0.852586501348753,0.9594938925337012,0.8678935856422673,0.7972759455219304,0.8620142440693384,0.8755346403797326,0.8610072722279842,0.8198084673401261,0.8147257206129026,0.898524714624912,0.7902463756699982,0.8498651801841463,0.7524042548195613,0.7644810240352022,0.7383904785823061,0.9062952039687715,0.8419354938762044,0.7519302782691129,0.8694392632549435,0.8677113470634925,0.7261397307557815,0.8435949840646739,0.8875947705745866,0.890767994353643,0.8277961377449885,0.8290417643791254,0.8339147400763501,0.8560120648199641,0.8870846137137842,0.8858773729235958,0.920907054725677,0.6905841925249778,0.8929990250730365,0.7503394385499208,0.8822671493133608,0.7958527988273126,0.8201770993425724,0.8868451247031162,0.7687749388368839,0.8589651566753302,0.8840634051186497,0.7488317259045165,0.7406587852690643,0.8965429145004387,0.6833432840722095,0.7271656171913884,0.6692925640038938,0.8910677607683081,0.8672323254761054,0.7629751393086531,0.8297957692366645,0.7077324992019529,0.8471600018963843,0.9037637354510457,0.8886804567638384,0.8844962675839958,0.8208110381906557,0.731688244451068,0.9047029019195336,0.9023178217453636,0.695969541082263,0.8430943584236842,0.8460101576063,0.846626273472734,0.7767348197715064,0.6783217615960613,0.844711939739399,0.8206670202426545,0.8448020562312554,0.8914616441165111,0.78960250662134,0.905410899394665,0.8801466326011894,0.8762016155695994,0.860479948184265,0.7120946530108655,0.8881164337891304,0.7323489881251325,0.8536668860836187,0.7513693361995286,0.8378704077346686
