,Acc Autocorr,Acc Crosscorr MZ,Acc Crosscorr DZ
0,0.775,0.6176470588235294,0.0
1,0.7875,0.5588235294117647,0.0
2,0.775,0.6176470588235294,0.0
3,0.7875,0.6470588235294118,0.0
4,0.7625,0.5588235294117647,0.0
5,0.775,0.5588235294117647,0.0
6,0.7625,0.5294117647058824,0.0
7,0.775,0.5588235294117647,0.0
8,0.8,0.6176470588235294,0.0
9,0.7875,0.6470588235294118,0.0
10,0.7875,0.6470588235294118,0.0
11,0.7625,0.5882352941176471,0.0
12,0.8,0.6470588235294118,0.0
13,0.775,0.6176470588235294,0.0
14,0.775,0.5588235294117647,0.0
15,0.7625,0.6176470588235294,0.0
16,0.775,0.5882352941176471,0.0
17,0.7875,0.6176470588235294,0.0
18,0.775,0.5294117647058824,0.0
19,0.75,0.5294117647058824,0.0
20,0.8,0.6176470588235294,0.0
21,0.7625,0.5588235294117647,0.0
22,0.775,0.5294117647058824,0.0
23,0.7625,0.5882352941176471,0.0
24,0.775,0.5882352941176471,0.0
25,0.775,0.5588235294117647,0.0
26,0.7625,0.5294117647058824,0.0
27,0.7875,0.6176470588235294,0.0
28,0.775,0.6176470588235294,0.0
29,0.8125,0.6470588235294118,0.0
30,0.775,0.6176470588235294,0.041666666666666664
31,0.7625,0.5882352941176471,0.0
32,0.7875,0.5588235294117647,0.0
33,0.7875,0.6176470588235294,0.0
34,0.775,0.6470588235294118,0.0
35,0.8,0.5882352941176471,0.0
36,0.775,0.6470588235294118,0.0
37,0.775,0.5294117647058824,0.0
38,0.7875,0.5882352941176471,0.0
39,0.7875,0.5588235294117647,0.0
40,0.8,0.6176470588235294,0.0
41,0.7625,0.5882352941176471,0.041666666666666664
42,0.75,0.5,0.0
43,0.7875,0.5882352941176471,0.0
44,0.8,0.5882352941176471,0.0
45,0.775,0.5588235294117647,0.0
46,0.7875,0.5882352941176471,0.0
47,0.775,0.5588235294117647,0.0
48,0.7625,0.5588235294117647,0.0
49,0.775,0.5588235294117647,0.0
50,0.7875,0.5882352941176471,0.0
51,0.7625,0.5882352941176471,0.0
52,0.775,0.5882352941176471,0.0
53,0.7625,0.5588235294117647,0.0
54,0.7625,0.5294117647058824,0.0
55,0.8,0.5882352941176471,0.0
56,0.75,0.5294117647058824,0.0
57,0.775,0.6176470588235294,0.0
58,0.775,0.5882352941176471,0.0
59,0.775,0.5588235294117647,0.0
60,0.775,0.5882352941176471,0.0
61,0.775,0.5588235294117647,0.0
62,0.775,0.5882352941176471,0.041666666666666664
63,0.775,0.5294117647058824,0.0
64,0.7875,0.6470588235294118,0.0
65,0.775,0.6176470588235294,0.0
66,0.7625,0.5882352941176471,0.041666666666666664
67,0.775,0.5882352941176471,0.0
68,0.7625,0.6470588235294118,0.041666666666666664
69,0.825,0.6176470588235294,0.0
70,0.775,0.6176470588235294,0.0
71,0.7625,0.5588235294117647,0.041666666666666664
72,0.775,0.5294117647058824,0.0
73,0.8,0.6176470588235294,0.0
