Frequencies_Band,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
BROADBAND,0.9899907980295007,0.9862055778229767,0.975838469069041,0.9741524259441708,0.013420577629728021,0.015206951921884555,0.016450415117603968,0.01116136211558433
DELTA,0.9340767549922708,0.9210207716420391,0.9031902359564113,0.8836737190365728,0.09381733191439963,0.10474777605753002,0.10671464012602609,0.11456491769069077
THETA,0.7075024985462688,0.6191699756132981,0.5156986202255308,0.15869340886604455,0.25958622632731,0.2710442379403017,0.2630925034147619,0.3377549751916555
ALPHA,0.8786696246937151,0.8223984374197538,0.5862950981397939,0.5222222473287432,0.12550204833931503,0.1391314990207989,0.18205568785295473,0.2599697476441848
BETA,0.912868000777832,0.8889188080907244,0.7910406775012593,0.7726752683911092,0.11231491111845507,0.11940265096075496,0.12644206987445236,0.14042541632181976
GAMMA,0.9323906892591319,0.9113042593170192,0.8683450969306128,0.8649935321935062,0.08878357291134083,0.09967154123863681,0.10997104122746394,0.07857674236369455
HIGH GAMMA,0.9534217693054298,0.9254876760984266,0.9088556767849172,0.9095715025263473,0.06755228891506956,0.0724618013614967,0.09665336611927765,0.036652537994445324
