Frequencies_Band,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
BROADBAND,0.9899907980295007,0.9862055778229769,0.975838469069041,0.9707964187524428,0.013420577629728021,0.015206951921884553,0.016450415117603968,0.016645797829588208
DELTA,0.9340767549922708,0.9210207716420389,0.9031902359564113,0.8811974072728841,0.09381733191439963,0.10474777605753004,0.10671464012602609,0.1119583614261912
THETA,0.7075024985462688,0.6191699756132981,0.5156986202255308,0.16951964285126953,0.25958622632731,0.2710442379403017,0.2630925034147619,0.34249324939244663
ALPHA,0.8786696246937151,0.8223984374197538,0.5862950981397939,0.5469292589851572,0.12550204833931503,0.1391314990207989,0.18205568785295473,0.24708414832665715
BETA,0.912868000777832,0.8889188080907244,0.7910406775012593,0.7484846377859424,0.11231491111845507,0.11940265096075496,0.12644206987445236,0.1761011945819169
GAMMA,0.9323906892591319,0.9113042593170192,0.8683450969306128,0.8545776074953402,0.08878357291134083,0.09967154123863681,0.10997104122746394,0.10319614050293936
HIGH GAMMA,0.9534217693054298,0.9254876760984266,0.9088556767849172,0.8995865421183067,0.06755228891506956,0.0724618013614967,0.09665336611927765,0.07607925651379004
