Frequencies_Band,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
BROADBAND,0.9862780575820856,0.9635481696582041,0.9558124521817747,0.9503131163656814,0.017932198137621484,0.02531130650525186,0.021018811072571513,0.013775485863454428
DELTA,0.9465852633913614,0.8936180955665993,0.8999663449793063,0.8693746699855478,0.07847326931969276,0.0902878416322586,0.05609465361942344,0.0814130807859116
THETA,0.9501524573229626,0.8910679483488483,0.8734527848998039,0.8140166070172832,0.06793089155779658,0.05778690360466901,0.05204646822291231,0.07408711608361862
ALPHA,0.9560380744864593,0.9031586383191735,0.8460579723434527,0.8089681090556636,0.061064199399319403,0.04498036134919979,0.068646326901128,0.0884552590437607
BETA,0.962244422489973,0.9132541046971511,0.8766677030734519,0.8612542014068654,0.04970618321066793,0.05326347117990009,0.05160254848162433,0.050546383217287015
GAMMA,0.968463704478082,0.91031718942372,0.897522351140422,0.8814775610812235,0.0443869282750725,0.04970329647654874,0.04650296361729563,0.038074099999870006
HIGH GAMMA,0.9664053588439594,0.8978506593777087,0.8918342588279179,0.8739856098870246,0.04241366115337343,0.05210153830065921,0.054217847626068114,0.03541912367936509
