region_2,lobe,region_1,hemi_1,region,Yeo
 Default_PHC_1 ,LT, Default_PFC_4 L ,L,7Networks_LH_Default_PHC_1,DMN
 Default_Par_1 ,LP, Default_PFC_5 L ,L,7Networks_LH_Default_Par_1,DMN
 Default_Par_1 ,RP, Default_PFC_6 L ,R,7Networks_RH_Default_Par_1,DMN
 Default_Par_2 ,LP, Default_PFC_7 L ,L,7Networks_LH_Default_Par_2,DMN
 Default_Par_2 ,RP, Default_PFC_8 L ,R,7Networks_RH_Default_Par_2,DMN
 Default_Par_3 ,LP, Default_PFC_9 L ,L,7Networks_LH_Default_Par_3,DMN
 Default_Par_3 ,RP, Default_PFCdPFCm_1 R ,R,7Networks_RH_Default_Par_3,DMN
 Default_Par_4 ,LP, Default_PFCdPFCm_2 R ,L,7Networks_LH_Default_Par_4,DMN
 Default_Temp_1 ,LT, Default_PFCdPFCm_3 R ,L,7Networks_LH_Default_Temp_1,DMN
 Default_Temp_1 ,RT, Default_PFCdPFCm_4 R ,R,7Networks_RH_Default_Temp_1,DMN
 Default_Temp_2 ,LT, Default_PFCdPFCm_5 R ,L,7Networks_LH_Default_Temp_2,DMN
 Default_Temp_2 ,RT, Default_PFCdPFCm_6 R ,R,7Networks_RH_Default_Temp_2,DMN
 Default_Temp_3 ,LT, Default_PFCdPFCm_7 R ,L,7Networks_LH_Default_Temp_3,DMN
 Default_Temp_3 ,RT, Default_PFCv_1 R ,R,7Networks_RH_Default_Temp_3,DMN
 Default_Temp_4 ,LT, Default_PHC_1 L ,L,7Networks_LH_Default_Temp_4,DMN
 Default_Temp_4 ,RT, Default_Temp_1 L ,R,7Networks_RH_Default_Temp_4,DMN
 Default_Temp_5 ,LT, Default_Temp_1 R ,L,7Networks_LH_Default_Temp_5,DMN
 Default_Temp_5 ,RT, Default_Temp_2 L ,R,7Networks_RH_Default_Temp_5,DMN
 Default_pCunPCC_1 ,LP, Default_Temp_2 R ,L,7Networks_LH_Default_pCunPCC_1,DMN
 Default_pCunPCC_1 ,RP, Default_Temp_3 L ,R,7Networks_RH_Default_pCunPCC_1,DMN
 Default_pCunPCC_2 ,LP, Default_Temp_3 R ,L,7Networks_LH_Default_pCunPCC_2,DMN
 Default_pCunPCC_2 ,RP, Default_Temp_4 L ,R,7Networks_RH_Default_pCunPCC_2,DMN
