Subjects,Twin_DZ_1A,Twin_DZ_1B,Twin_DZ_2A,Twin_DZ_2B,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_DZ_4B,Twin_DZ_5A,Twin_DZ_5B,Twin_DZ_6A,Twin_DZ_6B,Twin_DZ_7A,Twin_DZ_7B,Twin_DZ_8A,Twin_DZ_8B,Twin_DZ_9A,Twin_DZ_9B,Twin_DZ_10A,Twin_DZ_10B,Twin_DZ_11A,Twin_DZ_11B,Twin_DZ_12A,Twin_DZ_12B,Twin_DZ_13A,Twin_DZ_13B
Twin_DZ_1A,0.9952941646679758,0.964540321406863,0.9638068995239297,0.9464455644682499,0.9628686122367989,0.968850873306776,0.9663597180640955,0.9575145109382432,0.9589354092688582,0.9360702688259298,0.9629591713895476,0.935968448272314,0.943362779531596,0.949384483419755,0.9644598693213979,0.9626567782392597,0.9604499550977126,0.9609391890053609,0.9629371061440812,0.9370941384893712,0.9651226200843352,0.9606794450144527,0.9028799447229642,0.9594911840652827,0.9368639293766086,0.9387168348663848
Twin_DZ_1B,0.9646219479212633,0.9944233144678707,0.9731625173386738,0.9531964134004232,0.9661781866149409,0.9593645110216737,0.9658330881645644,0.9604263277261431,0.9659856641629146,0.9368021675255391,0.9698085331397477,0.9438428019155918,0.9534369807987447,0.9544447198289334,0.9629146029771466,0.9700349857582808,0.9511158471217269,0.9621799983088777,0.9635614251865252,0.9480801910188922,0.9617174317538075,0.962824327753586,0.9012591162167762,0.965993740944041,0.9443619965487391,0.9418412685873501
Twin_DZ_2A,0.9660905786513282,0.9712517647294692,0.9946366372714042,0.9591560704177373,0.9648997791752515,0.9587786545523926,0.9641735220518849,0.96176141553676,0.9659212654961296,0.9323130344634203,0.966718433755132,0.9423343077962049,0.9479583609083146,0.9511207854402777,0.9587959358090404,0.9665340299579885,0.9462316163890379,0.9630838283912282,0.9613760734588843,0.9452897582378652,0.9612680318677032,0.9582650738982725,0.8981627027316501,0.9619372533643904,0.9410833761343653,0.9372781337428429
Twin_DZ_2B,0.9492771893647485,0.9573047507468327,0.9619800123482771,0.9947549656179187,0.9562912281693542,0.9486968884380877,0.9555984253073982,0.95095093685392,0.9517924573734421,0.9125909295243284,0.9411983999590722,0.9334017316532877,0.9415326915551854,0.9458630489754287,0.961448478229548,0.9598138980708584,0.9472133640733559,0.9458315319604282,0.9526619568435741,0.9149480173891734,0.9531076398415325,0.9578036949532893,0.8950710673583612,0.9542112935324034,0.9334459071927537,0.9265644271962247
Twin_DZ_3A,0.9600043769683526,0.9621669318641091,0.9615482743692603,0.954126141641035,0.99307577300536,0.9617314812562183,0.9630038437079823,0.9635223718327133,0.9581097805022188,0.9402711637471942,0.9606098883594878,0.946329802755755,0.946147030889831,0.9499327456110724,0.9574249138653168,0.9617753431858824,0.9540618656569321,0.9500077905494924,0.9557505094375398,0.9230627892424172,0.9570291664356587,0.958883296366149,0.9170159508044924,0.9628774289012643,0.9456259301046469,0.9477917304052219
Twin_DZ_3B,0.9676229210865268,0.9606645022800029,0.9585820820318571,0.948125168915139,0.965581072509373,0.9937106147067836,0.9608244764708708,0.9500048390994491,0.9578232982044901,0.937503969941941,0.9651351704859534,0.9318977201158323,0.9311915067216412,0.9443019690156432,0.9659310426495821,0.9634801667761294,0.9659918145962001,0.9619106518717833,0.9611632689521287,0.947360618589353,0.967051259226813,0.9648086423537918,0.9126945058776443,0.9515956745227231,0.9391896230416523,0.9407648419751283
Twin_DZ_4A,0.9599783078390985,0.9659007584147056,0.9622326632272491,0.9540195977816552,0.9644715378887099,0.9593252743909877,0.9850659551273266,0.9651400743992425,0.9612349635059614,0.945448980363478,0.9623959279461441,0.953940776007829,0.9465605579238159,0.9484408930050146,0.9625271105078803,0.9596123246159072,0.9515153670146999,0.9511719035833082,0.958535264619796,0.9269347717186626,0.9662212159874852,0.9580817983868097,0.9275423351442071,0.9608646435654158,0.9520131003493947,0.9438850387391255
Twin_DZ_4B,0.9663525093627303,0.966162427857314,0.9662794966437811,0.9561563313021421,0.9730277028706407,0.9629102529130356,0.9713001092460386,0.9906257397387094,0.9634216212442741,0.9469871244990313,0.9673634349969986,0.9527816604321357,0.9530757254821589,0.9582351951851507,0.9602653605574791,0.9653311324562401,0.9525626344911997,0.9524698828978745,0.9539230857573017,0.9270684647256067,0.9632262297932301,0.9643087236844263,0.9224371605786177,0.9651190458587234,0.947533600225603,0.9447614275341797
Twin_DZ_5A,0.9601221210326183,0.9659736957960114,0.9649664311525616,0.9471129681563701,0.9634448677659119,0.9553782476655338,0.9608285046948017,0.9535735928798439,0.9940827723185192,0.9358303265959836,0.964837487961651,0.9328857904245507,0.9375102181329614,0.9445749681957945,0.9559223063055201,0.9620344144564041,0.9451971656418936,0.9581638022921112,0.9605195908029154,0.9398982220415733,0.9598635905209207,0.9533910457488428,0.8926126034437912,0.9580909693654489,0.9250283149840159,0.9305643045075381
Twin_DZ_5B,0.9582503111198899,0.9646482262780506,0.9603736218620251,0.9430909694769425,0.9655991178232424,0.9584287344923546,0.9563778998292731,0.9565391598706652,0.9640629009142674,0.9670199232197555,0.9701240826432314,0.9463160640228179,0.9460827822214646,0.9522302640076541,0.9535905097001064,0.9601607058842114,0.9459840442659972,0.9518070807476154,0.9567408382043453,0.936768639788043,0.9588335237792991,0.9554723385969578,0.9131121265883138,0.9593099827844718,0.94500920840015,0.9417823054476903
