Subjects,Twin_MZ_1A,Twin_MZ_2A,NotTwin1,Twin_DZ_1A,Twin_DZ_2A,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_MZ_3A,NotTwin2,Twin_MZ_4A,NotTwin3,Twin_DZ_2B,Twin_MZ_5A,Twin_MZ_6A,NotTwin4,NotTwin5,NotTwin6,Twin_DZ_5A,Twin_MZ_7A,Twin_DZ_6A,Twin_MZ_8A,Twin_MZ_3B,NotTwin7,Twin_MZ_9A,Twin_MZ_10A,Twin_DZ_7A,NotTwin9,NotTwin10,NotTwin11,Twin_MZ_11A,Twin_MZ_12A,NotTwin12,NotTwin13,Twin_MZ_13A,Twin_DZ_8A,Twin_MZ_11B,Twin_DZ_9A,Twin_MZ_14A,Twin_MZ_15A,Twin_MZ_14B,NotTwin14,Twin_DZ_10A,Twin_MZ_10B,Twin_MZ_8B,NotTwin15,Twin_DZ_4B,Twin_MZ_16A,Twin_DZ_11A,Twin_MZ_17A,Twin_MZ_1B,Twin_MZ_4B,Twin_DZ_6B,Twin_MZ_18A,Twin_DZ_10B,NotTwin16,Twin_MZ_16B,Twin_DZ_12A,NotTwin17,Twin_DZ_7B,Twin_MZ_6B,NotTwin18,NotTwin19,Twin_DZ_8B,Twin_MZ_7B,Twin_MZ_15B,NotTwin20,Twin_MZ_12B,Twin_MZ_18B,NotTwin21,NotTwin22,Twin_MZ_19A,NotTwin23,Twin_MZ_2B,NotTwin8,NotTwin24,Twin_DZ_1B,Twin_DZ_13A,Twin_DZ_12B,Twin_MZ_5B,Twin_DZ_13B,Twin_DZ_9B,Twin_MZ_13B,Twin_MZ_17B,Twin_DZ_11B,Twin_DZ_5B,Twin_MZ_9B,NotTwin25,Twin_MZ_19B
Twin_MZ_1A,0.992472581318794,0.9315407881553646,0.9591429510137177,0.9524113707282152,0.9498424718964632,0.9585461238658607,0.9413681311389981,0.9568110582104188,0.9572234412475732,0.93839100520414,0.9586308181948489,0.9552083741085086,0.9482046949650644,0.9459886238353332,0.9589917809439209,0.9533773596241343,0.958583755665358,0.9549248368474359,0.9445993386438969,0.9384434722126831,0.9494023139917904,0.9630504625001314,0.9653548913786758,0.942206965329974,0.9597604828598526,0.9601915269050245,0.9588410501061955,0.9187117077745734,0.9629668740693209,0.9537312474748354,0.9555064976750529,0.9596898425373006,0.9567230614271217,0.9569632736315963,0.9172345241360684,0.9470198937758356,0.9432361652028282,0.9453034197543593,0.9430539624210506,0.953611075662224,0.9411335298966057,0.9466109415311583,0.9410173257597976,0.9595713622700554,0.963630171227341,0.9244509268674729,0.9581715469373774,0.9398297663082231,0.9445564370873982,0.9595288422370567,0.9672074163084774,0.9608849020418064,0.9509005180055883,0.960117661468199,0.9037806398895545,0.948926798145509,0.9452255595116438,0.9023772914821028,0.956492007658244,0.9649123153709649,0.9570696216039745,0.9507960655828691,0.9294834603116384,0.9565590154462857,0.9516358591656543,0.9485573113874399,0.9457948159652794,0.9527899128288888,0.9573988333352073,0.9296186334168162,0.9380070467473819,0.9537756168975595,0.9528977624337435,0.9048970389324621,0.9404139896274,0.9575902183995071,0.9561374294401876,0.944224178595241,0.9634172156666387,0.9507355046288253,0.9306109380113035,0.9356259278174429,0.9558073142031527,0.9535988650351278,0.9455414985131396,0.9215453804443378,0.9596322402608277,0.8907111557276979,0.9562715283922989
Twin_MZ_2A,0.9463758258727468,0.9432921902365604,0.9474859801506176,0.9514317892205963,0.9558822814389816,0.9538644109069359,0.9418144559016479,0.9547301427617085,0.9571094240191161,0.9450851096442003,0.9573640332166728,0.9522853899450283,0.9341673086609124,0.9431210460878061,0.9481081897204879,0.9501428767512208,0.9506665106857549,0.9488108099443966,0.9557002504128062,0.9507851861238713,0.9538442230976131,0.9545453329967892,0.9634831313264021,0.9523053759691382,0.957695464740968,0.9597448626281155,0.9506989182036363,0.9294819390036471,0.9560266113186828,0.9555692368814057,0.954478899417176,0.9460438880700691,0.9493542735655023,0.9584794869001625,0.9027148385624391,0.9424127299461103,0.9546634389093882,0.9348538116836521,0.947405991899227,0.9496005570667962,0.948809411259026,0.9613761808259624,0.9510971762964152,0.9645157917364007,0.9530601839763893,0.9480359013042898,0.9516963133182983,0.9446451053448834,0.9507281387534319,0.9565974238897988,0.9470218535968198,0.9506404018571524,0.9385780713730798,0.9609232723736456,0.9309869035747224,0.9470901146407622,0.9525214555869392,0.8929897631592982,0.9475763306640288,0.9536518185600376,0.9396249769744334,0.9440550621873411,0.9399376938513294,0.9540991503288867,0.9546538991530558,0.9509483297672339,0.9421331406127017,0.9526460538884204,0.9492962751565317,0.9208742385051081,0.9496306626897044,0.9449559108173609,0.9474498019493516,0.8977796226109287,0.9331230330583521,0.9522833681445624,0.9571077730531892,0.9226641292540226,0.9577246960716763,0.9418836937963808,0.9228543980966151,0.9463825846462091,0.9408601097804534,0.9480261104654344,0.9354559735839141,0.9238595361277613,0.9522251353549414,0.8819362883131172,0.9460010616471975
NotTwin1,0.9600871811668403,0.9468846246654194,0.9930686690695254,0.9544441856779433,0.9603855647055304,0.9624563042676991,0.9522292587452865,0.9501144169388006,0.951848086609633,0.9565153791188672,0.9660407530435926,0.9589703681374837,0.950136114219755,0.9593737994702779,0.9491377514001633,0.9544292894523219,0.9592482216196938,0.9578014719867691,0.9492553276720295,0.9502129973332933,0.9552418011411881,0.9630262849243039,0.9620663360011292,0.9580918105735008,0.9706375628328668,0.9581115553270163,0.9595297913417017,0.9379227543678992,0.9673688191756031,0.9599619683650624,0.9635981839867678,0.9617322071979562,0.9677271101404272,0.9542709444671446,0.9148145547223943,0.9518609637340792,0.9597349726585338,0.9435937474261757,0.9537161085996235,0.9530304427336391,0.9447800774709187,0.9533057464513323,0.9508063244711669,0.9647383484251698,0.9701406538789659,0.9375574569613119,0.9552327334022297,0.950188044795166,0.9515114576243484,0.9635601495400654,0.9520700627686101,0.964691861662206,0.9545164325338293,0.9611864142935942,0.9300666077494962,0.9670139805934538,0.960485149355951,0.9096917176364661,0.961660879838053,0.9596540847078078,0.9479714278136395,0.9614631628713848,0.9505842507915384,0.9588604942445804,0.9561348221928588,0.9522268050723742,0.9521873329306181,0.9630129557100039,0.9617440383395893,0.9352753929521858,0.9585608096655793,0.960632716244332,0.9539044234437997,0.9236288669285693,0.9531770764764788,0.9545459938507832,0.9636149228032049,0.9614974500218583,0.9612832902773468,0.9590059942034528,0.9396581178153206,0.9465987617765539,0.9584784705206768,0.9619677113196998,0.9488034063155496,0.9339097044715872,0.9693916060545134,0.9098434080515632,0.9560950250078317
Twin_DZ_1A,0.9500352339734637,0.9269811078001027,0.9558116180203053,0.9952941646679758,0.9638068995239297,0.9628686122367989,0.968850873306776,0.9663597180640955,0.957013615016348,0.9528363935287436,0.9684088349301034,0.9497203532159025,0.9464455644682499,0.9554873540543642,0.9652990051413446,0.9535004200266708,0.9582593806592021,0.9590923566517582,0.9589354092688582,0.9632301214635508,0.9629591713895476,0.9606166800741207,0.9612400516221126,0.9608489128048956,0.9609007363010011,0.9660474901508733,0.943362779531596,0.9477314081188999,0.9621702083631718,0.9556150084194539,0.9647508528384114,0.9582954386952266,0.9577517945439449,0.968294700167589,0.9179593961074488,0.9644598693213979,0.9632084812027948,0.9604499550977126,0.9556146208360828,0.9535477118395634,0.9578635154420478,0.9487497140765009,0.9629371061440812,0.96769406749368,0.9550259023279186,0.930455357061096,0.9575145109382432,0.9528254440187094,0.9651226200843352,0.9616003164916602,0.9477673278262754,0.9651678565269095,0.935968448272314,0.9574784278647889,0.9370941384893712,0.9614186744404167,0.9659769662501356,0.9028799447229642,0.9526050978079044,0.949384483419755,0.9590658764258317,0.9594096295480203,0.9591686511739883,0.9626567782392597,0.9621437611823345,0.9503853494012615,0.9582830966267235,0.9636904109118397,0.9498785616231309,0.9289636959065901,0.9637924302333444,0.9590196124703729,0.9616841524707769,0.8965494935707576,0.9335803504404849,0.9546739956631491,0.964540321406863,0.9368639293766086,0.9594911840652827,0.9639819004193366,0.9387168348663848,0.9609391890053609,0.9548858460704952,0.9634670485554814,0.9606794450144527,0.9360702688259298,0.9588439775355584,0.9018831866083536,0.9602329993761842
Twin_DZ_2A,0.9483967399520647,0.9348826286775458,0.9608111637706167,0.9660905786513282,0.9946366372714042,0.9648997791752515,0.9587786545523926,0.9641735220518849,0.9530977568167243,0.9587335689206613,0.9712919410703493,0.9570387552607205,0.9591560704177373,0.9566114529967846,0.9629603497791744,0.9546307622512136,0.966099559970026,0.965885017019227,0.9659212654961296,0.9601725342948586,0.966718433755132,0.965937354057857,0.9607484781171818,0.9632043685467097,0.9670729799020329,0.9650291850599076,0.9479583609083146,0.9468129095059696,0.9652434021999597,0.9596428169128575,0.9678617818138576,0.9626842553092493,0.9681807551525297,0.966625515168141,0.9169239454393691,0.9587959358090404,0.965975639362926,0.9462316163890379,0.9578066705671817,0.9539333825259213,0.9626555223389822,0.9569920489218562,0.9613760734588843,0.9723667208574722,0.9632036177036427,0.945401919496082,0.96176141553676,0.9493245562996856,0.9612680318677032,0.9646819385508882,0.9467680354986682,0.9645071567353123,0.9423343077962049,0.9572509411568538,0.9452897582378652,0.9625363061778915,0.964777251037652,0.8981627027316501,0.9621749729480669,0.9511207854402777,0.956276903302967,0.9579632173727972,0.9633251705922155,0.9665340299579885,0.963474625868754,0.9518650940883147,0.9574673731384038,0.9643791563286812,0.9554902856290542,0.9256819248757004,0.9675544423750924,0.9619422325883,0.965117211779565,0.9074388980637738,0.9406715638407057,0.953733496357902,0.9712517647294692,0.9410833761343653,0.9619372533643904,0.9676167485917588,0.9372781337428429,0.9630838283912282,0.9608562945387095,0.9625238364927775,0.9582650738982725,0.9323130344634203,0.963335689333881,0.9017665752161166,0.9603648331180816
Twin_DZ_3A,0.9513633271331821,0.9297527013784489,0.9612511344745613,0.9600043769683526,0.9615482743692603,0.99307577300536,0.9617314812562183,0.9630038437079823,0.9481004369797319,0.942550009042622,0.9658325393868218,0.9545687771175411,0.954126141641035,0.9583388350584732,0.9505089347362549,0.9522375061629669,0.9654094861842883,0.9567880424816507,0.9581097805022188,0.9571185597791644,0.9606098883594878,0.9682352093507433,0.959382427140151,0.9646914130643711,0.9650715148968666,0.962911478944682,0.946147030889831,0.9365522955410392,0.959450212274827,0.9479993391326347,0.9531642701554551,0.9592610313562959,0.9568886319963716,0.9571567380261963,0.9271316679690648,0.9574249138653168,0.9557892990660257,0.9540618656569321,0.9608557323578943,0.9599350035974485,0.944675669958772,0.9564572643266893,0.9557505094375398,0.9593644269590008,0.9624830372899532,0.9315298281826698,0.9635223718327133,0.9552529686455775,0.9570291664356587,0.9645807476850432,0.9500069983346311,0.9619061138163898,0.946329802755755,0.9643638689359915,0.9230627892424172,0.9599760749631114,0.9570145466006559,0.9170159508044924,0.9618675583224783,0.9499327456110724,0.9574451512473181,0.9643121551207512,0.9491753891159342,0.9617753431858824,0.9596940684460058,0.9560649343720905,0.9632300166061645,0.9687857264757269,0.958306681164289,0.9524463458996255,0.954072961426687,0.9534727794859466,0.9583169711602562,0.9109544857628364,0.9354248829765234,0.9549743821792697,0.9621669318641091,0.9456259301046469,0.9628774289012643,0.9647679401563992,0.9477917304052219,0.9500077905494924,0.9627142157832351,0.9599244053654509,0.958883296366149,0.9402711637471942,0.9653353489494098,0.9138172071026796,0.9587544119429992
Twin_DZ_3B,0.9404918672888324,0.92896625108683,0.9504402482762241,0.9676229210865268,0.9585820820318571,0.965581072509373,0.9937106147067836,0.9608244764708708,0.9441036806210203,0.9490874503885698,0.970095396908369,0.9467180057966413,0.948125168915139,0.9580387448296914,0.9606829449300536,0.9464794799211662,0.9588225302936738,0.95728324931807,0.9578232982044901,0.967702203979453,0.9651351704859534,0.9587363625118102,0.9558626774566112,0.9690363511439397,0.9590079060210348,0.9624167800580852,0.9311915067216412,0.9559116550748297,0.9576224489976749,0.9503208239051508,0.9616018605246779,0.956488912830015,0.9510629410007869,0.9580658870366431,0.9245696602484514,0.9659310426495821,0.9559909112295486,0.9659918145962001,0.9573608222691463,0.9433339181569735,0.956751456412329,0.945463592187459,0.9611632689521287,0.9590291713908954,0.9513160520073951,0.9300771836865086,0.9500048390994491,0.9634711952443117,0.967051259226813,0.9632373159972771,0.9399296423029095,0.9665794371411076,0.9318977201158323,0.9566088419529555,0.947360618589353,0.9635962182004066,0.9671219665619516,0.9126945058776443,0.9499710527738363,0.9443019690156432,0.9591693225805684,0.9676852948555983,0.9555290469779961,0.9634801667761294,0.9615984380831936,0.9454635032114422,0.9560319709047003,0.9645581064658395,0.9451118848053337,0.92134501380573,0.9655748619022693,0.9506754255766784,0.9653329957986709,0.9009129302780906,0.9303274401685468,0.9555901127016091,0.9606645022800029,0.9391896230416523,0.9515956745227231,0.9732156337293082,0.9407648419751283,0.9619106518717833,0.9501958072584449,0.9598660431257862,0.9648086423537918,0.937503969941941,0.9563548187507126,0.9066957021426684,0.9543242857088365
Twin_DZ_4A,0.9527983178027821,0.9502680413872546,0.9520597576731977,0.9599783078390985,0.9622326632272491,0.9644715378887099,0.9593252743909877,0.9850659551273266,0.9528641842726502,0.9430428718468029,0.9695798064470353,0.9537375330758388,0.9540195977816552,0.9622002525806508,0.9613012573149196,0.9602392252452376,0.9650757264342051,0.9600871151903673,0.9612349635059614,0.9571190541971242,0.9623959279461441,0.9671885138599106,0.9590727027378152,0.9606548587146582,0.9653957950401828,0.9673322275180897,0.9465605579238159,0.9397993583779439,0.9586507904746395,0.9543259741835886,0.9603387669884955,0.9642412977676557,0.9594155115406457,0.9615279594698991,0.9315730330251044,0.9625271105078803,0.95405226354487,0.9515153670146999,0.9503819953511318,0.9482714833809738,0.948898130382363,0.9520275611412934,0.958535264619796,0.9675997981547361,0.9628299069810731,0.934511373437652,0.9651400743992425,0.9569759545410258,0.9662212159874852,0.9620504101405463,0.9564699429252457,0.966440264334256,0.953940776007829,0.9611362585891736,0.9269347717186626,0.9588634744088194,0.9573893123899305,0.9275423351442071,0.9567195261521738,0.9484408930050146,0.9585070127733181,0.9600201917066794,0.9443866604592017,0.9596123246159072,0.9592266142389765,0.9540628944715474,0.9556895616057193,0.968717246905715,0.9503296617417261,0.9376397778975097,0.9535814226694059,0.9605593948633684,0.9599055652596835,0.9195298541722859,0.9543925899904253,0.9569677827324335,0.9659007584147056,0.9520131003493947,0.9608646435654158,0.9572231543014552,0.9438850387391255,0.9511719035833082,0.9580653139352848,0.9577028410992817,0.9580817983868097,0.945448980363478,0.9625853246623504,0.9182972361199236,0.9635898794538305
Twin_MZ_3A,0.959287379546631,0.9228770604572479,0.9592186745708485,0.9606641341606232,0.9548289706779067,0.9554169315337269,0.9476988723786275,0.9572170302921685,0.9905176504979689,0.9450114428858619,0.9577141219517178,0.9489382061308331,0.9427052873174262,0.942502380558423,0.9527507545170246,0.9535538407303971,0.9561419855130935,0.9505928060910886,0.9517505102759387,0.9494248447358233,0.9501786492173583,0.9628365059300621,0.973327620524548,0.9516860611331237,0.9622669234023149,0.9604473583197903,0.9526914011725125,0.9244880419413675,0.9616432516691861,0.9545937880714008,0.9597324697309411,0.9494105899494867,0.9565342160492405,0.9602861916767316,0.9030282539854088,0.949152345305653,0.9501763984870737,0.9450566919799653,0.9499019234102908,0.9549480881074492,0.9442471088426083,0.9564132280742523,0.9529296110365268,0.9662722396815574,0.9618766994486739,0.9351690046492477,0.9513266142684647,0.9444570152511161,0.9490104868537981,0.9583393125697346,0.9530918770266582,0.963263377105678,0.9404793399027684,0.9606475223860539,0.9144529943156545,0.9525452034232675,0.9534092176932432,0.8904389221998885,0.9535051395909238,0.9567800932151362,0.9477967582054941,0.9501082827437267,0.9425311754570562,0.958069493478352,0.9531498495383662,0.9519195177395865,0.9490914797572538,0.9563651487853686,0.9558762725578429,0.9231886181439422,0.9520627354629838,0.9543261943047923,0.953216809757309,0.8995144982792265,0.9327257120238457,0.9541062735608346,0.9580306749487127,0.9308937706668889,0.9650823151424333,0.9537058527905171,0.9213337626753516,0.9403746536032935,0.9541548245767353,0.9548886276218733,0.9441058188018376,0.9241320270729261,0.9606193846068585,0.8883156303433695,0.9549429730142126
NotTwin2,0.9333027296353145,0.9200209782591686,0.9506309459069195,0.9467712407206099,0.9534125450611165,0.9380432077384857,0.9437211054815531,0.93777834238361,0.940555611088876,0.9918842859486707,0.9539559714316865,0.9477721249294067,0.9371212605341555,0.9401234632974014,0.9380678626828438,0.9360976780515219,0.9457654713631831,0.9511075270716355,0.938342601392091,0.9460594659497572,0.9459004136886394,0.9389016232952068,0.947241559414719,0.9537874190060112,0.9567148367013254,0.9458605064363628,0.9367640924491119,0.934785334218024,0.9520514392380144,0.9585194746754734,0.9559591152815619,0.9342912179023833,0.952568550654096,0.9491188137995565,0.8828260752266028,0.9378311786224809,0.9536744080359838,0.9303534446737527,0.9367343045373386,0.9268212384664885,0.9445441649640436,0.9400792788575123,0.9500728253840517,0.9613837327798531,0.9516701911593725,0.9525818861338853,0.9349120796876944,0.943575216210095,0.9394367095424973,0.946724108706554,0.9258666783928846,0.950303733909424,0.9237778106601419,0.9380233844969434,0.9455268910669901,0.9519365537708531,0.955410540522611,0.8742701961627798,0.9489509674109875,0.9437402740214986,0.9281583345920565,0.9418076030609175,0.9542853327183662,0.9537121811984155,0.9526038560904633,0.92244018907064,0.9381217955914242,0.9438028198146613,0.934294479738139,0.8913736459943191,0.958740368868821,0.9494491270855911,0.9494882171813326,0.8922498578446805,0.9324060056866503,0.9526489777897691,0.9493899090534373,0.9296231081154552,0.9472574342073756,0.9506028086591718,0.9138471927683713,0.9401627915683444,0.9349846972540128,0.9414517989799878,0.9302113485920804,0.9098715411443237,0.9492121126699585,0.8784098815593185,0.9400753251379721
