Subjects,Twin_MZ_1A,Twin_MZ_1B,Twin_MZ_2A,Twin_MZ_2B,Twin_MZ_3A,Twin_MZ_3B,Twin_MZ_4A,Twin_MZ_4B,Twin_MZ_5A,Twin_MZ_5B,Twin_MZ_6A,Twin_MZ_6B,Twin_MZ_7A,Twin_MZ_7B,Twin_MZ_8A,Twin_MZ_8B,Twin_MZ_9A,Twin_MZ_9B,Twin_MZ_10A,Twin_MZ_10B,Twin_MZ_11A,Twin_MZ_11B,Twin_MZ_12A,Twin_MZ_12B,Twin_MZ_13A,Twin_MZ_13B,Twin_MZ_14A,Twin_MZ_14B,Twin_MZ_15A,Twin_MZ_15B,Twin_MZ_16A,Twin_MZ_16B,Twin_MZ_17A,Twin_MZ_17B,Twin_MZ_18A,Twin_MZ_18B,Twin_MZ_19A,Twin_MZ_19B
Twin_MZ_1A,0.9974541602431938,0.9946340981819264,0.9772544787806796,0.9728520829802363,0.9880480666982451,0.9624816337979956,0.9799967182240246,0.9748785963771083,0.9684802152246881,0.9669959370748017,0.9815201445949638,0.9865147542609294,0.9653510386791055,0.9750796552809511,0.9898938272659261,0.98543755535877,0.9781098442364387,0.9824578198853083,0.9846118510330077,0.9799771936079154,0.9760129373346462,0.9684264366631272,0.9793966009216262,0.9727062821058845,0.9790666870592923,0.9816216917879493,0.954225794680851,0.9637683591095232,0.9860608379204862,0.9864688087326337,0.9586181912142109,0.9589840098180654,0.9837434987268937,0.984860138753237,0.983250233924913,0.9872418724799252,0.9753469486699866,0.9774382692787924
Twin_MZ_1B,0.9951201215051442,0.997466896281998,0.9732666547201341,0.9662414726500094,0.9815719084919695,0.9628599113481799,0.9773931608174216,0.9739982316561542,0.9675832805752638,0.9638919762607029,0.9753847527160897,0.984514429528526,0.9617965731312588,0.9718117529414894,0.9903211927979965,0.9870463182967619,0.9790107787606828,0.9836007622169072,0.9846454750842961,0.9780449111588541,0.9741210244748024,0.965540074531597,0.9775408625443114,0.9713801229310801,0.9748653474010043,0.9790413861278073,0.9569550030048849,0.9581898355942136,0.9846345123220809,0.9845476405139824,0.9596032799008067,0.9605904068155886,0.9825222855406673,0.9825871674318474,0.9864415761166362,0.9861431145791695,0.9730858303517455,0.9757645862787483
Twin_MZ_2A,0.9776140181778843,0.9773875186668077,0.9967185807083974,0.9906574086982138,0.9866068112110254,0.9719402260829505,0.9843236448781907,0.9787772597842759,0.9640815202154258,0.9721424660996647,0.9818591956756064,0.9778138139533085,0.9772412734847451,0.9846850758164987,0.9850300597728756,0.984135356603067,0.9842030672096056,0.9814241434383781,0.9890898701328491,0.990052433822612,0.9821642756973656,0.979719227000273,0.9753948127288983,0.9790741048182121,0.9730766344353963,0.9703190173825301,0.9309554224675802,0.9703870746277268,0.9865974547310552,0.9863305405265197,0.9679407816878194,0.9659449271019276,0.9844851842853612,0.9835747096862042,0.9782897732264932,0.9810860443734994,0.9793449474592307,0.9776746808511766
Twin_MZ_2B,0.9645454745624225,0.960318382993254,0.9905389683024515,0.9955019013139819,0.9833402278508917,0.9571318649226233,0.9800266422583325,0.9719729025250511,0.9527255483494721,0.9712702298150659,0.9804007371076949,0.965070471770938,0.9727231019872735,0.9797491504508063,0.9731966304699211,0.9705584750677981,0.9718523157905512,0.9668326066847643,0.9775983938936613,0.9828288262551652,0.9755421983678053,0.9759534128641707,0.9660640222480301,0.9690484141402929,0.9653972875426766,0.9604103970600381,0.9044459799977307,0.9727063434615164,0.9763772508573484,0.9776558616064,0.9583076215576627,0.9533689316933943,0.9733885006371426,0.9759143620230127,0.9598753187079783,0.9690318961142493,0.9742276112673647,0.9698466961466216
Twin_MZ_3A,0.9837785220946429,0.9819748701202422,0.9866078909972429,0.9840346107091333,0.9970514600601392,0.9612106318678734,0.9858825991995918,0.9777592861492894,0.967103739273694,0.9738987354437612,0.9872854927005837,0.9792902761432536,0.9715031464028234,0.9803762626611678,0.9853238567798055,0.9830832829944882,0.980219009898446,0.9827583080895159,0.9839764807252324,0.9852379332826859,0.9806871380815132,0.9763147207269305,0.9780318000414023,0.9729590175817299,0.975621442170959,0.9739770359496531,0.9432051670450701,0.9679722411164117,0.9863444322327006,0.9856634199576871,0.964703808454694,0.9591582264384122,0.9817044999570357,0.9829159445260824,0.9776509954157957,0.9836145275449792,0.9809784760159934,0.9771257957100941
Twin_MZ_3B,0.9185041119919983,0.9204238578334303,0.9167466353070672,0.9132774036294167,0.9135700479108378,0.9631428872326333,0.9139361923358404,0.9169180653947644,0.9399544188675444,0.9039284619278404,0.9007739139611303,0.9167835500612991,0.9129386671341437,0.9173190329830689,0.9211044042328589,0.924156095736531,0.9147878902779384,0.9180480322731254,0.9212734541162737,0.9216920725137171,0.9081373790164218,0.9027821193991155,0.9195466237222305,0.9239095145723903,0.9208570857453744,0.9224726053263667,0.907820862738321,0.9132264023718535,0.9199055594313648,0.9177957542471551,0.9014090471271108,0.9172586495381942,0.9184008612192418,0.9157733877461476,0.9247085733131085,0.9235337500637772,0.9035604513038994,0.9127382084605676
Twin_MZ_4A,0.9785902630793717,0.9788289090353701,0.9817079263170164,0.9834775925814196,0.9850967144569185,0.9685461045604145,0.9975710025597357,0.9924984726828051,0.9800108005845269,0.9890145749578156,0.9863868228162933,0.985793786995074,0.9835282639799566,0.9866916220917442,0.9880091990181221,0.9863838365482493,0.9907096820517776,0.9894688049306198,0.9875921579068796,0.9909013441598384,0.9893725291701054,0.9876516978728755,0.9881598284234141,0.9882469859944661,0.9848286213005042,0.9825959774289366,0.9430588055429834,0.9855052290012725,0.979350744271101,0.9808646877684124,0.9786230495463827,0.9804218955317388,0.9869559761783624,0.9866452193479907,0.98315967024504,0.9868576422038137,0.9881706462099095,0.9884097812202945
Twin_MZ_4B,0.9785606667089389,0.9804734544732705,0.9813983124901853,0.9808463067773092,0.9865662790567992,0.9658964663131138,0.9958050496800488,0.9918385508090231,0.9788198537429862,0.9873665880157004,0.9872235481379116,0.9873491139983075,0.9790439311640279,0.9840116391396438,0.9883446718225029,0.9864981005842014,0.9896751092133176,0.9896710586762685,0.9886991709161225,0.9896282135818566,0.9870329583632196,0.9831714601620885,0.9879475821182213,0.9852480737780674,0.9819981014402838,0.9808700534046908,0.9531282563219378,0.9780858979587357,0.9801158597487918,0.9799032498078742,0.9770254123855342,0.9749867886406486,0.9851607805619356,0.985661410707545,0.9832416139054929,0.9854456883120445,0.9904599805349212,0.9883200535039525
Twin_MZ_5A,0.9776156173770761,0.9785992890611912,0.9793123036730318,0.9782315641825204,0.9824698370997091,0.9681313106539686,0.991919076435275,0.9901641426438081,0.985192711001498,0.9927033142406314,0.9819585568800498,0.9853458580192108,0.9869880896461337,0.9876767497508778,0.9892900613203608,0.9894229472260283,0.9926471664827339,0.9892640362379601,0.9873781877695896,0.9894847663938209,0.991632976244226,0.9902959809924103,0.9890843111410887,0.9866626127833535,0.9824541749673854,0.9828318046666891,0.9488080085513539,0.9863554145151223,0.9795498193758284,0.979711260571039,0.9848964174447861,0.9845580060039051,0.9898083762031211,0.9879557599773234,0.9869860322244544,0.9855870264425235,0.9883099931818032,0.9878779355411589
Twin_MZ_5B,0.9561811548384374,0.9596836045437787,0.9579571818805563,0.9590435909658939,0.9631796355867512,0.9606689210890067,0.9789302116307335,0.978318447676338,0.9789801360228562,0.9882490896606487,0.9697362075105154,0.9748252536561715,0.9769158556048629,0.9761392133101852,0.9723625719507938,0.972201000550465,0.9744631407526054,0.9704775006511521,0.9690543049485474,0.9719683827435274,0.9767391275261617,0.9739380878970028,0.9793734253535034,0.9820538333376614,0.9721847402336924,0.9748396881121398,0.9475904505329941,0.9783907877570512,0.954413780401459,0.951262269395434,0.9755310890226232,0.9748696476091505,0.9711680807716839,0.9677250114059542,0.9654025542917729,0.9628239317466958,0.9742637249032837,0.9731637589588289
Twin_MZ_6A,0.9805866982885423,0.9795768050469957,0.9820982043942267,0.9825648309858552,0.98848272941633,0.9614313013414172,0.9888511398867978,0.9812233205998127,0.9697397545942711,0.9828331043990508,0.9978661671681868,0.9881415017110862,0.9749297590688037,0.9810154959334467,0.9849219681473536,0.9812705853758004,0.9803456744298013,0.9802211111128513,0.9839543146700397,0.9845410765102358,0.982047372278873,0.9783823195633903,0.9839552504888207,0.9811887588211601,0.9826913526728043,0.9809887384854512,0.9435985563766698,0.9762422363266884,0.9791627416255653,0.9801335188590892,0.9682544893291147,0.9631632893346245,0.9823511253977321,0.983705627148661,0.9746262218865133,0.9796947377485867,0.9853025958304024,0.9831082843280737
Twin_MZ_6B,0.9854099282442466,0.9868265495278346,0.9759164878866435,0.9736353961159339,0.9838072175284752,0.9632411798352061,0.9849889992671561,0.9830992365734353,0.9751955558848995,0.9803547898945271,0.9866201412042801,0.9949395606648861,0.9729548383644213,0.9791298912845965,0.9879356922680194,0.9849981461292285,0.9817084921997072,0.9838008811195249,0.9864030815288046,0.9824595985346924,0.9806479703770253,0.9738185269013364,0.9886937320880247,0.9809763866923138,0.983796520078559,0.9858949439828062,0.961685146779998,0.9721157391080911,0.977687099240746,0.9790744770268413,0.970329151103469,0.9679358075889596,0.9853792584990204,0.9855541970634094,0.9835297716718243,0.9859176206248106,0.9840496951171454,0.9846712901273926
Twin_MZ_7A,0.9677513085229748,0.9697294277130426,0.979755414640864,0.9751308079928303,0.9761673482085126,0.9652838241488895,0.9811259125793097,0.9810730182619405,0.9702643807449007,0.9849059953749891,0.9719237893560531,0.9765024737533876,0.9967311754490227,0.9940217114184484,0.9834745815923263,0.9865130392692634,0.9860104414890327,0.9807087712989756,0.9810358667453749,0.9845223379349,0.9911002769723518,0.9916173813522611,0.9816388908622744,0.980634558574624,0.9753438253758345,0.9757763514206873,0.9290322349272271,0.9859039971382175,0.9709306567261276,0.9714011571286595,0.9900324105617927,0.9901053113342402,0.9906362645933133,0.9849342744539437,0.9821548556590332,0.9806517727821313,0.9713136502108634,0.9691946799480675
