,0,1,2
Twin_MZ_1A,0.0636149888064171,0.0546518842528856,0.051898240058773
Twin_MZ_2A,0.1899943764717065,0.1957589419282668,0.2031551820541773
NotTwin1,0.0822690428136534,0.0963368418295016,0.0927703867439066
Twin_DZ_1A,0.0761522853791569,0.0718955509650966,0.06785751075158
Twin_DZ_2A,0.0278327049487057,0.0258243876724228,0.0233048818144181
Twin_DZ_3A,0.0377622026531824,0.0317484926807208,0.0600857748341949
Twin_DZ_3B,0.0663056281409235,0.0645828091813005,0.0642982092831493
Twin_DZ_4A,0.0299953358307525,0.0290295579735532,0.0285012823078417
Twin_MZ_3A,0.0204069927631812,0.0197554130183777,0.0191563186574809
NotTwin2,0.0506677382585991,0.0459649736423069,0.0435137895355006
Twin_MZ_4A,0.0412612481565124,0.0406466990084471,0.039721645877495
NotTwin3,0.0438821685009856,0.0343383665510253,0.0337807570322656
Twin_DZ_2B,0.0422284158917618,0.0414799499746735,0.0419652153974949
Twin_MZ_5A,0.0479187857935282,0.0480279498779751,0.0455162201588266
Twin_MZ_6A,0.0025430746597246,0.002620879096391,0.0027053646568912
NotTwin4,0.0753343016064187,0.0710164929109678,0.067989525719648
NotTwin5,0.0168598813363806,0.0167444257942353,0.0165801848256047
NotTwin6,0.0435617054359288,0.0424789844065609,0.0428146099002337
Twin_DZ_5A,0.0656763104055262,0.0667328094902206,0.066276494847021
Twin_MZ_7A,0.0380481748380066,0.0367750843161513,0.0362303030452432
Twin_DZ_6A,0.0423553093724346,0.0391744129339,0.0378263518037312
Twin_MZ_8A,0.0497449510166994,0.0484381404283533,0.0478037647453114
Twin_MZ_3B,0.0332650588431129,0.0323879918225945,0.0315953117507352
NotTwin7,0.0448097483548679,0.0423321322845843,0.0394977173688719
Twin_MZ_9A,0.0310988456249293,0.0321521776347343,0.0311311028671671
Twin_MZ_10A,0.023462282684692,0.0192239064231706,0.0169321826714842
Twin_DZ_7A,0.0313913887026267,0.0277247078801591,0.0243759231736939
NotTwin9,0.031528913668518,0.0298951589255844,0.0295910164195884
NotTwin10,0.028961910139856,0.0266403392585516,0.0270603570709769
NotTwin11,0.0425440264414704,0.0389609250449114,0.034780748236194
Twin_MZ_11A,0.0388695537411229,0.0340758221787337,0.0335778194501221
Twin_MZ_12A,0.0463114679047701,0.0463146331209137,0.0440297804210828
NotTwin12,0.0814377201905608,0.0791820014910574,0.0797898530082049
NotTwin13,0.0521236575425847,0.0516732890738855,0.0512679185366785
Twin_MZ_13A,0.0563225550484988,0.055216234476955,0.0554035609633619
Twin_DZ_8A,0.0747628203653321,0.0731171659922547,0.0690392216958364
Twin_MZ_11B,0.0314295626583778,0.0262824099303965,0.0238830582585151
Twin_DZ_9A,0.0400528167245548,0.0415408971709684,0.03740202305165
Twin_MZ_14A,0.0542238975490272,0.0552810118881666,0.0542264678205522
Twin_MZ_15A,0.0331756885346378,0.0280258987325411,0.0241159681852504
Twin_MZ_14B,0.0604988965423924,0.0571514896539066,0.0548701342342383
NotTwin14,0.0608393621491759,0.0613552873050207,0.058516601252083
Twin_DZ_10A,0.0297590483226924,0.0272690995047481,0.0256615530376093
Twin_MZ_10B,0.0141514816790407,0.0143013332334447,0.0137423940252109
Twin_MZ_8B,0.0596354841130618,0.0536234684566538,0.0504605531506164
NotTwin15,0.123837810154372,0.1213397342077651,0.1176438777444862
Twin_DZ_4B,0.0340125292415484,0.0301425711991123,0.0262219539104726
Twin_MZ_16A,0.0595827615029668,0.0607712126559152,0.0614290537218793
Twin_DZ_11A,0.0384692656119741,0.0332868936740893,0.0346489716942011
Twin_MZ_17A,0.0585393517868056,0.0533518429805818,0.055306674086827
Twin_MZ_1B,0.0461632826026261,0.0452611910379075,0.0424527264775032
Twin_MZ_4B,0.0552380548165946,0.0527521130578975,0.0469067685880074
Twin_DZ_6B,0.0381556475946555,0.0377834288138704,0.0383947322908315
Twin_MZ_18A,0.0522706020552078,0.0471514978784612,0.0449731585708721
Twin_DZ_10B,0.060857475459291,0.0535523604799806,0.0533066212751583
NotTwin16,0.1415269363844825,0.1324489827718711,0.1366921133311922
Twin_MZ_16B,0.0365704782087289,0.0376384600520473,0.0393910441926619
Twin_DZ_12A,0.0387484703615896,0.0314662677193245,0.0278280383042172
NotTwin17,0.0150501832128576,0.0149491621732769,0.0162667263763686
Twin_DZ_7B,0.0194051165002458,0.0157313277455367,0.0148771878131916
Twin_MZ_6B,0.1404364976330278,0.1335115235789255,0.1325211827449258
NotTwin18,0.0657035464763011,0.0615018998050187,0.0593683096161945
NotTwin19,0.0344920402216415,0.029947170678666,0.0264105833639206
Twin_DZ_8B,0.0286894862616369,0.0274946039747836,0.0264588731616202
Twin_MZ_7B,0.041004519752314,0.0410193946209628,0.039623148402907
Twin_MZ_15B,0.0301870343390681,0.0305651870597779,0.0311489767160351
NotTwin20,0.0500844364326963,0.0453436635647197,0.0435780669425337
Twin_MZ_12B,0.0622258140091647,0.0571854413022489,0.0634012255253507
Twin_MZ_18B,0.0452739156564859,0.0393337455261218,0.035697920156324
NotTwin21,0.0693455003521463,0.069411358548545,0.0782635805204062
NotTwin22,0.0775293768255422,0.0844180428027759,0.078540851387077
Twin_MZ_19A,0.0298883349421535,0.0288902542624085,0.0289155562732019
NotTwin23,0.0319877127940837,0.0286792791168779,0.0269307067077247
Twin_MZ_2B,0.0962987512002031,0.0984178399199136,0.0986937869799449
NotTwin8,0.0393331641617234,0.0306995468296422,0.026839095440537
NotTwin24,0.0601486884423525,0.0587285878479141,0.0576989855330935
Twin_DZ_1B,0.0413963134612483,0.0412129248883589,0.0416527047339907
Twin_DZ_13A,0.0923598412027021,0.0851285111420035,0.0852684786628373
Twin_DZ_12B,0.0216254829399087,0.022245393717564,0.0223385989811007
Twin_MZ_5B,0.0791635642953701,0.0726684769871532,0.0689043944715145
Twin_DZ_13B,0.0992176961783594,0.1025944470790439,0.1036641505674845
Twin_DZ_9B,0.0463231476287269,0.0334733435188908,0.0405611782978436
Twin_MZ_13B,0.1622325031396267,0.2500197657734205,0.31198854956302
Twin_MZ_17B,0.0467961293088796,0.0419437944573134,0.039586782146883
Twin_DZ_11B,0.0180320327344413,0.0158412019391874,0.0140877398170849
Twin_DZ_5B,0.0420105068616864,0.043959119957734,0.0435613225599136
Twin_MZ_9B,0.0493851423750742,0.0420644618123536,0.0387265675753218
