,values,TypeCorr,TwinType,FreqBand
118,0.8711759990988521,Crosscorr,DZ,GAMMA
119,0.9013738272589792,Crosscorr,NT,GAMMA
120,0.9734280393130637,Autocorr,MZ,HIGH GAMMA
121,0.9786718452847664,Autocorr,DZ,HIGH GAMMA
122,0.9772975551444664,Autocorr,NT,HIGH GAMMA
123,0.948667735395352,Crosscorr,MZ,HIGH GAMMA
124,0.8913619883640318,Crosscorr,DZ,HIGH GAMMA
125,0.8948012848054685,Crosscorr,NT,HIGH GAMMA
126,0.9591960816451656,Autocorr,MZ,BROADBAND
127,0.9965145121857656,Autocorr,DZ,BROADBAND
128,0.9911145799589558,Autocorr,NT,BROADBAND
129,0.95226206546492,Crosscorr,MZ,BROADBAND
130,0.9711352158940204,Crosscorr,DZ,BROADBAND
131,0.9823174945570774,Crosscorr,NT,BROADBAND
132,0.7814302337196226,Autocorr,MZ,DELTA
133,0.9888157986365914,Autocorr,DZ,DELTA
134,0.7478706371315187,Autocorr,NT,DELTA
135,0.778882400689282,Crosscorr,MZ,DELTA
136,0.7975684471571811,Crosscorr,DZ,DELTA
137,0.933963088996652,Crosscorr,NT,DELTA
138,0.220376425148712,Autocorr,MZ,THETA
139,0.9667443817425608,Autocorr,DZ,THETA
140,0.8081617485376527,Autocorr,NT,THETA
141,-0.0907250411618952,Crosscorr,MZ,THETA
142,0.8011849446767716,Crosscorr,DZ,THETA
143,0.0421324174430453,Crosscorr,NT,THETA
144,0.4996421495404795,Autocorr,MZ,ALPHA
145,0.9587499110268768,Autocorr,DZ,ALPHA
146,0.9715531250034772,Autocorr,NT,ALPHA
147,0.3291414911808195,Crosscorr,MZ,ALPHA
148,0.6540204060645343,Crosscorr,DZ,ALPHA
149,0.4823135558821147,Crosscorr,NT,ALPHA
150,0.4953359258989613,Autocorr,MZ,BETA
151,0.9782287482651408,Autocorr,DZ,BETA
152,0.9789278668960166,Autocorr,NT,BETA
153,0.3924621351593761,Crosscorr,MZ,BETA
154,0.8628892547682834,Crosscorr,DZ,BETA
155,0.9184404336962596,Crosscorr,NT,BETA
156,0.7837861821298142,Autocorr,MZ,GAMMA
157,0.9462492027528228,Autocorr,DZ,GAMMA
158,0.9647084722518648,Autocorr,NT,GAMMA
159,0.786133483776822,Crosscorr,MZ,GAMMA
160,0.8531581972031972,Crosscorr,DZ,GAMMA
161,0.9193186025372424,Crosscorr,NT,GAMMA
162,0.849012821367639,Autocorr,MZ,HIGH GAMMA
163,0.973423119872258,Autocorr,DZ,HIGH GAMMA
164,0.9786072474196554,Autocorr,NT,HIGH GAMMA
165,0.8015600302496788,Crosscorr,MZ,HIGH GAMMA
166,0.8986321990810777,Crosscorr,DZ,HIGH GAMMA
167,0.933411742038848,Crosscorr,NT,HIGH GAMMA
168,0.9958987221659708,Autocorr,MZ,BROADBAND
169,0.9961701174026084,Autocorr,DZ,BROADBAND
170,0.9968025346516736,Autocorr,NT,BROADBAND
171,0.965516184325111,Crosscorr,MZ,BROADBAND
172,0.9854370284662372,Crosscorr,DZ,BROADBAND
173,0.9811866667608136,Crosscorr,NT,BROADBAND
174,0.9822669820061632,Autocorr,MZ,DELTA
175,0.9584044887322212,Autocorr,DZ,DELTA
176,0.9670072381572276,Autocorr,NT,DELTA
177,0.7890813215753734,Crosscorr,MZ,DELTA
178,0.970414504477528,Crosscorr,DZ,DELTA
179,0.9609488663295904,Crosscorr,NT,DELTA
180,0.8786038056805168,Autocorr,MZ,THETA
181,0.5090945150092617,Autocorr,DZ,THETA
182,0.8223887434039864,Autocorr,NT,THETA
183,0.2534029045086536,Crosscorr,MZ,THETA
184,0.4075348874269222,Crosscorr,DZ,THETA
185,0.0518000528106847,Crosscorr,NT,THETA
186,0.9632955635465764,Autocorr,MZ,ALPHA
187,0.942947576689057,Autocorr,DZ,ALPHA
188,0.9666639896360764,Autocorr,NT,ALPHA
189,0.8000084444948149,Crosscorr,MZ,ALPHA
190,0.6647058503783418,Crosscorr,DZ,ALPHA
191,0.5707191308339269,Crosscorr,NT,ALPHA
192,0.9609977804636636,Autocorr,MZ,BETA
193,0.9624521690268628,Autocorr,DZ,BETA
194,0.9793328938369008,Autocorr,NT,BETA
195,0.7680007712770986,Crosscorr,MZ,BETA
196,0.7854392667375281,Crosscorr,DZ,BETA
197,0.8324462518668674,Crosscorr,NT,BETA
198,0.9636768165173388,Autocorr,MZ,GAMMA
199,0.9607079714162534,Autocorr,DZ,GAMMA
200,0.976381691480068,Autocorr,NT,GAMMA
201,0.7043775255483063,Crosscorr,MZ,GAMMA
202,0.9151802352867336,Crosscorr,DZ,GAMMA
203,0.8995947172415419,Crosscorr,NT,GAMMA
204,0.9821566595122688,Autocorr,MZ,HIGH GAMMA
205,0.9764227305230828,Autocorr,DZ,HIGH GAMMA
206,0.9817044393491234,Autocorr,NT,HIGH GAMMA
207,0.8075618003627663,Crosscorr,MZ,HIGH GAMMA
208,0.955726050728968,Crosscorr,DZ,HIGH GAMMA
209,0.8947818953851499,Crosscorr,NT,HIGH GAMMA
210,0.9709109532245728,Autocorr,MZ,BROADBAND
211,0.9961054201595752,Autocorr,DZ,BROADBAND
212,0.9961529389596004,Autocorr,NT,BROADBAND
213,0.9862682711326982,Crosscorr,MZ,BROADBAND
214,0.9843930031531132,Crosscorr,DZ,BROADBAND
215,0.9694327100867046,Crosscorr,NT,BROADBAND
216,0.73614835537258,Autocorr,MZ,DELTA
217,0.987581533717368,Autocorr,DZ,DELTA
218,0.982934984475474,Autocorr,NT,DELTA
219,0.9684591269439318,Crosscorr,MZ,DELTA
220,0.9279775079889636,Crosscorr,DZ,DELTA
221,0.9449071799977314,Crosscorr,NT,DELTA
222,0.3781828084949398,Autocorr,MZ,THETA
223,0.9448839464437412,Autocorr,DZ,THETA
224,0.8568400598138239,Autocorr,NT,THETA
225,0.6664529335943368,Crosscorr,MZ,THETA
226,0.2138954414082916,Crosscorr,DZ,THETA
227,-0.0398315110325434,Crosscorr,NT,THETA
228,0.8253253692483018,Autocorr,MZ,ALPHA
229,0.956765770590376,Autocorr,DZ,ALPHA
230,0.8869584795699781,Autocorr,NT,ALPHA
231,0.9135741700150116,Crosscorr,MZ,ALPHA
232,0.5419818166617048,Crosscorr,DZ,ALPHA
233,0.3493776256846582,Crosscorr,NT,ALPHA
234,0.8328967649929011,Autocorr,MZ,BETA
235,0.9417911739131952,Autocorr,DZ,BETA
236,0.924839207027508,Autocorr,NT,BETA
237,0.8941197882162236,Crosscorr,MZ,BETA
238,0.7488878979114704,Crosscorr,DZ,BETA
239,0.5630247298158888,Crosscorr,NT,BETA
240,0.7539464767908084,Autocorr,MZ,GAMMA
241,0.9796941942250268,Autocorr,DZ,GAMMA
242,0.9764424416562404,Autocorr,NT,GAMMA
243,0.906416946828986,Crosscorr,MZ,GAMMA
244,0.9282102960092532,Crosscorr,DZ,GAMMA
245,0.8704896775396542,Crosscorr,NT,GAMMA
246,0.8041441937180729,Autocorr,MZ,HIGH GAMMA
247,0.9678668069946172,Autocorr,DZ,HIGH GAMMA
248,0.9755818843348892,Autocorr,NT,HIGH GAMMA
249,0.9306861648831348,Crosscorr,MZ,HIGH GAMMA
250,0.9447974924440222,Crosscorr,DZ,HIGH GAMMA
251,0.8704259987535966,Crosscorr,NT,HIGH GAMMA
252,0.9965886017419416,Autocorr,MZ,BROADBAND
253,0.9941051584975148,Autocorr,DZ,BROADBAND
254,0.9484346478348158,Autocorr,NT,BROADBAND
255,0.9930061562980532,Crosscorr,MZ,BROADBAND
256,0.9906581091677332,Crosscorr,DZ,BROADBAND
257,0.9792677336624248,Crosscorr,NT,BROADBAND
258,0.9906073351113828,Autocorr,MZ,DELTA
259,0.962735596249936,Autocorr,DZ,DELTA
260,0.7160925279213013,Autocorr,NT,DELTA
261,0.982440543071408,Crosscorr,MZ,DELTA
262,0.9775107754113336,Crosscorr,DZ,DELTA
263,0.9476249058786672,Crosscorr,NT,DELTA
264,0.9318692971441688,Autocorr,MZ,THETA
265,0.7925583577563764,Autocorr,DZ,THETA
266,0.1381608001784493,Autocorr,NT,THETA
267,0.9051045092854806,Crosscorr,MZ,THETA
268,0.6540885403646037,Crosscorr,DZ,THETA
269,0.0794528137750498,Crosscorr,NT,THETA
270,0.971279766003044,Autocorr,MZ,ALPHA
271,0.8448582540582171,Autocorr,DZ,ALPHA
272,0.2723932155355397,Autocorr,NT,ALPHA
273,0.8587524163147426,Crosscorr,MZ,ALPHA
274,0.8243725444159895,Crosscorr,DZ,ALPHA
275,0.4963819624505085,Crosscorr,NT,ALPHA
276,0.982799971373763,Autocorr,MZ,BETA
277,0.869172534180201,Autocorr,DZ,BETA
278,0.5529564549755426,Autocorr,NT,BETA
279,0.92696820556969,Crosscorr,MZ,BETA
280,0.8959246793881332,Crosscorr,DZ,BETA
281,0.817989391367185,Crosscorr,NT,BETA
282,0.9671907324550904,Autocorr,MZ,GAMMA
283,0.9508476682658292,Autocorr,DZ,GAMMA
284,0.6094623942040727,Autocorr,NT,GAMMA
285,0.9477281943460772,Crosscorr,MZ,GAMMA
286,0.9217951640721656,Crosscorr,DZ,GAMMA
287,0.9151141270030552,Crosscorr,NT,GAMMA
288,0.9715240546053268,Autocorr,MZ,HIGH GAMMA
289,0.9837631654005072,Autocorr,DZ,HIGH GAMMA
290,0.6922709908840513,Autocorr,NT,HIGH GAMMA
291,0.9525418372721756,Crosscorr,MZ,HIGH GAMMA
292,0.950304761236274,Crosscorr,DZ,HIGH GAMMA
293,0.9156669221204804,Crosscorr,NT,HIGH GAMMA
294,0.9932628337095712,Autocorr,MZ,BROADBAND
295,0.9956105634664096,Autocorr,DZ,BROADBAND
296,0.9814290225305982,Autocorr,NT,BROADBAND
297,0.9944754782810564,Crosscorr,MZ,BROADBAND
298,0.9881577836574996,Crosscorr,DZ,BROADBAND
299,0.9787122942208276,Crosscorr,NT,BROADBAND
300,0.9742296369399606,Autocorr,MZ,DELTA
301,0.967976102589594,Autocorr,DZ,DELTA
302,0.7322848644223566,Autocorr,NT,DELTA
303,0.9670813281762836,Crosscorr,MZ,DELTA
304,0.96373088905114,Crosscorr,DZ,DELTA
305,0.961625603005304,Crosscorr,NT,DELTA
306,0.9048699274226611,Autocorr,MZ,THETA
307,0.9136897814299908,Autocorr,DZ,THETA
308,0.4954298495365603,Autocorr,NT,THETA
309,0.9119412411943206,Crosscorr,MZ,THETA
310,0.6533307155454188,Crosscorr,DZ,THETA
311,0.6904747235762714,Crosscorr,NT,THETA
312,0.8420188885799534,Autocorr,MZ,ALPHA
313,0.9691935393312704,Autocorr,DZ,ALPHA
314,0.5610324687569651,Autocorr,NT,ALPHA
315,0.959532005717172,Crosscorr,MZ,ALPHA
316,0.7848438549867283,Crosscorr,DZ,ALPHA
317,0.6267687447084773,Crosscorr,NT,ALPHA
318,0.942077890770992,Autocorr,MZ,BETA
319,0.953555980777729,Autocorr,DZ,BETA
320,0.863870862035488,Autocorr,NT,BETA
321,0.97336452104747,Crosscorr,MZ,BETA
322,0.8358680296316034,Crosscorr,DZ,BETA
323,0.8742544638834223,Crosscorr,NT,BETA
324,0.9494753692259252,Autocorr,MZ,GAMMA
325,0.9540976910453194,Autocorr,DZ,GAMMA
326,0.8727936315951184,Autocorr,NT,GAMMA
327,0.9564724893222852,Crosscorr,MZ,GAMMA
328,0.9164944378166364,Crosscorr,DZ,GAMMA
329,0.899775562964787,Crosscorr,NT,GAMMA
330,0.9660840540561364,Autocorr,MZ,HIGH GAMMA
331,0.9728899701930932,Autocorr,DZ,HIGH GAMMA
332,0.9615278308770572,Autocorr,NT,HIGH GAMMA
333,0.9585781879818078,Crosscorr,MZ,HIGH GAMMA
334,0.9414433381247024,Crosscorr,DZ,HIGH GAMMA
335,0.9115416662147344,Crosscorr,NT,HIGH GAMMA
336,0.991594820011776,Autocorr,MZ,BROADBAND
337,0.9970698245133344,Autocorr,DZ,BROADBAND
338,0.9938035349724268,Autocorr,NT,BROADBAND
339,0.9906932068186112,Crosscorr,MZ,BROADBAND
340,0.9810124755499956,Crosscorr,DZ,BROADBAND
341,0.9714318721691718,Crosscorr,NT,BROADBAND
342,0.9552570127200608,Autocorr,MZ,DELTA
343,0.9880602508982216,Autocorr,DZ,DELTA
344,0.9103564031731916,Autocorr,NT,DELTA
345,0.9155350520350144,Crosscorr,MZ,DELTA
346,0.95720964317752,Crosscorr,DZ,DELTA
347,0.9600505099315108,Crosscorr,NT,DELTA
348,0.773433849626185,Autocorr,MZ,THETA
349,0.8837371288475446,Autocorr,DZ,THETA
350,0.4925724488881858,Autocorr,NT,THETA
351,0.6751358662751037,Crosscorr,MZ,THETA
352,0.3133030321107991,Crosscorr,DZ,THETA
353,0.2707398529156199,Crosscorr,NT,THETA
354,0.9423829108596538,Autocorr,MZ,ALPHA
355,0.9804734102159344,Autocorr,DZ,ALPHA
356,0.9012754073860666,Autocorr,NT,ALPHA
357,0.902012064164897,Crosscorr,MZ,ALPHA
358,0.6615918049205335,Crosscorr,DZ,ALPHA
359,0.7488535122235283,Crosscorr,NT,ALPHA
360,0.9555742404815184,Autocorr,MZ,BETA
361,0.973096185363058,Autocorr,DZ,BETA
362,0.8573535502836764,Autocorr,NT,BETA
363,0.9124999705763552,Crosscorr,MZ,BETA
364,0.7802974960045652,Crosscorr,DZ,BETA
365,0.7596166107233846,Crosscorr,NT,BETA
366,0.9439533487610116,Autocorr,MZ,GAMMA
367,0.9815223043180898,Autocorr,DZ,GAMMA
368,0.9689952754422584,Autocorr,NT,GAMMA
369,0.9530311487688052,Crosscorr,MZ,GAMMA
370,0.8942881620307037,Crosscorr,DZ,GAMMA
371,0.9050749974739092,Crosscorr,NT,GAMMA
372,0.9333099066880868,Autocorr,MZ,HIGH GAMMA
373,0.9764961472687348,Autocorr,DZ,HIGH GAMMA
374,0.964750520294316,Autocorr,NT,HIGH GAMMA
375,0.9322651095362252,Crosscorr,MZ,HIGH GAMMA
376,0.8758402008949362,Crosscorr,DZ,HIGH GAMMA
377,0.9135429864013812,Crosscorr,NT,HIGH GAMMA
378,0.9973168362916518,Autocorr,MZ,BROADBAND
379,0.988955111519892,Autocorr,DZ,BROADBAND
380,0.9969611825050694,Autocorr,NT,BROADBAND
381,0.9790355323600992,Crosscorr,MZ,BROADBAND
382,0.9721774151306222,Crosscorr,DZ,BROADBAND
383,0.985297010366115,Crosscorr,NT,BROADBAND
384,0.9908402642649204,Autocorr,MZ,DELTA
385,0.8959851716561287,Autocorr,DZ,DELTA
386,0.9848090230111656,Autocorr,NT,DELTA
387,0.8775928194785063,Crosscorr,MZ,DELTA
388,0.8730190305650225,Crosscorr,DZ,DELTA
389,0.9467460610548476,Crosscorr,NT,DELTA
390,0.9417722684690544,Autocorr,MZ,THETA
391,0.7332806004165221,Autocorr,DZ,THETA
392,0.9349599176297811,Autocorr,NT,THETA
393,0.4664687807018012,Crosscorr,MZ,THETA
394,0.5142939933237497,Crosscorr,DZ,THETA
395,0.0691521065080366,Crosscorr,NT,THETA
396,0.9419385703513812,Autocorr,MZ,ALPHA
397,0.718058993724835,Autocorr,DZ,ALPHA
398,0.9601252313896026,Autocorr,NT,ALPHA
399,0.8813868072025399,Crosscorr,MZ,ALPHA
400,0.6178775207842697,Crosscorr,DZ,ALPHA
401,0.5139752844824365,Crosscorr,NT,ALPHA
402,0.9770599977880334,Autocorr,MZ,BETA
403,0.8303465713314788,Autocorr,DZ,BETA
404,0.977385920732623,Autocorr,NT,BETA
405,0.8371128061815685,Crosscorr,MZ,BETA
406,0.6811596554078689,Crosscorr,DZ,BETA
407,0.9060353728512728,Crosscorr,NT,BETA
408,0.978681616571506,Autocorr,MZ,GAMMA
409,0.9187000701804124,Autocorr,DZ,GAMMA
410,0.9740187043695828,Autocorr,NT,GAMMA
411,0.8890104043806031,Crosscorr,MZ,GAMMA
412,0.7666890943220166,Crosscorr,DZ,GAMMA
413,0.9315170042371848,Crosscorr,NT,GAMMA
414,0.9786231071936656,Autocorr,MZ,HIGH GAMMA
415,0.946508705483078,Autocorr,DZ,HIGH GAMMA
416,0.9794993468210792,Autocorr,NT,HIGH GAMMA
417,0.8478294688077641,Crosscorr,MZ,HIGH GAMMA
418,0.816688610323839,Crosscorr,DZ,HIGH GAMMA
419,0.9415717721746002,Crosscorr,NT,HIGH GAMMA
420,0.9973462574460454,Autocorr,MZ,BROADBAND
421,0.9976961037513314,Autocorr,DZ,BROADBAND
422,0.996007729283844,Autocorr,NT,BROADBAND
423,0.9883742710688742,Crosscorr,MZ,BROADBAND
424,0.9665157875215952,Crosscorr,DZ,BROADBAND
425,0.9837966362726952,Crosscorr,NT,BROADBAND
426,0.9896426771211184,Autocorr,MZ,DELTA
427,0.9888831629753078,Autocorr,DZ,DELTA
428,0.8922294820892146,Autocorr,NT,DELTA
429,0.9525435285831636,Crosscorr,MZ,DELTA
430,0.9405235041566532,Crosscorr,DZ,DELTA
431,0.9559144649814304,Crosscorr,NT,DELTA
432,0.9147653325607356,Autocorr,MZ,THETA
433,0.9124676715406136,Autocorr,DZ,THETA
434,0.623539344766712,Autocorr,NT,THETA
435,0.8588318226482681,Crosscorr,MZ,THETA
436,0.6317796137714081,Crosscorr,DZ,THETA
437,0.7391323070674345,Crosscorr,NT,THETA
438,0.9715347745226504,Autocorr,MZ,ALPHA
439,0.9500799721719528,Autocorr,DZ,ALPHA
440,0.9523866497029936,Autocorr,NT,ALPHA
441,0.8274357393385275,Crosscorr,MZ,ALPHA
442,0.345036889199302,Crosscorr,DZ,ALPHA
443,0.7204662398122466,Crosscorr,NT,ALPHA
444,0.974180910286458,Autocorr,MZ,BETA
445,0.9648067504859495,Autocorr,DZ,BETA
446,0.972779028858782,Autocorr,NT,BETA
447,0.941951906702378,Crosscorr,MZ,BETA
448,0.78273244171069,Crosscorr,DZ,BETA
449,0.822175472477807,Crosscorr,NT,BETA
450,0.9761124793429188,Autocorr,MZ,GAMMA
451,0.9852930912810324,Autocorr,DZ,GAMMA
452,0.9764605164491256,Autocorr,NT,GAMMA
453,0.8944785443322613,Crosscorr,MZ,GAMMA
454,0.8566250319753812,Crosscorr,DZ,GAMMA
455,0.8664320568962227,Crosscorr,NT,GAMMA
456,0.9857009260517064,Autocorr,MZ,HIGH GAMMA
457,0.9856174881748672,Autocorr,DZ,HIGH GAMMA
458,0.9792872307231116,Autocorr,NT,HIGH GAMMA
459,0.921746573377267,Crosscorr,MZ,HIGH GAMMA
460,0.9312650718534023,Crosscorr,DZ,HIGH GAMMA
461,0.9159410677985292,Crosscorr,NT,HIGH GAMMA
462,0.9979911758348382,Autocorr,MZ,BROADBAND
463,0.9944630329053924,Autocorr,DZ,BROADBAND
464,0.9976571360497148,Autocorr,NT,BROADBAND
465,0.9862619371065144,Crosscorr,MZ,BROADBAND
466,0.9652233819040898,Crosscorr,DZ,BROADBAND
467,0.967937489482829,Crosscorr,NT,BROADBAND
468,0.9888227038583997,Autocorr,MZ,DELTA
469,0.905200734246214,Autocorr,DZ,DELTA
470,0.9848834607231358,Autocorr,NT,DELTA
471,0.9634942050498188,Crosscorr,MZ,DELTA
472,0.8757637984502664,Crosscorr,DZ,DELTA
473,0.9167633297826872,Crosscorr,NT,DELTA
474,0.9355374061083744,Autocorr,MZ,THETA
475,0.8341600719371007,Autocorr,DZ,THETA
476,0.9441419601213548,Autocorr,NT,THETA
477,0.8113859459633677,Crosscorr,MZ,THETA
478,0.6645795158331198,Crosscorr,DZ,THETA
479,-0.1692039624834362,Crosscorr,NT,THETA
480,0.9721310927263156,Autocorr,MZ,ALPHA
481,0.9528382608293056,Autocorr,DZ,ALPHA
482,0.9692727075691808,Autocorr,NT,ALPHA
483,0.8578375607660705,Crosscorr,MZ,ALPHA
484,0.424108596905875,Crosscorr,DZ,ALPHA
485,0.7941439808621944,Crosscorr,NT,ALPHA
486,0.9815342833825708,Autocorr,MZ,BETA
487,0.9492409165070608,Autocorr,DZ,BETA
