,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
S_suborbital L,0.9810082444433739,0.9827284392337625,0.9597402720871655,0.9462609879313434,0.028687141388469273,0.015733175803244466,0.048572944810254655,0.04346713045954022
S_suborbital R,0.9811608986381166,0.9727507155321725,0.9682006189720317,0.9500054884718466,0.026300203251857206,0.024787761405119714,0.028179506919699934,0.037812900822857154
S_subparietal L,0.9453511882244506,0.959063754741512,0.9232407003265563,0.8658712069685567,0.08048437291933513,0.04971251934273268,0.06877311959454038,0.08865691541293814
S_subparietal R,0.9477948923687147,0.9489274946211845,0.9154525167225469,0.8583015050601464,0.07670973329002224,0.04507093807439098,0.0573885547589462,0.10091923793329274
S_temporal_inf L,0.959971803541262,0.9679491837877382,0.9105416339130947,0.8904657516929267,0.06630052788125612,0.02538722895925475,0.07625922186547822,0.08480797057921956
S_temporal_inf R,0.9574161837179002,0.9641083800543203,0.9450052006428423,0.8902078075634872,0.06717859022052117,0.029320495359066872,0.04598262430488273,0.07736926057239438
S_temporal_sup L,0.9454955735244546,0.9539258342117096,0.8994507636401229,0.8510311399570194,0.07729120251185558,0.06817548291971917,0.05717895050067494,0.09962279511844219
S_temporal_sup R,0.9455941927556633,0.9554192491878175,0.9212830750712478,0.8569830341295317,0.08295978428807194,0.059944072828327956,0.050887171796707854,0.09494343292696214
S_temporal_transverse L,0.9554123902033904,0.9619671863532229,0.9072776234410924,0.8861039155356565,0.06639931792421863,0.04462169463262104,0.06913011134163843,0.0720931527064832
S_temporal_transverse R,0.9580108950126315,0.9655563835288318,0.9356271596679098,0.8918861023413207,0.06739759225204148,0.03157556710191013,0.037516077544793205,0.07045696588233324
