ID,Z_score
Twin_MZ_1A,0.4450120707839175
Twin_MZ_2A,0.38440980541568087
NotTwin1,0.38453318671005926
Twin_DZ_1A,0.30592982436158594
Twin_DZ_2A,0.3811599781520195
Twin_DZ_3A,0.2952262366909185
Twin_DZ_3B,0.4746179329472411
Twin_DZ_4A,0.24403258624957846
Twin_MZ_3A,0.41746094985515303
NotTwin2,-1.9573894482413108
Twin_MZ_4A,0.4562068456592939
NotTwin3,0.43905964938970504
Twin_DZ_2B,0.38267425220110707
Twin_MZ_5A,-0.45261109507212327
Twin_MZ_6A,0.4777314224654581
NotTwin4,0.40057628605490037
NotTwin5,0.46255746282650223
NotTwin6,0.3949197565185775
Twin_DZ_5A,0.39809693045785643
Twin_MZ_7A,0.36123847976892925
Twin_DZ_6A,0.5034663348757454
Twin_MZ_8A,0.45394345049103135
Twin_MZ_3B,-2.943966368778955
NotTwin7,-3.7464957155342145
Twin_MZ_9A,0.5079163508217083
Twin_MZ_10A,0.5021276185747132
Twin_DZ_7A,0.11108005410011047
NotTwin9,0.406507951901032
NotTwin10,0.4702188314639309
NotTwin11,0.3525450968710436
Twin_MZ_11A,0.37842304876893396
Twin_MZ_12A,0.4559651702808162
NotTwin12,0.47430803150341627
NotTwin13,0.4906537389220718
Twin_MZ_13A,0.4743338228460271
Twin_DZ_8A,0.4664925365198569
Twin_MZ_11B,0.3733440206694259
Twin_DZ_9A,0.4453240520770927
Twin_MZ_14A,-3.006229171768299
Twin_MZ_15A,0.4027166637319449
Twin_MZ_14B,-0.8168456305598597
NotTwin14,0.49626289410100655
Twin_DZ_10A,-0.29685277588165354
Twin_MZ_10B,0.20668875511480828
Twin_MZ_8B,0.33061632483817116
NotTwin15,-0.3630723818894986
Twin_DZ_4B,0.3534813674546644
Twin_MZ_16A,0.1198883163692236
Twin_DZ_11A,0.4566773200097102
Twin_MZ_17A,0.4829213143450087
Twin_MZ_1B,0.44476728935490856
Twin_MZ_4B,0.029636581267703105
Twin_DZ_6B,-0.24524320226223095
Twin_MZ_18A,0.2727789053487162
Twin_DZ_10B,0.435043555182059
NotTwin16,0.1321745720985177
Twin_MZ_16B,-3.149969687089782
Twin_DZ_12A,0.3701369631387953
NotTwin17,0.2770323174229189
Twin_DZ_7B,0.3532550118079883
Twin_MZ_6B,0.24082786356125777
NotTwin18,-0.26697754582900896
NotTwin19,0.09293802108380442
Twin_DZ_8B,0.43113987468611037
Twin_MZ_7B,0.4126363357991337
Twin_MZ_15B,0.47753804014881573
NotTwin20,-0.197124595794097
Twin_MZ_12B,-0.0011109088156017561
Twin_MZ_18B,0.3433687098193841
NotTwin21,0.039638109116441424
NotTwin22,0.43883807660029406
Twin_MZ_19A,0.47434780062250015
NotTwin23,0.2854483677089894
Twin_MZ_2B,0.345850111325279
NotTwin8,-2.2460783918177296
NotTwin24,-0.6592326146390448
Twin_DZ_1B,0.4312866157611126
Twin_DZ_13A,0.294365035120829
Twin_DZ_12B,0.426029401445778
Twin_MZ_5B,-0.24865411355881484
Twin_DZ_13B,-0.892741364744794
Twin_DZ_9B,0.4572839147208216
Twin_MZ_13B,0.4484303780318627
Twin_MZ_17B,0.42314281629294076
Twin_DZ_11B,0.3943102772004097
Twin_DZ_5B,-4.9900868158244664
Twin_MZ_9B,0.5355719435047411
NotTwin25,-0.09281685841747675
Twin_MZ_19B,0.4443350751870832
