Subjects,Twin_MZ_1A,Twin_MZ_1B,Twin_MZ_2A,Twin_MZ_2B,Twin_MZ_3A,Twin_MZ_3B,Twin_MZ_4A,Twin_MZ_4B,Twin_MZ_5A,Twin_MZ_5B,Twin_MZ_6A,Twin_MZ_6B,Twin_MZ_7A,Twin_MZ_7B,Twin_MZ_8A,Twin_MZ_8B,Twin_MZ_9A,Twin_MZ_9B,Twin_MZ_10A,Twin_MZ_10B,Twin_MZ_11A,Twin_MZ_11B,Twin_MZ_12A,Twin_MZ_12B,Twin_MZ_13A,Twin_MZ_13B,Twin_MZ_14A,Twin_MZ_14B,Twin_MZ_15A,Twin_MZ_15B,Twin_MZ_16A,Twin_MZ_16B,Twin_MZ_17A,Twin_MZ_17B,Twin_MZ_18A,Twin_MZ_18B,Twin_MZ_19A,Twin_MZ_19B
Twin_MZ_1A,0.9972264520106984,0.9944950914699564,0.9760106257314456,0.9617110497713843,0.982394766438045,0.9168637621360758,0.9768838202944903,0.9772410857593848,0.9749643564663333,0.9558070911797469,0.97659224858515,0.983138831733432,0.9664656939498437,0.9731396577756832,0.9883548425777522,0.9829743821693784,0.9787532461504873,0.9793945913459025,0.9845548870154911,0.9768035918882558,0.9754027071115541,0.9681990136882437,0.9763223592983277,0.9739671657026662,0.9732763264153212,0.9775174935117225,0.9719223990412118,0.953366047648347,0.9844281322891932,0.9864839766974252,0.9514481661098964,0.92673276927553,0.9838036903356127,0.9834167237009657,0.9836847709117976,0.9853065230134623,0.9737640715057652,0.9764891962850999
Twin_MZ_1B,0.9937324698242911,0.9972236396230785,0.9750918634224723,0.9573035309770201,0.9799167814420175,0.9142584060245746,0.9780950145706189,0.9792620098481661,0.9762763762085152,0.9575423374915644,0.9768942051537315,0.9845224240017085,0.9679862939200721,0.9737411573978243,0.9889977531265146,0.9846945210284026,0.9794732389075227,0.9807967453350932,0.9850358422778376,0.9792689723659034,0.9758184011891712,0.9701872689952241,0.9792321407373445,0.9776267028308416,0.9753156318065168,0.980558590507036,0.9737141549074324,0.9547121764991124,0.9818020084693337,0.9847493228739403,0.9525951095411447,0.9306301474973782,0.9834788034118969,0.9823963305887945,0.9844710590300265,0.9865982101807347,0.974328375178078,0.976563735806157
Twin_MZ_2A,0.9753905296513543,0.9712665011316053,0.9965301693656075,0.9900731232025284,0.9852915367637494,0.9124154873017258,0.9795575642960197,0.9786107505186838,0.9761495504760617,0.9559128172515878,0.9785596772304122,0.9722333845731113,0.9797624327950707,0.9850486421940353,0.979576124494234,0.9798350050981679,0.9793926118292539,0.9744189832487511,0.9851183415785486,0.9857499372000469,0.9771570048247693,0.9770859582542948,0.9695565489794713,0.9712420488024407,0.9645928715189551,0.9640605886585949,0.9779172968724443,0.9580624490160844,0.9806714215213973,0.9845793348504479,0.9647051159286939,0.9242354716620874,0.9816780873117883,0.9802289333135719,0.9762013391903057,0.9796706064996342,0.9747780732232348,0.9698337216108369
Twin_MZ_2B,0.969741402886698,0.9630203655741862,0.9898340908510822,0.9960871422669995,0.9827402649325304,0.9125550049806286,0.9795211346032815,0.9774511313911058,0.9743208924205873,0.9567123497130812,0.9781927832144035,0.9694159467141399,0.9746261910523222,0.9789598148497152,0.9715221601534526,0.9740638379105646,0.9742473129369696,0.9676220884555251,0.9804124347580889,0.9800361960536741,0.9716159488142504,0.972972937743724,0.965016645813872,0.967750193901225,0.9632051325634271,0.9616858200414689,0.973901697651562,0.9610277932356135,0.9755964360091802,0.9797286888513719,0.9634081523551414,0.921853390679717,0.9751675386917976,0.9771069400117147,0.9669532964081906,0.9710490931586595,0.9766762153926495,0.9725476289919115
Twin_MZ_3A,0.9863578757160911,0.9800197168409107,0.9852602901628,0.981852828005879,0.9969099066268099,0.9147169428370528,0.9837040722889943,0.9848933071596602,0.9814053565327483,0.9629403135419969,0.9843318938470083,0.9808846861752412,0.977471626207555,0.9819601072174464,0.9824959129870974,0.9843140800090264,0.9818978090396728,0.9805632910031148,0.9850349604776653,0.9832640487452208,0.9823867860220082,0.9814099348258544,0.9758565070884093,0.9738577631871905,0.9726083135535553,0.9716265815922626,0.9792182594888953,0.9591652258084693,0.985494599628985,0.9872343360901785,0.965446580319775,0.9291989265158205,0.9834690238265597,0.9840090107808954,0.9805789743102027,0.9841163154732688,0.9799853022379434,0.9754971763846427
Twin_MZ_3B,0.9620073126494035,0.9609218875821743,0.9682937586096515,0.9555559150922104,0.9621549619176033,0.958289180314388,0.9660089269465145,0.963289373626391,0.9677961774024431,0.9607371306885144,0.95978212550159,0.9622462225548505,0.9632278091118363,0.9652747899860292,0.966628954386411,0.9635976788508043,0.9634363852869052,0.9596905974781829,0.9705780386816214,0.9706312770555955,0.964025852093513,0.9608189026764775,0.960926725982822,0.9591602610111725,0.958997116444602,0.9628434625156068,0.9667041412373234,0.9624199566263725,0.965408381250741,0.9682245150480121,0.9546524619015516,0.9532352278040328,0.9676892481991269,0.9699719444424884,0.9600424259482815,0.9606370404736178,0.963585020483573,0.9664649328650562
Twin_MZ_4A,0.978465627144776,0.9766820655092875,0.9828357186953643,0.9771883644533728,0.984619788580359,0.9106042508272632,0.9973550730682457,0.9950086295062588,0.99026327754695,0.978972166267319,0.9871479362762752,0.9838129815258514,0.9819026446510177,0.9857395543135042,0.9837905187992055,0.9867609144165181,0.9908311241186248,0.9884033526635203,0.986986420880599,0.9891873630393484,0.9864976985133798,0.9876579998059831,0.9861269164519373,0.9862829145969356,0.9798764644424275,0.980349894634583,0.9868551677100736,0.9745729090591835,0.9749324315550245,0.9806897248545439,0.9759806499966354,0.9432487526410539,0.981908148800734,0.9820536029579912,0.9786528357837944,0.9836733022491089,0.9905535616109409,0.9864204850231295
Twin_MZ_4B,0.9752316702001711,0.9742406246973627,0.9768243143940158,0.9694791395756692,0.9777780558574467,0.9105406569686031,0.9926380483314716,0.9924540438706906,0.9894713064435491,0.9789481572280054,0.9819538884334537,0.983526695206214,0.9801890871336792,0.9814870317796606,0.9822060822392294,0.9845973227948182,0.9878045553912447,0.986062735201692,0.9850764908069309,0.987044759812687,0.9849832647050188,0.9847978832078381,0.9844229922936086,0.9827348075905677,0.9801483643997679,0.9805894383252305,0.9844827032465888,0.9744835574480395,0.974228018288092,0.9782284594143795,0.9749411957930755,0.9420879310791764,0.9816746395850489,0.9825043978920124,0.9777083838624886,0.9801021693192051,0.9898208216470019,0.9869302465350349
Twin_MZ_5A,0.9692098827851513,0.9683107401611873,0.9630172264241532,0.9530787439711161,0.9685509873077859,0.9362629005613303,0.9803880420169515,0.9790650595507804,0.9869133155558241,0.980523187125748,0.9704333410720483,0.9748891262668227,0.9721732608209068,0.971786352896508,0.9766255845707885,0.9812778725536282,0.9770667852774149,0.9759151624528133,0.97412195814361,0.9766587104291398,0.9780348271701488,0.9771567043279469,0.9820817846725289,0.9772708511579535,0.9692292567315078,0.9729618236343291,0.9805948358981837,0.9753382702137083,0.9653843185379674,0.9716950272236878,0.9679642308595571,0.9685733279136113,0.9725209256478711,0.975475909301559,0.9724267784717265,0.9743970614249845,0.9761357893304792,0.9756052122157903
Twin_MZ_5B,0.9641537352680859,0.9612073188739028,0.9689077674659965,0.9662449838976638,0.9715787571571045,0.9016243449382684,0.9876087021590191,0.985770994802327,0.991056346055071,0.9892566554575578,0.979884207228457,0.9791719074259289,0.9827357010122242,0.9829999074903009,0.9763668584338407,0.9789948444220054,0.9834162661101415,0.97822790249617,0.9756251299882042,0.9784493422167566,0.9848379665962564,0.9858944721341849,0.9854541120876251,0.9824035086784393,0.974635787881228,0.9768321444368109,0.9888819622465297,0.9786036226046066,0.9614298246224577,0.9667325421209694,0.985863451083201,0.9471134064564319,0.9773492137817744,0.9768936028704542,0.9676856310307633,0.9709723354916575,0.9844527541169268,0.976567665181614
