Subjects,Twin_DZ_1A,Twin_DZ_1B,Twin_DZ_2A,Twin_DZ_2B,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_DZ_4B,Twin_DZ_5A,Twin_DZ_5B,Twin_DZ_6A,Twin_DZ_6B,Twin_DZ_7A,Twin_DZ_7B,Twin_DZ_8A,Twin_DZ_8B,Twin_DZ_9A,Twin_DZ_9B,Twin_DZ_10A,Twin_DZ_10B,Twin_DZ_11A,Twin_DZ_11B,Twin_DZ_12A,Twin_DZ_12B,Twin_DZ_13A,Twin_DZ_13B
Twin_DZ_1A,0.9945520646061852,0.9874913299655714,0.9890202565038709,0.9733359204467493,0.9852672567440317,0.9850150411924723,0.9855700525340989,0.9816789316807167,0.9851156093774303,0.9052600176835233,0.9839547704593845,0.9584589198585708,0.9708218745379751,0.9806176689594845,0.9780621664254603,0.9858971238454999,0.9827822125542637,0.9867577947020465,0.9799007016146767,0.9450335087651032,0.9845320155806059,0.9834278911381555,0.9710600507373315,0.9824830248632317,0.9651535318519473,0.9835995195551701
Twin_DZ_1B,0.9874116919363926,0.996394005852848,0.9911145042891273,0.9789021902882655,0.9865894125948105,0.9855018975296145,0.9867621992413947,0.9809948056724382,0.9879752692155503,0.9108171134731093,0.9879192358072268,0.9643362245120968,0.9707831059320429,0.9834090708454617,0.9743299298879563,0.9846985876798782,0.9791153862686932,0.9895089362230305,0.9789173088038863,0.9527432222155883,0.98728687326327,0.979340980550341,0.9722885255622404,0.9854958813734938,0.9643239422840442,0.9896224519609721
Twin_DZ_2A,0.9889062654153112,0.9914835909970346,0.996517687925847,0.9801136378830955,0.9861479821128041,0.9891312903757256,0.989088166842029,0.9820455388022573,0.9909719930798421,0.9076196405728956,0.9890992696002449,0.9630022849620953,0.970340163940688,0.9823653445853499,0.9804866002459429,0.9867517542707,0.9822574838337546,0.9919138332077828,0.9821070296856984,0.9561861200863702,0.9890435617897795,0.9816146804344683,0.97237117685766,0.9864909348472519,0.9643199920650162,0.9903794745166745
Twin_DZ_2B,0.9707310694125151,0.9667262814598192,0.9769185391746722,0.9958737270349398,0.9762397052492344,0.9723873447301017,0.9852070498824542,0.9749644908383435,0.9648715247202411,0.8837441424957289,0.9581562245350748,0.9530940214298751,0.979451144078572,0.9707538649646961,0.9771267158729133,0.9713557094651655,0.9821296007976342,0.96628360452866,0.9597135431766006,0.9051717846041416,0.9739433120612356,0.984517238609748,0.9749849425623331,0.9714907451612651,0.9566632329845279,0.97724418616267
Twin_DZ_3A,0.9853293347214311,0.9871861102415902,0.9857764644262662,0.9805395640837568,0.9973723502024107,0.9859637716536409,0.9907634404057302,0.9919465284281138,0.9857435675934764,0.9180492333064308,0.9850429664712722,0.9743064924134501,0.9835286998783124,0.9905268522745398,0.9761067068806429,0.986465020205938,0.9814970765986958,0.9817475358383518,0.9745308074743535,0.9343104762647751,0.9824926799825859,0.9826837696213115,0.9884312909850042,0.9906631435711721,0.9695204199658753,0.9859518328059469
Twin_DZ_3B,0.9867614926807755,0.9818241300193962,0.9876726687506452,0.974198675184333,0.9830880645489977,0.9961681072955251,0.983000352132622,0.9800098767749861,0.982100169332818,0.9103543065305917,0.9837809348120148,0.9556594321710074,0.961534831957547,0.9756126330064558,0.9813151175135183,0.9837821922608936,0.9819045398294199,0.9865116884996246,0.9831968129602884,0.9579254590125669,0.9877661730774935,0.9809122908918889,0.9681836275658396,0.980194166821869,0.9608371039673613,0.9774780376636278
Twin_DZ_4A,0.9849845330487295,0.9845842146106536,0.9883949763548965,0.9842172269248981,0.9879564819677302,0.9820078395303251,0.9971245034018832,0.9883749092811818,0.9818004559252547,0.8988372687991655,0.9793187194981251,0.9667330297549994,0.9807188503557931,0.9843095782830611,0.9796144737022809,0.9832792858843631,0.9840185861826182,0.9798001575496569,0.9720721213411393,0.9276193619495097,0.9852521693111143,0.9856496524827164,0.9829819738462149,0.988165455003561,0.9668738118535478,0.9844429408084888
Twin_DZ_4B,0.9792972650770981,0.9784116222386807,0.9788868298059508,0.9741567912025417,0.9895651977225928,0.9762759879002085,0.9900472560890713,0.9956007613814637,0.9809150026935614,0.9063278779826657,0.9771353739385208,0.9755295146372744,0.9788544353805679,0.9851360759191949,0.973968518432965,0.9775159801940982,0.9757219297537953,0.971580081998842,0.9656446155591808,0.9169160974964556,0.9757284094978851,0.9793962104752933,0.9856954638806797,0.9877854017297751,0.9674329826825443,0.9792400750463843
Twin_DZ_5A,0.9844366526894933,0.9887224073680764,0.9886859336396938,0.97187404284575,0.9819699642669604,0.9833986139383606,0.9829946856285597,0.9820734435649962,0.9961198382941496,0.9082954356439107,0.9875561550471919,0.959375048729691,0.9613345372563069,0.9767013882089332,0.9765735037852479,0.9810288687915922,0.9758722194173539,0.9874470406867202,0.9796346846966171,0.956108369293609,0.9856708669948069,0.9761465653503072,0.9646755646488915,0.9836182215735145,0.9568637581896442,0.9862905200768597
Twin_DZ_5B,0.9727546522776176,0.9740983557906367,0.9717118780012393,0.9488962263981426,0.9722591978065432,0.9735080723716094,0.9659467811320523,0.9715699041496006,0.9756971807895957,0.944045793386513,0.9756750123260935,0.9514612096884735,0.9455132502555748,0.9667350326783686,0.957624293019828,0.969366616254606,0.9648828684897641,0.9761499496811403,0.9748628919267959,0.9434732134468673,0.9681340191073668,0.956909986863045,0.9556505819107917,0.9718240896331842,0.9535997571969457,0.963886765124112
