Subjects,Twin_MZ_1A,Twin_MZ_1B,Twin_MZ_2A,Twin_MZ_2B,Twin_MZ_3A,Twin_MZ_3B,Twin_MZ_4A,Twin_MZ_4B,Twin_MZ_5A,Twin_MZ_5B,Twin_MZ_6A,Twin_MZ_6B,Twin_MZ_7A,Twin_MZ_7B,Twin_MZ_8A,Twin_MZ_8B,Twin_MZ_9A,Twin_MZ_9B,Twin_MZ_10A,Twin_MZ_10B,Twin_MZ_11A,Twin_MZ_11B,Twin_MZ_12A,Twin_MZ_12B,Twin_MZ_13A,Twin_MZ_13B,Twin_MZ_14A,Twin_MZ_14B,Twin_MZ_15A,Twin_MZ_15B,Twin_MZ_16A,Twin_MZ_16B,Twin_MZ_17A,Twin_MZ_17B,Twin_MZ_18A,Twin_MZ_18B,Twin_MZ_19A,Twin_MZ_19B
Twin_MZ_1A,0.9920315055992268,0.8780734041677046,0.811546935316596,0.7933394068763218,0.834936673961918,0.8192067829741069,0.7951162443345661,0.8085859812265147,0.7926956073894171,0.7740344898252939,0.8106255108980712,0.8231899577678149,0.8460781694313145,0.8443428038142999,0.8700662113085116,0.8655754788054628,0.8534866289248073,0.8293666760903421,0.8580032573764554,0.8461047169189053,0.8070577011833381,0.7993000460781267,0.7616034074935845,0.7580896695346402,0.7796885307143174,0.7849009396006094,0.7903611818864151,0.8063490452183176,0.8601775938281075,0.8494687204296968,0.7935710125938841,0.8047545092320377,0.872713386006962,0.8789835732813249,0.8699856188151551,0.8453139508892046,0.770157493035144,0.7822208407011844
Twin_MZ_1B,0.8713148271862663,0.9912121844498358,0.7964207466539206,0.7870494679839312,0.8381769036023657,0.8135173011781763,0.81150508630849,0.8199240690275629,0.7928032695874628,0.7716051027406599,0.8243243700753771,0.8429280095794134,0.8523749075155511,0.8368758941815952,0.8764106920829055,0.8828161370469316,0.8513107747006945,0.8358080950968072,0.8360786397908746,0.8325861620625792,0.8305351686024033,0.7806360259858235,0.7591270435239164,0.7680882321809765,0.7852737379583832,0.7945889888001016,0.8023414851769116,0.8015899924477077,0.8228399019217711,0.8444794781263838,0.7881615954296406,0.7981985425407334,0.8637752054736532,0.8364251837662156,0.8713969572783511,0.8261142606302643,0.7767712897438105,0.7776644039143241
Twin_MZ_2A,0.8210973367745643,0.7970126007711613,0.9911796127078684,0.9093102687190483,0.8491192383418129,0.8876597242149391,0.7703193390710542,0.7729103023549461,0.7466038237115311,0.7326393647359258,0.7718163518783733,0.7793246109477808,0.8194402564265638,0.8117480856566635,0.8502495501948283,0.8406022459225346,0.8054522889866431,0.7991722166678304,0.8599524117262168,0.8635966748269893,0.7496845554498568,0.7640730227651489,0.6716678616451178,0.6688974367213766,0.7327867501079395,0.7190684828457241,0.7332801575400224,0.75324272994479,0.8700202162322223,0.8796163270553301,0.7609162166951833,0.7688119882208833,0.8661549950949515,0.8521065247804342,0.8399123289588881,0.8246305433792704,0.7567666772746159,0.7746934698197483
Twin_MZ_2B,0.7765850360383574,0.7589421080138556,0.8963624950827582,0.9873018171984843,0.8069477694643923,0.8695156586447641,0.742589756806147,0.7540762437779556,0.7216270326195205,0.6920350162707014,0.723666246436606,0.7350175625749511,0.7668587469029914,0.7743725884507627,0.8002960044383933,0.7877086561415387,0.7855805485859071,0.7551294160589638,0.8542831614098837,0.8664266512237635,0.7062923939341893,0.7234048031236967,0.6355108660442687,0.6233393378095557,0.7378289807496652,0.6906031501919048,0.6889015280164449,0.721893195957815,0.8778937024328847,0.8758712148347244,0.7122381452226981,0.7074236308533769,0.8139692527088047,0.8352283192516874,0.7645842335213197,0.776870468468795,0.7339892387853058,0.7889345398863346
Twin_MZ_3A,0.8408539207312902,0.834835982776796,0.8428920863090165,0.8417515927574595,0.9897599880135273,0.8834073926449973,0.9000044144193559,0.9003711450811122,0.8869758577651657,0.8710222871134438,0.876410927957907,0.8804811051962504,0.8886043729247672,0.8767032803453938,0.8825983259118125,0.893273511743111,0.9002947049754173,0.8973845148656068,0.8510270924991026,0.8856421831757765,0.8799307348987212,0.8877622461774187,0.8321073653159357,0.8253546136127223,0.8408140421998899,0.8384770052963302,0.873276536635645,0.8813826232069625,0.8453752168169144,0.8727264447564455,0.8702352214812121,0.888233286060802,0.8801153664453946,0.8596522840040013,0.8444534770562628,0.8378597778507041,0.869522843239149,0.87022827958271
Twin_MZ_3B,0.8159022563800694,0.8122977184359631,0.8659530209863805,0.8637686122323475,0.8694910842818635,0.9849371231777657,0.8318727867025906,0.8479590678894022,0.8163099407171996,0.8276421690926725,0.8243410094279897,0.8283270544564706,0.8516135946276968,0.8246348098340074,0.8295553962980199,0.8675996891352535,0.8679685521626319,0.8588850436588302,0.8657385319671596,0.8690656873445419,0.8047670188781015,0.80399341140242,0.733029462947762,0.7374749991659054,0.8112913880315328,0.8073911547775313,0.8008364608421221,0.8112434506216809,0.8519436392431574,0.8807839636777978,0.8116224528934405,0.8126753953596311,0.8596888237211344,0.8390067039340389,0.8073044219548597,0.7782947692244796,0.820235949693512,0.85243823730721
Twin_MZ_4A,0.7857047541133136,0.7939684682163911,0.7563138474012387,0.7752745887158596,0.9029232368259886,0.8196673402398661,0.9954527412697488,0.9182985375771686,0.8701206997057548,0.888022884156049,0.8923179240918893,0.8806698318980725,0.8660448451625687,0.8699322512985315,0.8151259525871591,0.8566654238410407,0.8829231970253676,0.8853326889232953,0.810973518875967,0.8383787839746746,0.8795470462786594,0.8886429215120212,0.8376619895788768,0.8451674148437999,0.8639527614812279,0.8583998305070168,0.8750293150447626,0.8945228640522382,0.7744678395717135,0.801400552757395,0.8787833038792014,0.870077852820131,0.8207194001863076,0.7816082515859732,0.7738215526130965,0.757902717139422,0.8855868620854616,0.883807546723408
Twin_MZ_4B,0.7743848026238304,0.7832269281434673,0.7502262600029546,0.7786921310060769,0.8839587768438841,0.821027837037745,0.9090755773586193,0.9820413077478157,0.886295571413906,0.9043527915157038,0.8860426548933413,0.884421484266847,0.8744217581517363,0.8634348597043326,0.8001700981713235,0.8464624561084615,0.8909874638466742,0.8828840274625347,0.8168594899270667,0.8572898253624426,0.8903983107852593,0.8848938596010061,0.8326646001333746,0.8377633976810719,0.8742491366551081,0.8975111391093129,0.911245169382805,0.9060013188290931,0.7760461836181285,0.7972846701256422,0.8774827070968801,0.8652530319978612,0.8072462568129614,0.7784222281295732,0.7649204565209214,0.7485774503342437,0.8792326610253217,0.892871199035011
Twin_MZ_5A,0.7789496993286248,0.7778155125771684,0.7002093091157422,0.7132196414604979,0.8854922168917955,0.7759864368467965,0.8741309984039298,0.897292768417911,0.9850970800942096,0.9071874523921056,0.8918392807848354,0.8804854817029573,0.8694822037296867,0.851229928861994,0.7964140330618278,0.8569939868801784,0.8835257143552976,0.8694927206733573,0.7961102691419399,0.8213120032949741,0.9120817766152366,0.8971699014985843,0.8757249288126111,0.8856750567809655,0.8601742338361986,0.8789104590470548,0.8996030974915679,0.893151244256098,0.7468177726176831,0.7821247087345691,0.8827667931272491,0.8704900106321647,0.7967190151197896,0.7789040073634605,0.7643845834163664,0.7507507805479572,0.8716816321482846,0.868891008358931
Twin_MZ_5B,0.7593542230481115,0.7533806580434853,0.7111886978244834,0.728314918336748,0.8762635194775206,0.8037890135512827,0.8937313961512372,0.9096978159294857,0.9057273091598887,0.9944908980026075,0.8690437684355384,0.866162957890119,0.8697758711771966,0.8462510436659575,0.7871642211388615,0.8546850392746104,0.8828862341096789,0.8696947180772311,0.7716020674885071,0.8238451912983938,0.8849432491035091,0.8779890915318223,0.8559708143947344,0.8661325223549274,0.8647335331286271,0.8653702290730056,0.90360280067879,0.9148013165668964,0.7359342167996809,0.759758561435225,0.8747643196460124,0.8660007256968317,0.7800653742820619,0.7452413140431562,0.7477110307856409,0.7199345123713937,0.8659294802253741,0.8708064177953703
