Frequencies_Band,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
BROADBAND,0.9850236141118253,0.9023468497760792,0.8582637342179479,0.8294566916049958,0.010737106448739424,0.021386217559177346,0.037668023770846354,0.051015115229088595
DELTA,0.9840599508231159,0.8565031659941155,0.8464334024259585,0.8216612775091883,0.009601931786074153,0.029233986455995318,0.020259795977547828,0.04004224632785754
THETA,0.9664520242459718,0.7507739610050626,0.7185373671217388,0.6205635759703907,0.024908951195952697,0.05730976800785283,0.05641707725533636,0.09917504141416321
ALPHA,0.9606209512074677,0.7550567355375236,0.6162637809364081,0.5783960679712611,0.02638880351347452,0.05187868837257109,0.06861994065556462,0.13545840684498026
BETA,0.9644645158590744,0.7706866430555456,0.6909710169099171,0.6585867764476825,0.03757351793833647,0.04582510670565472,0.0660986520719271,0.08347336064819531
GAMMA,0.9817083305292023,0.7968884478996868,0.7755896169218222,0.7545169519553547,0.014745207246826786,0.05209300316241849,0.03037590118323692,0.050133193925073066
HIGH GAMMA,0.9674182873517396,0.7501828374050106,0.7543400615278942,0.7184879943947292,0.023742245987931374,0.03943079736485855,0.028523525971092985,0.05035194805749924
