,Autocorr_MZ,Autocorr_DZ,Autocorr_NT,Crosscorr MZ,Crosscorr DZ,Crosscorr NT
0,0.9961612811303364,0.9974562515346972,0.9974582038055546,0.9955832865484573,0.989911905293944,0.9792544599331874
1,0.9950786732522274,0.9968588682888796,0.9953374762534672,0.9914244534084617,0.9894284955241721,0.9742387952930589
2,0.9681561017637337,0.9973248119656452,0.9975165874797154,0.9666509476555516,0.9783050400139234,0.980543559964377
3,0.9640319750965624,0.9971447937125669,0.9899402668352263,0.955483626801708,0.9749844509385189,0.9838877330052935
4,0.9961954323168161,0.9963344863399103,0.9969260902522337,0.9637994263719121,0.9858413146913081,0.983665153909655
5,0.9733544543972248,0.995989916984534,0.9966427321907111,0.9868089747027953,0.9842634689244714,0.9719567292156495
6,0.9970244144925355,0.9939195622855843,0.9532763747861435,0.9928847490179297,0.9912982466593195,0.9826068789349427
7,0.9930481106371757,0.9952130521173255,0.9787325296455854,0.9950700690319383,0.9884486380721456,0.9813455841071355
8,0.9903916305467821,0.9975169042506904,0.9935817832071312,0.9914165689651079,0.9834276422559554,0.9737863917512974
9,0.9974728827143131,0.9884688961342132,0.9973008080902501,0.9787295733871817,0.974832981988735,0.987150789466649
10,0.997489468984018,0.9979118100312739,0.9963309849797892,0.9902871976902765,0.9680131835176676,0.9855423705086165
11,0.9982755797912259,0.9933273328360285,0.9981143348323995,0.9871905826669065,0.9644877139638011,0.9737709842753344
12,0.9967396544873857,0.9966456176855816,0.9960830539129606,0.9937632188686333,0.9901953944026933,0.9768065999374603
13,0.9961133316963755,0.9974337335506137,0.9974364238243807,0.992255054753837,0.9900089015202442,0.9735685268021648
14,0.9980329285965598,0.9950401251072023,0.9947749859781851,0.995875695372668,0.9858252770670634,0.9835565157199111
15,0.9969025717278812,0.9975685231040746,0.9922631192156525,0.9960570480209744,0.9864731164175955,0.9835806475390405
16,0.9980270694429947,0.9980367659654579,0.9949499994555027,0.9935547773818747,0.9832355198181159,0.9785169877495644
17,0.9972617037564175,0.9978771515087361,0.9971690631586816,0.9952934295893087,0.9834481774176609,0.9734427202982857
18,0.9980974157377427,0.9956564525281559,0.9749857086454834,0.9929649037952066,0.9634148403584244,0.9745299394334832
19,0.9965078180942919,0.9981560068823383,0.9962357078421116,0.9932469690512361,0.9709768489769848,0.9779562973128838
20,0.9976083766028614,0.997911982654265,0.9665619055173754,0.994592636918465,0.9871560961598354,0.9858691819223772
21,0.9966181197968602,0.9958594036480912,0.9977107524381048,0.9939003219635291,0.9891383767823398,0.9603287626607135
22,0.9939669581971322,0.9641410770945458,0.9940911419376424,0.9930796798275572,0.9518687738448812,0.9376916601438192
23,0.9921500543792229,0.9967868971731266,0.9820182574574322,0.994979171673454,0.9823961220704112,0.9890054594250621
24,0.9703375913443562,0.9860908457651174,0.9712085444282745,0.972248048605344,0.9886100344294095,0.982170990971162
25,0.9979975850783458,0.9911542268657109,,0.9948400130685967,0.9881750105386417,0.9896618133628834
26,0.9746160045466339,,,0.9816387182710358,,0.9534174389142043
27,0.994499385891565,,,0.9250312633405533,,0.9875417628474
28,0.9976918805057244,,,0.9931405679211982,,0.9827147931887278
29,0.9966110009731076,,,0.9938555583398889,,0.9861831985078171
30,0.9902986254330356,,,0.9834377786205171,,0.9811060937562183
31,0.9938149876470418,,,0.9914985968585439,,0.9887582318256722
32,0.997341860360875,,,0.9961757260206963,,0.981723767799052
33,0.9970895283558677,,,0.9959389819720653,,0.9773925089916524
34,0.9960110009345173,,,0.9931010493655152,,0.9653943988937503
35,0.9952457213113033,,,0.9912827147017699,,0.9831619868476449
36,0.996220366922781,,,0.9943238253432714,,0.9678315324055717
37,0.997231513009238,,,0.9940008663785527,,0.9432446736551543
38,,,,,,0.9787878822104595
39,,,,,,0.9744113983437552
40,,,,,,0.9800038628715813
41,,,,,,0.975293960608133
42,,,,,,0.9855517275033185
43,,,,,,0.9871645856507494
44,,,,,,0.9677138469240332
45,,,,,,0.9799904970369644
46,,,,,,0.973442034663764
47,,,,,,0.9776275118409719
48,,,,,,0.9866555400179671
49,,,,,,0.9817676819402928
50,,,,,,0.9841829216760101
