Frequencies_Band,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
BROADBAND,0.992384105529634,0.9875106861124346,0.98131406044801,0.9737875396750918,0.009461363834454386,0.013994189688781628,0.009953657901805761,0.013663094182271658
DELTA,0.9368297345489404,0.9315536738453705,0.9217884015325531,0.8922639851623331,0.10499710224960383,0.08936232720220046,0.10415850178588272,0.10511875685131565
THETA,0.7435794597074035,0.6600574622801805,0.5763749461672318,0.18257615170738575,0.2609531652247674,0.2669494051491503,0.21911182413390207,0.34971261975487283
ALPHA,0.8948996533252397,0.8445086315140496,0.6514412374477566,0.5791864277140979,0.14514612764370072,0.15814879127307446,0.14176516292060398,0.2582687855059074
BETA,0.9326075383467368,0.9005515350649902,0.8216799829059561,0.768356002689648,0.08841618341493095,0.11403784142328693,0.11067601541448611,0.16814523837943832
GAMMA,0.9440034333915189,0.9205134707085114,0.9019808529497179,0.8686542555990753,0.07573421875548944,0.0832414412051669,0.059736361861347,0.08161373497551919
HIGH GAMMA,0.9679150573272837,0.9391748624596105,0.9427210564007844,0.924380272063124,0.03974030668880898,0.04792539825100851,0.02685703563968498,0.04143020493530441
