,Acc Autocorr,Acc Crosscorr MZ,Acc Crosscorr DZ
0,0.75,0.3235294117647059,0.0
1,0.7625,0.2647058823529412,0.0
2,0.75,0.35294117647058826,0.0
3,0.7625,0.20588235294117646,0.0
4,0.75,0.2647058823529412,0.041666666666666664
5,0.7375,0.3235294117647059,0.0
6,0.7375,0.29411764705882354,0.0
7,0.75,0.3235294117647059,0.0
8,0.725,0.20588235294117646,0.0
9,0.725,0.2647058823529412,0.0
10,0.75,0.3235294117647059,0.0
11,0.75,0.35294117647058826,0.0
12,0.7625,0.35294117647058826,0.0
13,0.7375,0.35294117647058826,0.0
14,0.725,0.2647058823529412,0.0
15,0.7375,0.3235294117647059,0.0
16,0.775,0.2647058823529412,0.041666666666666664
17,0.7375,0.29411764705882354,0.0
18,0.725,0.29411764705882354,0.0
19,0.75,0.3235294117647059,0.0
20,0.75,0.2647058823529412,0.0
21,0.7375,0.35294117647058826,0.0
22,0.7375,0.2647058823529412,0.0
23,0.7875,0.3235294117647059,0.041666666666666664
24,0.75,0.2647058823529412,0.0
25,0.75,0.2647058823529412,0.0
26,0.7375,0.3235294117647059,0.0
27,0.7375,0.3235294117647059,0.0
28,0.75,0.23529411764705882,0.0
29,0.75,0.35294117647058826,0.0
30,0.75,0.29411764705882354,0.0
31,0.7625,0.2647058823529412,0.0
32,0.725,0.2647058823529412,0.041666666666666664
33,0.75,0.20588235294117646,0.0
34,0.725,0.2647058823529412,0.0
35,0.7625,0.29411764705882354,0.0
36,0.7375,0.2647058823529412,0.0
37,0.7375,0.29411764705882354,0.0
38,0.75,0.3235294117647059,0.041666666666666664
39,0.725,0.23529411764705882,0.0
40,0.7125,0.29411764705882354,0.0
41,0.75,0.29411764705882354,0.0
42,0.75,0.3235294117647059,0.041666666666666664
43,0.725,0.3235294117647059,0.0
44,0.75,0.2647058823529412,0.0
45,0.7625,0.20588235294117646,0.0
46,0.7625,0.2647058823529412,0.041666666666666664
47,0.725,0.3235294117647059,0.0
48,0.7375,0.29411764705882354,0.0
49,0.7625,0.29411764705882354,0.0
50,0.725,0.3235294117647059,0.0
51,0.725,0.35294117647058826,0.0
52,0.7375,0.35294117647058826,0.0
53,0.7375,0.3235294117647059,0.0
54,0.75,0.2647058823529412,0.0
55,0.75,0.29411764705882354,0.0
56,0.725,0.35294117647058826,0.0
57,0.7375,0.3235294117647059,0.0
58,0.7125,0.3235294117647059,0.0
59,0.75,0.29411764705882354,0.0
60,0.7375,0.23529411764705882,0.0
61,0.7375,0.29411764705882354,0.0
62,0.75,0.2647058823529412,0.0
63,0.7375,0.23529411764705882,0.0
64,0.75,0.35294117647058826,0.0
65,0.7625,0.2647058823529412,0.041666666666666664
66,0.725,0.23529411764705882,0.0
67,0.7375,0.3235294117647059,0.0
68,0.725,0.2647058823529412,0.0
69,0.725,0.20588235294117646,0.0
70,0.7625,0.3235294117647059,0.041666666666666664
71,0.7375,0.2647058823529412,0.0
72,0.7375,0.2647058823529412,0.0
73,0.7875,0.23529411764705882,0.0
74,0.725,0.3235294117647059,0.0
75,0.7625,0.3235294117647059,0.0
76,0.7625,0.29411764705882354,0.0
77,0.725,0.2647058823529412,0.0
78,0.7375,0.3235294117647059,0.041666666666666664
79,0.75,0.3235294117647059,0.0
80,0.775,0.3235294117647059,0.041666666666666664
81,0.725,0.35294117647058826,0.0
82,0.775,0.29411764705882354,0.0
83,0.725,0.3235294117647059,0.0
84,0.7375,0.2647058823529412,0.0
85,0.7625,0.2647058823529412,0.0
86,0.7375,0.2647058823529412,0.0
87,0.7875,0.29411764705882354,0.041666666666666664
88,0.75,0.35294117647058826,0.0
89,0.725,0.2647058823529412,0.0
90,0.725,0.3235294117647059,0.0
91,0.75,0.2647058823529412,0.041666666666666664
92,0.75,0.29411764705882354,0.0
93,0.7625,0.35294117647058826,0.0
94,0.75,0.35294117647058826,0.0
95,0.775,0.3235294117647059,0.0
96,0.7625,0.3235294117647059,0.0
97,0.75,0.2647058823529412,0.0
98,0.7375,0.29411764705882354,0.0
99,0.75,0.3235294117647059,0.0
100,0.75,0.3235294117647059,0.0
101,0.7625,0.35294117647058826,0.041666666666666664
102,0.7625,0.3235294117647059,0.041666666666666664
103,0.75,0.29411764705882354,0.0
104,0.725,0.2647058823529412,0.0
105,0.7375,0.23529411764705882,0.0
106,0.7125,0.3235294117647059,0.0
107,0.7375,0.3235294117647059,0.0
108,0.75,0.2647058823529412,0.041666666666666664
109,0.7625,0.35294117647058826,0.0
110,0.75,0.2647058823529412,0.0
111,0.775,0.3235294117647059,0.041666666666666664
112,0.7125,0.2647058823529412,0.0
113,0.7125,0.23529411764705882,0.0
114,0.7625,0.2647058823529412,0.0
115,0.775,0.2647058823529412,0.041666666666666664
116,0.7375,0.2647058823529412,0.0
117,0.7375,0.29411764705882354,0.0
118,0.7375,0.2647058823529412,0.0
119,0.7875,0.3235294117647059,0.0
120,0.7625,0.3235294117647059,0.0
121,0.75,0.35294117647058826,0.0
122,0.7625,0.3235294117647059,0.0
123,0.775,0.3235294117647059,0.0
124,0.75,0.3235294117647059,0.0
125,0.7625,0.29411764705882354,0.0
126,0.7375,0.2647058823529412,0.0
127,0.75,0.23529411764705882,0.0
128,0.7125,0.23529411764705882,0.0
129,0.7625,0.29411764705882354,0.041666666666666664
130,0.75,0.2647058823529412,0.0
131,0.75,0.35294117647058826,0.0
132,0.775,0.3235294117647059,0.0
133,0.75,0.3235294117647059,0.0
134,0.775,0.29411764705882354,0.0
135,0.725,0.2647058823529412,0.0
136,0.75,0.29411764705882354,0.0
137,0.75,0.2647058823529412,0.0
138,0.7875,0.29411764705882354,0.0
139,0.7375,0.29411764705882354,0.0
140,0.75,0.3235294117647059,0.0
141,0.75,0.2647058823529412,0.0
142,0.7375,0.3235294117647059,0.0
143,0.725,0.2647058823529412,0.0
144,0.7375,0.23529411764705882,0.0
145,0.725,0.3235294117647059,0.0
146,0.725,0.3235294117647059,0.0
147,0.725,0.35294117647058826,0.0
148,0.725,0.29411764705882354,0.0
149,0.75,0.29411764705882354,0.0
150,0.725,0.2647058823529412,0.0
151,0.75,0.2647058823529412,0.0
152,0.7375,0.2647058823529412,0.0
153,0.725,0.2647058823529412,0.0
154,0.7375,0.35294117647058826,0.0
155,0.7625,0.3235294117647059,0.041666666666666664
156,0.75,0.35294117647058826,0.041666666666666664
157,0.75,0.2647058823529412,0.0
158,0.7375,0.29411764705882354,0.0
159,0.725,0.29411764705882354,0.0
160,0.775,0.3235294117647059,0.0
161,0.75,0.29411764705882354,0.0
162,0.725,0.23529411764705882,0.0
163,0.7375,0.3235294117647059,0.0
164,0.725,0.23529411764705882,0.0
165,0.725,0.3235294117647059,0.0
166,0.75,0.23529411764705882,0.0
167,0.7125,0.2647058823529412,0.0
168,0.775,0.3235294117647059,0.0
169,0.7625,0.3235294117647059,0.0
170,0.725,0.20588235294117646,0.0
171,0.7625,0.2647058823529412,0.0
172,0.7625,0.3235294117647059,0.0
173,0.7625,0.3235294117647059,0.0
174,0.7625,0.3235294117647059,0.0
175,0.75,0.2647058823529412,0.0
176,0.775,0.3235294117647059,0.0
177,0.7375,0.29411764705882354,0.0
178,0.75,0.3235294117647059,0.0
179,0.7375,0.3235294117647059,0.0
180,0.75,0.35294117647058826,0.0
181,0.75,0.2647058823529412,0.0
182,0.775,0.3235294117647059,0.0
183,0.7625,0.3235294117647059,0.041666666666666664
184,0.75,0.35294117647058826,0.0
185,0.7375,0.23529411764705882,0.0
186,0.725,0.2647058823529412,0.0
187,0.7375,0.23529411764705882,0.0
188,0.7625,0.2647058823529412,0.0
189,0.75,0.3235294117647059,0.041666666666666664
190,0.7125,0.2647058823529412,0.0
191,0.7375,0.23529411764705882,0.0
192,0.775,0.23529411764705882,0.0
193,0.75,0.2647058823529412,0.0
194,0.75,0.2647058823529412,0.0
195,0.75,0.2647058823529412,0.0
196,0.7375,0.23529411764705882,0.0
197,0.7875,0.3235294117647059,0.0
198,0.7375,0.3235294117647059,0.041666666666666664
199,0.725,0.2647058823529412,0.0
200,0.775,0.3235294117647059,0.041666666666666664
201,0.75,0.29411764705882354,0.0
202,0.7375,0.2647058823529412,0.0
203,0.775,0.3235294117647059,0.041666666666666664
204,0.7375,0.3235294117647059,0.0
205,0.725,0.29411764705882354,0.0
206,0.7375,0.29411764705882354,0.0
207,0.7375,0.3235294117647059,0.0
208,0.775,0.29411764705882354,0.041666666666666664
209,0.75,0.3235294117647059,0.0
210,0.7625,0.29411764705882354,0.0
211,0.7375,0.29411764705882354,0.0
212,0.75,0.3235294117647059,0.0
213,0.75,0.3235294117647059,0.0
214,0.7375,0.29411764705882354,0.0
215,0.725,0.2647058823529412,0.0
216,0.7625,0.35294117647058826,0.0
217,0.775,0.3235294117647059,0.041666666666666664
218,0.725,0.35294117647058826,0.0
219,0.7375,0.3235294117647059,0.0
220,0.7625,0.29411764705882354,0.0
221,0.7375,0.29411764705882354,0.0
222,0.75,0.3235294117647059,0.0
223,0.725,0.35294117647058826,0.0
224,0.725,0.35294117647058826,0.0
225,0.75,0.35294117647058826,0.041666666666666664
226,0.75,0.29411764705882354,0.0
227,0.75,0.2647058823529412,0.0
228,0.7625,0.2647058823529412,0.0
229,0.7375,0.29411764705882354,0.0
230,0.75,0.35294117647058826,0.0
231,0.7625,0.3235294117647059,0.0
232,0.75,0.3235294117647059,0.0
233,0.7625,0.29411764705882354,0.0
234,0.7625,0.35294117647058826,0.0
235,0.7625,0.2647058823529412,0.0
236,0.7375,0.35294117647058826,0.0
237,0.7625,0.3235294117647059,0.041666666666666664
