gene,EntrezID,p_value,loading
ABCA7,10347,0.071,0.419275760650635
LOC101927278,0,0.07,0.419336885213852
SEPT7P2,0,0.031,0.419382005929947
LOC729218,0,0.107,0.419443219900131
AAAS,8086,0.032,0.419540345668793
ADM,133,0.065,0.419571459293365
SAC3D1,29901,0.02,0.419587522745132
FGFR1OP2,26127,0,0.419626444578171
CDCA8,55143,0.003,0.419646382331848
UVRAG,7405,0.082,0.419686317443848
SNPH,9751,0.147,0.419898062944412
SACS,26278,0.014,0.419925481081009
GABRB2,2561,0.037,0.419952869415283
CROCCP2,84809,0.046,0.42001861333847
KCTD8,386617,0.026,0.420226484537125
SZT2,0,0.199,0.420314371585846
GATAD2A,54815,0.076,0.420316725969315
OR7E47P,0,0.02,0.420454800128937
SLC12A7,10723,0.005,0.420597672462463
ZNF444,55311,0.021,0.42093214392662
DHX8,1659,0.037,0.421247065067291
TUBGCP4,27229,0.021,0.421298652887344
ZBTB43,23099,0.225,0.421371012926102
PIN4P1,728758,0.184,0.421505659818649
RFPL1S,0,0,0.42159578204155
ATP1A3,478,0.099,0.421809136867523
UBE3B,89910,0.003,0.42184841632843
PTPRH,5794,0.053,0.421889245510101
MRPL16,54948,0.025,0.422198981046677
EPDR1,54749,0.01,0.422333180904388
MIR9-3HG,0,0.09,0.422351747751236
NGLY1,55768,0.062,0.422365933656693
CEP63,80254,0.094,0.422388255596161
TBC1D8,11138,0.059,0.422677099704742
LINC02210,0,0.041,0.422738522291183
SLC6A6,6533,0.029,0.422758609056473
PRKAB1,5564,0.032,0.422870129346848
C6orf120,387263,0.002,0.422970622777939
TANC1,85461,0.018,0.423015028238297
PPP1R16B,26051,0.274,0.423116028308868
ZMYM6,9204,0.093,0.423215359449387
NAPG,8774,0.034,0.423400729894638
TANGO2,0,0.153,0.423686355352402
GPR149,344758,0.035,0.423756688833237
SPIB,6689,0.031,0.423815041780472
LAMB3,3914,0.012,0.42396354675293
NTPCR,84284,0.058,0.423977375030518
IVNS1ABP,10625,0.013,0.424034148454666
TTC39C,125488,0.175,0.424070000648499
TNKS,8658,0.057,0.424349188804626
USF2,7392,0.177,0.424405515193939
SOCS5,9655,0.072,0.424541741609573
NOXO1,124056,0.27,0.424561768770218
PYROXD1,79912,0.05,0.424601793289185
ZNF252P,286101,0.07,0.424652487039566
ARSG,22901,0.04,0.42467412352562
HMOX2,3163,0.038,0.424784064292908
FAM120C,54954,0.039,0.424938678741455
GTF2A1,2957,0.12,0.424954831600189
PCGF5,84333,0.042,0.425031393766403
ZNF786,136051,0.139,0.425368428230286
MAGI1,9223,0.029,0.425611466169357
C15orf59,388135,0.202,0.425664931535721
PPP1R15B,84919,0.193,0.425745874643326
BEND5,79656,0.065,0.425855815410614
NSMCE2,286053,0.013,0.425956279039383
KLHL11,55175,0.131,0.426234871149063
RABEPK,10244,0.081,0.426276803016663
CCDC146,57639,0.057,0.426555395126343
LINC00963,0,0.027,0.426571995019913
CHN2,1124,0.012,0.426580369472504
VSTM2A,222008,0.014,0.426691859960556
ANKRD65,441869,0.202,0.426710695028305
GLMN,11146,0.005,0.426719039678574
RPUSD2,27079,0.031,0.426729768514633
CHCHD3,54927,0.172,0.426779061555862
LOC728743,728743,0.087,0.426817715167999
BRCA1,672,0.007,0.426915347576141
TAF12,6883,0.067,0.426918804645538
HNRNPA1L2,0,0.222,0.427223414182663
ATP5MC3,0,0.079,0.427261650562286
MFF,56947,0.024,0.427376866340637
METTL24,0,0.096,0.427480399608612
RPP25,54913,0.025,0.427688181400299
C9orf72,203228,0.025,0.427824586629868
ATF4,468,0.066,0.428042620420456
SLC6A7,6534,0.01,0.428225249052048
PPIE,10450,0.029,0.428255200386047
OVGP1,5016,0.219,0.428466349840164
ZNF787,126208,0.032,0.428481101989746
ABCC8,6833,0.033,0.428595393896103
INSIG2,51141,0.099,0.428738951683044
ABCD2,225,0.118,0.429011762142181
ATP10A,57194,0.023,0.429045140743256
LIF,3976,0.022,0.429075390100479
ESCO1,114799,0.021,0.429172188043594
TRERF1,55809,0.234,0.429282456636429
SRARP,0,0.015,0.4293532371521
NCKIPSD,51517,0.027,0.429637163877487
WDPCP,0,0.097,0.429667800664902
RAB24,53917,0.092,0.429715096950531
TNFAIP1,7126,0.004,0.429733723402023
ZBTB21,0,0.037,0.429775327444077
TTI2,0,0.022,0.429809629917145
FNDC10,0,0.051,0.429872661828995
TGFBR1,7046,0.044,0.429948300123215
ARAP2,116984,0.002,0.430063188076019
UCP3,7352,0.134,0.430357933044434
LRRFIP1,9208,0.158,0.430526226758957
SEPHS1,22929,0.019,0.430591732263565
PCNT,5116,0.139,0.430832624435425
RYR2,6262,0.084,0.431039720773697
GNB3,2784,0.056,0.431115299463272
GLRB,2743,0.012,0.431262254714966
USP28,57646,0.248,0.431389272212982
GTF2H2B,653238,0.163,0.431435793638229
PVR,5817,0.021,0.431594371795654
UQCRC1,7384,0.036,0.431636422872543
WDFY3-AS2,404201,0.103,0.431784480810165
SSH3,54961,0.088,0.431848853826523
GIT2,9815,0.225,0.431934386491776
MECP2,4204,0.161,0.431994885206223
LINC00667,0,0.017,0.43207511305809
OXA1L,5018,0.014,0.432128876447678
RMND5A,64795,0.144,0.432301670312881
MOB2,81532,0.084,0.432485461235046
UPF2,26019,0.228,0.432836025953293
CUL5,8065,0.037,0.432890951633453
ABCF2,10061,0.041,0.432955175638199
TTTY15,64595,0.019,0.433123737573624
TRANK1,0,0.229,0.433144152164459
LOC101928673,0,0.03,0.433231800794601
MKKS,8195,0.02,0.433256953954697
ZBTB7B,51043,0.06,0.433334141969681
LINC01061,0,0.022,0.433417350053787
YBEY,0,0.078,0.433504313230515
EXOC3,11336,0.154,0.433515459299088
RABGEF1,0,0.008,0.433518439531326
SLC39A8,64116,0.014,0.433847278356552
TRIM47,91107,0.092,0.434334874153137
IMPDH1,3614,0.014,0.434458941221237
ETV6,2120,0.068,0.434508860111237
CPNE9,151835,0.042,0.434539020061493
ZNRD1,30834,0.017,0.43457105755806
LCA5,167691,0.144,0.43465057015419
RCC2,55920,0.106,0.434999167919159
KLHL8,57563,0.016,0.43502613902092
BCO2,83875,0.192,0.435486912727356
RANBP6,26953,0.089,0.435501366853714
NME5,8382,0.27,0.435510903596878
MGST2,4258,0.053,0.435607820749283
STARD9,57519,0.112,0.435743570327759
ENPP5,59084,0.073,0.435935527086258
SKA2,0,0.109,0.435956209897995
NR2C1,7181,0.18,0.436229795217514
EMCN,51705,0.018,0.436258375644684
LINC00999,0,0.149,0.436289638280869
PLXNA4,91584,0.269,0.436555355787277
CDC42BPA,8476,0.078,0.436794489622116
FBN1,2200,0.062,0.436955362558365
TRAF3IP1,26146,0.15,0.43698263168335
MRPL48,51642,0.024,0.436989694833755
MPP7,143098,0.017,0.437349498271942
RELB,5971,0.007,0.437394380569458
GALT,2592,0.029,0.437428027391434
DGCR9,25787,0.128,0.437545716762543
RNF6,6049,0.011,0.437639236450195
PFN1,5216,0.011,0.437711775302887
SLC2A11,66035,0.124,0.43773141503334
HOXD9,3235,0.047,0.437791734933853
WDR33,55339,0.049,0.437800616025925
HS3ST5,222537,0.056,0.438064724206924
PLEKHO1,51177,0.03,0.43857005238533
OSBPL3,26031,0.13,0.438957899808884
PCDHB8,56128,0.025,0.438987076282501
USP33,23032,0.042,0.439048916101456
ASGR1,432,0.102,0.439145565032959
CREBRF,0,0.043,0.439261317253113
SLC25A17,10478,0.04,0.439467996358871
ZSWIM4,65249,0.063,0.439513653516769
LOC101928433,0,0.035,0.439535915851593
TMEM268,0,0.053,0.43958055973053
NAGPA,51172,0.025,0.439867109060287
GOLPH3,64083,0.034,0.439979076385498
SLC31A1,1317,0.028,0.439990639686584
NAXD,0,0.088,0.440005153417587
CIDEC,63924,0.027,0.440075397491455
DPH3P1,100132911,0.04,0.440230637788773
CTSK,1513,0.022,0.440380543470383
ING3,54556,0.014,0.440455079078674
TMEM243,0,0.002,0.440516024827957
VASH2,79805,0.029,0.440553575754166
MMACHC,25974,0.02,0.44061353802681
CAVIN4,0,0.038,0.440852403640747
SLC45A4,57210,0.052,0.440908282995224
RPL15,6138,0.038,0.440974086523056
PDIK1L,149420,0.018,0.441093653440475
PAQR3,152559,0.005,0.441095620393753
ZNF124,7678,0.097,0.441235512495041
UCHL5,51377,0.022,0.441276222467422
C4orf33,132321,0.112,0.441289305686951
GHRLOS,100126793,0.053,0.441430449485779
PDCL,5082,0.037,0.441438019275665
EPB41L1,2036,0.218,0.441450864076614
ZNF212,7988,0.002,0.441778630018234
PPIP5K2,0,0.1,0.441782146692276
ZNF213,7760,0.032,0.44186133146286
ZSCAN9,0,0.052,0.442101031541824
MALAT1,378938,0.035,0.442280471324921
TMEM127,55654,0.034,0.442381620407104
WIPI1,55062,0.051,0.442460864782333
RHOBTB1,9886,0.023,0.442471235990524
ANKRD20A12P,100874392,0.116,0.442493498325348
TMEM35A,0,0.068,0.442537516355515
ANKRD37,353322,0.039,0.442597150802612
MAP4K2,5871,0.051,0.442913025617599
XPO4,64328,0.089,0.443204194307327
MX1,4599,0.128,0.443276047706604
ZNF385D,79750,0.068,0.44361799955368
PPARD,5467,0.078,0.443656235933304
CNNM2,54805,0.017,0.443927437067032
PCP4,5121,0.053,0.443960666656494
ZBTB45,84878,0.066,0.444086909294128
GFM1,85476,0.154,0.44411626458168
SRFBP1,153443,0.154,0.444253236055374
NQO2,4835,0.036,0.44477117061615
TM7SF3,51768,0.008,0.444778263568878
UBAP1L,390595,0.136,0.444946557283401
PDXK,8566,0.011,0.444995760917664
SMARCC2,6601,0.023,0.445203214883804
TUBGCP5,114791,0.026,0.445286750793457
MRPS11,64963,0.023,0.445355892181396
TIMM23B,0,0.087,0.445570766925812
COX17,10063,0.052,0.445575624704361
IRAK1,3654,0.014,0.445784151554108
SRSF1,6426,0.137,0.44592821598053
MIR22HG,84981,0.106,0.445947617292404
ABCA6,23460,0.114,0.446184605360031
LINC00265,349114,0.09,0.446205586194992
AVPI1,60370,0.02,0.446299582719803
LDLRAD4,0,0.034,0.446306973695755
AUH,549,0.03,0.446350544691086
ATP8B2,57198,0.16,0.446415424346924
SYT15,83849,0.027,0.446429789066315
SCARNA17,677769,0.043,0.446737080812454
SMG9,0,0.099,0.447017014026642
CMPK1,51727,0.172,0.447337448596954
CNNM1,26507,0.017,0.447408467531204
IGLL3P,91353,0.118,0.447421193122864
MFSD9,84804,0.087,0.44751387834549
ZNF655,79027,0.019,0.447516292333603
SFTPA1,653509,0.03,0.447527498006821
ZNF664,144348,0.028,0.447605490684509
CACNA1A,773,0.116,0.447673350572586
SLC49A3,0,0.05,0.447829395532608
RP9,6100,0.056,0.447915524244308
ADAM20,8748,0.146,0.448080271482468
PIK3CB,5291,0.119,0.448375582695007
ACSS2,55902,0.008,0.448379784822464
TSPAN9,10867,0.018,0.448577374219894
IER5,51278,0.015,0.448648244142532
AVEN,57099,0.111,0.448788106441498
ZNF394,84124,0.12,0.448795586824417
HS3ST1,9957,0.107,0.448841005563736
NXPE3,91775,0.026,0.448850572109222
IL15RA,3601,0.05,0.448991507291794
WDR45,11152,0.101,0.449284195899963
JADE1,0,0.034,0.449431210756302
FAM171A1,221061,0.015,0.449517905712128
PEG3,0,0.133,0.449837952852249
SCLT1,132320,0.142,0.450425177812576
CCSER1,0,0.054,0.45047852396965
ABRACL,0,0.021,0.450823694467545
SPTBN4,57731,0.064,0.450944185256958
THEMIS2,0,0.068,0.451038748025894
MRGPRF,116535,0.07,0.451044857501984
LYSMD4,145748,0.075,0.451072752475739
ZNF641,121274,0.018,0.451129972934723
CBLN4,140689,0.001,0.45131716132164
COL5A2,1290,0.094,0.45155942440033
EIF4G2,1982,0.026,0.451728671789169
FAM209A,200232,0.005,0.451921790838242
ATP4A,495,0.056,0.452087581157684
YOD1,55432,0.005,0.452366143465042
RGS6,9628,0.059,0.452397555112839
ATXN1,6310,0.027,0.452599912881851
ICA1,3382,0.112,0.452802002429962
CCDC186,0,0.031,0.453105539083481
CNTNAP1,8506,0.069,0.453958719968796
RPGR,6103,0.13,0.454173058271408
PCDH7,5099,0.235,0.454390794038773
GAS6,2621,0.153,0.455049961805344
EMX1,2016,0.066,0.455097198486328
SLTM,79811,0.006,0.455180794000626
CACNG6,59285,0.005,0.45547616481781
CEP85L,0,0.049,0.45559498667717
ZNF629,23361,0.004,0.455620020627975
RMDN2,0,0.026,0.455685973167419
CKMT1A,548596,0.004,0.455755978822708
MTMR4,9110,0.023,0.456072211265564
SYNE1,23345,0.022,0.45610386133194
TSEN2,80746,0.086,0.456229448318481
XPR1,9213,0.024,0.45633652806282
ALDOC,230,0.111,0.456417083740234
CALCOCO1,57658,0.023,0.456443518400192
NDUFS1,4719,0.06,0.456737041473389
CCDC51,79714,0.015,0.456812143325806
SETD7,80854,0.072,0.45700615644455
TMEM170B,100113407,0.022,0.457235366106033
INF2,64423,0.003,0.457447171211243
LARP4,113251,0.123,0.457695662975311
PLCL1,5334,0.045,0.457751721143723
NTN4,59277,0.036,0.458284646272659
KLHL20,27252,0.023,0.458344787359238
PANK1,53354,0.218,0.458630830049515
TPMT,7172,0.006,0.458667308092117
RGS5,0,0.019,0.458669751882553
PKDCC,0,0.003,0.458680897951126
CHD1L,9557,0.021,0.458816349506378
PBX3,5090,0.015,0.458841770887375
LOC401357,401357,0.136,0.458858698606491
RBFOX1,0,0.004,0.459044843912125
RP9P,441212,0.054,0.459513306617737
MOGAT1,116255,0.051,0.459522485733032
PRDM1,639,0.015,0.459523648023605
SOGA3,0,0.168,0.459526866674423
MTRF1,9617,0.035,0.459664613008499
TUBD1,51174,0.053,0.459669440984726
MAP2K2,5605,0.044,0.459675222635269
RWDD1,51389,0.132,0.459675788879395
ZNF250,58500,0.085,0.459699422121048
ZADH2,284273,0.071,0.459700137376785
MGAT5,4249,0.022,0.4598428606987
ARHGAP39,0,0.054,0.459916114807129
LRRC37A3,374819,0.053,0.459922671318054
PREPL,9581,0.004,0.459953248500824
CHI3L1,1116,0.004,0.46000212430954
RHOQ,23433,0.116,0.460515171289444
ZNF318,24149,0.004,0.460925281047821
STK38L,23012,0.013,0.460966825485229
ZNF25,219749,0.011,0.46100065112114
ZBTB4,57659,0.011,0.461001724004745
C19orf25,148223,0.166,0.461166888475418
CHST12,55501,0.132,0.461658239364624
STARD10,10809,0.094,0.46171572804451
IGFALS,3483,0.087,0.46186289191246
GCSHP3,0,0.02,0.461975187063217
STX19,415117,0.001,0.46296426653862
CLK3,1198,0.034,0.462972730398178
NAPEPLD,222236,0.001,0.463156521320343
LRRC49,54839,0.141,0.463593930006027
PCDHB9,56127,0.037,0.463638663291931
POU3F2,5454,0.029,0.463825821876526
MED21,9412,0.005,0.463931858539581
EIF1AX,1964,0.01,0.464332014322281
ZNF519,162655,0.184,0.464483976364136
DAZAP1,26528,0.022,0.464508891105652
EIF4G3,8672,0.008,0.464598894119263
KCNIP3,30818,0.004,0.464784026145935
TMEM155,132332,0.038,0.46480330824852
PCGF3,10336,0.059,0.464815407991409
ARNTL,406,0.038,0.464839577674866
UBXN10,127733,0.006,0.465144336223602
ATP5F1B,0,0.027,0.465393424034119
TARDBP,23435,0.05,0.465437144041061
FBXO9,26268,0.109,0.465791791677475
GALE,2582,0.067,0.466067999601364
ANKRD34C,390616,0.02,0.466349124908447
SDHD,6392,0.035,0.466477543115616
ATP13A3,79572,0.018,0.466584026813507
TMEM184C,55751,0.033,0.466669619083405
SESN1,27244,0.006,0.46668416261673
PPP1R3B,79660,0.034,0.466781765222549
ITM2A,9452,0.072,0.466834336519241
MDH1,4190,0.041,0.466861069202423
CLIP2,7461,0.009,0.466865211725235
CHD6,84181,0.016,0.467077940702438
LOC100133091,0,0.04,0.467083275318146
SMARCD2,6603,0.053,0.467135459184647
TADA2B,93624,0.09,0.467197388410568
CAPS2,84698,0.001,0.467353135347366
KDM2B,84678,0.007,0.467428535223007
MITF,4286,0.017,0.467470198869705
FH,2271,0.024,0.467738419771194
ATP2A2,488,0.003,0.467832893133163
PARD6A,50855,0.058,0.467943251132965
PPP3CA,5530,0.006,0.467998951673508
NFATC3,4775,0.037,0.468081563711166
DNAJC25,548645,0.1,0.468142658472061
IFFO1,25900,0.017,0.468152284622192
LCE3C,353144,0.002,0.468157947063446
CCL27,10850,0.028,0.468237102031708
SPARCL1,8404,0.076,0.468257933855057
MRPS36,92259,0.037,0.468411713838577
ESAM,90952,0.043,0.4687739610672
CDCA5,113130,0.013,0.468968957662582
MYO15A,51168,0.012,0.469005525112152
PEX5L,51555,0.005,0.469262212514877
THOC5,8563,0.011,0.469267934560776
ZRANB1,54764,0.002,0.46928745508194
DIS3L2,129563,0.191,0.469341546297073
ITSN2,50618,0.099,0.469505488872528
PARD6B,84612,0.014,0.469536632299423
FKBP5,2289,0.103,0.469662874937057
TOMM40,10452,0.013,0.469687342643738
MAP1LC3B2,0,0.065,0.469688057899475
ZFYVE28,57732,0.048,0.469721347093582
NDUFB5,4711,0.018,0.469827830791473
ARID2,196528,0.019,0.470188140869141
SLC25A15,10166,0.056,0.470190852880478
LRRK1,79705,0.001,0.470317751169205
DEPP1,0,0.006,0.47044426202774
SRGAP2,23380,0.031,0.470468312501907
APPL1,26060,0.021,0.470517724752426
KCNJ8,3764,0.081,0.470667243003845
CIT,11113,0.059,0.470705658197403
NEU4,129807,0.028,0.470802873373032
IL17RE,132014,0.097,0.470818370580673
PPARGC1B,133522,0.017,0.470877826213837
EIF2A,83939,0.203,0.470906436443329
ABHD17A,0,0.047,0.470915913581848
KNDC1,85442,0.11,0.470936596393585
SLC17A6,57084,0.161,0.470937818288803
EIF2B2,8892,0.042,0.471203565597534
SLC25A25,114789,0.009,0.471363633871078
ERCC4,2072,0.115,0.471581876277924
NFAT5,10725,0.004,0.471603006124496
GNA14,9630,0.121,0.471619486808777
ST3GAL6,10402,0.158,0.471683949232101
VSNL1,7447,0.009,0.471702337265015
ANKS1A,23294,0.037,0.471738189458847
YARS,8565,0.07,0.471811324357986
BAK1,578,0.042,0.471939504146576
CAPN1,823,0.057,0.471945852041245
MIAT,440823,0.078,0.472177714109421
GSTK1,373156,0.07,0.472335636615753
LOC407835,407835,0.022,0.472349166870117
PRPS2,5634,0.003,0.472381085157394
GOT1,2805,0.035,0.472382396459579
TBRG1,84897,0.004,0.472627460956573
SYNE4,0,0.061,0.472806453704834
ST6GALNAC1,55808,0.02,0.472825735807419
INPP5J,27124,0.025,0.472906440496445
GPATCH8,23131,0.111,0.47300061583519
NIPAL3,57185,0.011,0.473083436489105
ABCA9,10350,0.131,0.473153412342072
STARD4,134429,0.01,0.473401695489883
KNG1,3827,0.042,0.473615974187851
TTC21B,79809,0.158,0.473718672990799
CORO7,79585,0.012,0.473788112401962
RPH3A,22895,0.001,0.473796010017395
KCNJ11,3767,0.023,0.473978996276855
FAM43A,131583,0.047,0.474000751972198
ZNF385A,25946,0.057,0.474248915910721
FAM49B,51571,0.008,0.474529653787613
OTUD7A,161725,0.093,0.474610835313797
CELSR2,1952,0.01,0.474693119525909
CRYBA2,1412,0.131,0.474758207798004
TRIM41,90933,0.022,0.474793404340744
GJC1,10052,0.057,0.474922060966492
CTSZ,1522,0.111,0.475101500749588
SLC6A12,6539,0.023,0.475143045186996
ACR,49,0.004,0.475203007459641
PLA2R1,22925,0.09,0.475283563137054
ZNF385B,151126,0.098,0.47533318400383
KIF5A,3798,0.094,0.47549107670784
PNLDC1,154197,0.004,0.475931167602539
FUT11,170384,0.032,0.476011276245117
SCAI,286205,0.016,0.476042777299881
KRT222,125113,0.058,0.476203262805939
GUCY1A2,2977,0.106,0.476207137107849
PSMG3,84262,0.004,0.476258903741837
ADPRHL1,113622,0.08,0.476273596286774
ZNF630,57232,0.03,0.476282119750977
GOPC,57120,0.003,0.476318329572678
HELB,92797,0.035,0.476555943489075
KRTAP5-2,440021,0.104,0.476742088794708
ITIH5,80760,0.012,0.476932376623154
PPP1CB,5500,0.019,0.477467626333237
LEPROTL1,23484,0.057,0.477630317211151
HMBS,3145,0.02,0.477818012237549
TMX2,51075,0.008,0.478041172027588
NRN1,51299,0.001,0.478221595287323
CACNB4,785,0.029,0.478319257497787
RCAN2,10231,0.101,0.478391468524933
IFNLR1,0,0.058,0.478978484869003
SNHG1,23642,0.066,0.479122310876846
OPN3,23596,0.005,0.479161649942398
FADS6,283985,0.027,0.479192346334457
TBC1D30,23329,0.084,0.479344099760056
IGLL1,3543,0.103,0.479477673768997
XIRP1,165904,0.036,0.479491144418716
STRADA,92335,0.041,0.479545652866364
GOLGA7B,401647,0.042,0.4796501994133
CPLX2,10814,0.191,0.479710191488266
COQ3,51805,0.008,0.47973695397377
LZTS3,0,0.053,0.480149388313293
SNRNP35,11066,0.017,0.480179697275162
CCNE1,898,0.013,0.480245858430862
ZNF584,0,0.015,0.480255931615829
SEMA4C,54910,0.025,0.48059207201004
CEP152,22995,0.075,0.480671733617783
NKX6-3,157848,0.022,0.480738878250122
FIGN,55137,0.04,0.480961292982101
ZNF714,148206,0.118,0.481049478054047
MAP1A,4130,0.029,0.48116073012352
CTSC,1075,0.139,0.481196314096451
FRMD4A,55691,0.178,0.481257766485214
DNAJC11,55735,0.024,0.481338679790497
RINL,126432,0.029,0.481352895498276
SORT1,6272,0.01,0.481658548116684
CDKL1,8814,0.021,0.481714993715286
CCDC58,131076,0.142,0.481733202934265
DLST,0,0.007,0.481832563877106
DIO3OS,64150,0.092,0.481849133968353
CYC1,1537,0.027,0.481923282146454
PLEKHA8,84725,0.058,0.481940180063248
SLC7A5P2,387254,0.003,0.482022017240524
BTBD11,121551,0.054,0.482280135154724
EEPD1,80820,0.093,0.482681334018707
ELAVL4,1996,0.002,0.482744365930557
MOCS1,4337,0.041,0.482987254858017
RNF113A,7737,0.023,0.48321259021759
FOSL2,2355,0.051,0.483327627182007
PLEKHM1,9842,0.021,0.483372211456299
TPGS2,0,0.029,0.483646541833878
TAPBP,6892,0.008,0.483681321144104
IFITM10,0,0.05,0.483910411596298
LRRC14,9684,0.029,0.484335690736771
ZBED1,9189,0.077,0.484343141317368
GLRX3,10539,0.023,0.484465301036835
IDE,3416,0.02,0.484597086906433
CCNO,10309,0.114,0.484630286693573
HECW1,23072,0.029,0.484678149223328
LINC00599,0,0.065,0.484721064567566
METAP2,10988,0.029,0.484868437051773
NKX3-1,4824,0.07,0.484895050525665
SLC43A2,124935,0.003,0.485593408346176
AAK1,22848,0.038,0.485743224620819
RORB,6096,0.082,0.485988408327103
POLR3D,661,0.015,0.486158221960068
CLPX,10845,0.009,0.486168056726456
ZBTB33,10009,0.015,0.486245632171631
ST3GAL3,6487,0.003,0.486311882734299
TNNC2,7125,0.018,0.486462473869324
CNST,0,0.04,0.486527174711227
ST3GAL2,6483,0.08,0.486859023571014
AMPD3,272,0.008,0.486878931522369
NFIX,4784,0.059,0.486936450004578
IFFO2,126917,0.011,0.487229228019714
ASH1L,55870,0.004,0.487391233444214
EPC2,26122,0.001,0.487395226955414
ADORA1,134,0.011,0.487542182207108
AK1,203,0.037,0.487669348716736
ATG13,9776,0.009,0.487696826457977
TMEM178B,0,0.001,0.487756669521332
NAPA,8775,0.013,0.488059401512146
CYB5R4,51167,0.036,0.488391697406769
MCF2L-AS1,100289410,0.05,0.488462448120117
HIGD1B,51751,0.066,0.488544106483459
ESM1,11082,0.041,0.488865494728088
CUL3,8452,0.006,0.488965839147568
NUB1,51667,0.049,0.489013105630875
MROH8,0,0.032,0.489115238189697
CDK11A,0,0.007,0.489551872014999
EPS15,2060,0.001,0.489772647619247
C21orf33,8209,0.022,0.489922046661377
ABHD6,57406,0.024,0.490038692951202
SH3BGRL,6451,0.034,0.490083515644073
NSG1,0,0.02,0.490095734596252
LDB2,9079,0.024,0.490251958370209
BDH1,622,0.011,0.490544527769089
TDRD3,81550,0.073,0.490592151880264
CLCN4,1183,0.133,0.49068608880043
UBAP1,51271,0.15,0.490852117538452
OXSR1,9943,0.073,0.490874469280243
VPS36,51028,0.053,0.491094797849655
TTLL11,158135,0.017,0.491167902946472
WASHC1,0,0.012,0.491716653108597
SLC35C1,55343,0.008,0.491739690303802
PCNX2,0,0.049,0.491957485675812
TSPYL1,7259,0.003,0.492044627666473
SMIM13,0,0.004,0.492459982633591
EMILIN3,90187,0.053,0.492588967084885
KCTD1,284252,0.003,0.49260425567627
GNRH1,2796,0.082,0.492853790521622
APPBP2,10513,0.006,0.492985427379608
C12orf10,60314,0.019,0.493172973394394
PLEKHM3,389072,0.007,0.493518084287643
MAP1B,4131,0.015,0.493644893169403
SRA1,10011,0.009,0.493873655796051
P2RX6P,440799,0.101,0.494029670953751
TRMT10A,0,0.013,0.494266510009766
STIM2,57620,0.092,0.494435459375381
KRBA1,84626,0.042,0.494479984045029
C12orf54,121273,0.014,0.494591861963272
TRPC3,7222,0.047,0.494779020547867
DNAJC27,51277,0.061,0.49481201171875
XYLT2,64132,0.065,0.494822233915329
MRPL47,57129,0.052,0.494832992553711
NUAK1,9891,0.003,0.494933277368546
PRO1804,0,0.058,0.495188534259796
MAFB,9935,0.004,0.495254904031754
ZNF500,26048,0.01,0.495266616344452
LMBR1,64327,0.054,0.49538242816925
EMB,133418,0.041,0.495664566755295
RORA,6095,0.153,0.495858192443848
PPP2R2C,5522,0.009,0.496283888816833
PITPNA,5306,0.054,0.496394604444504
VAV3,10451,0.051,0.496691972017288
LRPPRC,10128,0.017,0.496782839298248
STAT4,6775,0.003,0.497286289930344
STK26,0,0.009,0.497368842363358
LRP12,29967,0.013,0.497471064329147
MTAP,4507,0.131,0.497881174087524
ZBTB8OS,339487,0.028,0.497922301292419
COPA,1314,0.011,0.497973591089249
CWC22,57703,0.056,0.498141527175903
ASPDH,554235,0.021,0.498267829418182
MCF2L2,23101,0.053,0.498279541730881
DEPDC5,9681,0.004,0.498317331075668
MYBBP1A,10514,0.011,0.498349905014038
LINC01128,0,0.014,0.498410195112228
DSCC1,79075,0.064,0.498580664396286
NLK,51701,0.002,0.49862539768219
GART,2618,0.014,0.49874547123909
ZNF546,339327,0.017,0.498748600482941
FAM76B,143684,0.01,0.499042481184006
NIPA1,123606,0.081,0.499309897422791
BCL3,602,0.014,0.499322414398193
DDX3X,1654,0.122,0.499378651380539
MC1R,4157,0.056,0.49969008564949
GCC2,9648,0.005,0.499715119600296
SPOPL,339745,0.01,0.499825984239578
TMEM201,199953,0.023,0.49996754527092
LYRM4,57128,0,0.500146925449371
ISCA1,81689,0.132,0.500174641609192
CA7,766,0.017,0.500282168388367
SLC20A1,6574,0.005,0.500395238399506
RFPL1,5988,0,0.500486493110657
FNDC5,252995,0.053,0.50071793794632
LOC100506124,0,0.027,0.500861287117004
PHLDA2,7262,0.01,0.501054704189301
TOMM40L,84134,0.002,0.501222372055054
MSANTD3,91283,0.03,0.501376450061798
RBMS1,5937,0.042,0.501578330993652
PTPN12,5782,0.018,0.501624882221222
AKAP7,9465,0.03,0.501640915870667
SPART,0,0.029,0.501668095588684
JRK,8629,0.001,0.501820921897888
TMEM255B,0,0.047,0.501893818378448
MAP3K13,9175,0.01,0.50228875875473
LINC01137,0,0.019,0.502395272254944
NUDT15,55270,0.101,0.502441227436066
C6orf136,221545,0.005,0.502738237380981
GGH,8836,0.011,0.502798676490784
KATNAL2,83473,0.017,0.503080606460571
HS6ST2,90161,0.039,0.503131091594696
CACNG2,10369,0.006,0.503297805786133
SRPK1,6732,0.014,0.503303945064545
PFKFB2,5208,0.025,0.503415167331696
ZNF232,7775,0.003,0.503678798675537
SOD2,6648,0.015,0.503881096839905
VCPIP1,80124,0.054,0.504164099693298
HMCES,0,0.048,0.504610121250153
RRNAD1,0,0.019,0.504648745059967
NECAB3,63941,0.01,0.505120635032654
SUGP2,0,0.079,0.505224108695984
LY6D,8581,0.006,0.505311191082001
