gene,EntrezID,p_value,loading
GRIP2,80852,0.039,0.358922064304352
ZNF317,57693,0.15,0.359049946069717
SLC35G5,0,0.069,0.359326362609863
TMF1,7110,0.096,0.359370529651642
ARHGAP27,0,0.072,0.359400123357773
FUNDC1,139341,0.074,0.359439969062805
PPP1R3D,5509,0.198,0.359901368618011
KEAP1,9817,0.097,0.359968245029449
CHEK2P2,646096,0.03,0.360143274068832
ITPKC,80271,0.386,0.360206067562103
ABCB9,23457,0.027,0.360253810882568
DENND6A,0,0.21,0.360333293676376
DDX11,1663,0.146,0.360358506441116
PPM1B,5495,0.034,0.360476702451706
KIF21A,55605,0.065,0.360735774040222
HACL1,26061,0.105,0.361032515764236
CHN1,1123,0.003,0.361080139875412
RAB7B,338382,0.016,0.361096441745758
FAM35BP,0,0.32,0.361121535301208
04-Sep,0,0.096,0.361339747905731
ZNF436-AS1,0,0.007,0.361344158649445
LEF1,51176,0.051,0.361703276634216
TP53INP2,58476,0.044,0.361814320087433
PCDHB11,56125,0.095,0.361935704946518
JARID2,3720,0.114,0.362135171890259
ZNF491,126069,0.336,0.362212955951691
MYLK2,85366,0.082,0.362285315990448
FLT1,2321,0.073,0.362377673387527
LRRC8C,84230,0.154,0.362379014492035
LPAR2,9170,0.073,0.362426578998566
PALB2,79728,0.07,0.362430602312088
SNRNP25,79622,0.202,0.362609714269638
SLC36A1,206358,0.113,0.362637102603912
MFN2,9927,0.144,0.362680286169052
CDH12,1010,0.352,0.362751036882401
KCNN4,3783,0.096,0.362860649824142
SAR1B,51128,0.111,0.362913876771927
HARBI1,283254,0.066,0.363005816936493
RBAK,57786,0.17,0.36310800909996
LANCL1,10314,0.096,0.363121688365936
RNFT2,84900,0.069,0.363285660743713
CEP192,55125,0.134,0.363317459821701
SLC38A9,153129,0.255,0.363749086856842
LRRTM3,347731,0.139,0.364440828561783
SESTD1,91404,0.036,0.364555537700653
ACSL3,2181,0.012,0.364577889442444
SLAMF8,56833,0.016,0.36458346247673
RNF214,257160,0.019,0.364767849445343
MLXIP,22877,0.296,0.364922285079956
EHMT1,79813,0.108,0.365194797515869
MIB2,142678,0.256,0.365347266197205
MSRB3,253827,0.176,0.365489721298218
KHDC1L,0,0.188,0.365606009960175
CPT1A,1374,0.21,0.36570879817009
TAF2,6873,0.387,0.365723550319672
DDX3Y,8653,0.023,0.365725010633469
BLVRA,644,0.11,0.366115063428879
STC2,8614,0.122,0.36615988612175
ANKRD24,170961,0.013,0.36628594994545
VWA5B2,90113,0.045,0.366411358118057
BICD2,23299,0.052,0.366550892591476
SLC25A36,55186,0.143,0.366777807474136
CLIP4,79745,0.224,0.366898030042648
PDE7B,27115,0.221,0.367013186216354
HTATIP2,10553,0.069,0.367071479558945
LOC641746,0,0.096,0.367393583059311
CLMP,0,0.091,0.367455512285233
ZNF3,7551,0.024,0.367576599121094
SLC22A18AS,5003,0.059,0.36770561337471
OR7E91P,79315,0.261,0.367882251739502
LINC00839,0,0.052,0.367902189493179
PFAS,5198,0.02,0.367999136447906
TGM1,7051,0.104,0.368387520313263
FAM122A,116224,0.014,0.368809998035431
IGFBP2,3485,0.044,0.368894457817078
ARHGEF10L,55160,0.139,0.368936151266098
PLEKHF1,79156,0.039,0.368990004062653
ARID5B,84159,0.039,0.368990987539291
ZNF366,167465,0.024,0.369105130434036
CRABP1,1381,0.085,0.369270384311676
HIVEP2,3097,0.016,0.369308888912201
ACER3,55331,0.047,0.369404852390289
BTBD8,284697,0.17,0.370043128728867
PRRT4,0,0.021,0.370426446199417
TRAM2-AS1,0,0.069,0.370634526014328
MGLL,11343,0.117,0.370932668447495
SNHG14,0,0.309,0.371059596538544
APH1A,51107,0.038,0.371092170476913
SLC9A3R2,9351,0.068,0.371172726154327
ZNF565,147929,0.214,0.371179342269897
BCAS4,55653,0.223,0.371237218379974
LOC105374727,0,0.059,0.371341347694397
DBNDD1,79007,0.102,0.371376663446426
DYNLT3,6990,0.195,0.371425271034241
PIAS2,9063,0.313,0.37150102853775
YTHDC1,91746,0.044,0.371565937995911
PFDN1,5201,0.201,0.371755987405777
RGL2,5863,0.093,0.371767550706863
GRID1,2894,0.039,0.372062265872955
H2AFX,3014,0.079,0.372241854667664
ZNF777,27153,0.018,0.372490972280502
CARD9,64170,0.254,0.372681945562363
RASGRF1,5923,0.194,0.373240172863007
FANCM,57697,0.013,0.373599857091904
FAM209B,0,0.022,0.373623192310333
SNN,8303,0.212,0.373767644166946
ARL4C,10123,0.047,0.373780399560928
FAM198B,0,0.035,0.373836517333984
MAP2K5,5607,0.139,0.374092370271683
ARIH1,25820,0.126,0.374163150787354
KBTBD11,9920,0.102,0.374484539031982
CCDC177,0,0.311,0.374511897563934
ATP5F1A,0,0.152,0.374542385339737
ATP5MPL,0,0.097,0.374744206666946
ZNF302,55900,0.041,0.374844789505005
TNNT2,7139,0.165,0.375072151422501
C16orf72,29035,0.026,0.375107198953629
ZNF362,149076,0.347,0.375409692525864
LIN9,286826,0.227,0.37551748752594
ZNF182,7569,0.037,0.375542461872101
FAM84A,151354,0.155,0.375625312328339
PRKCA,5578,0.168,0.375629603862762
LDLR,3949,0.16,0.375756829977036
MTX3,345778,0.129,0.375885903835297
SAMD13,148418,0.003,0.375912398099899
SYNJ1,8867,0.087,0.375943511724472
CD320,51293,0.052,0.376148492097855
PEX6,5190,0.042,0.376249760389328
CYP2E1,1571,0.007,0.376288503408432
IER2,9592,0.06,0.376400828361511
KCNIP4,80333,0.075,0.376401662826538
KRTAP5-6,440023,0.003,0.376533925533295
ARFGEF2,10564,0.123,0.376592963933945
AIFM1,9131,0.072,0.376741707324982
ELOVL7,79993,0.087,0.377274185419083
MCM3AP-AS1,114044,0.198,0.377403169870377
MSANTD2,0,0.033,0.37753564119339
GPX3,2878,0.178,0.377550542354584
NUDT12,83594,0.07,0.377604842185974
LSM11,134353,0.042,0.377668976783752
KAT8,0,0.038,0.377672761678696
ABCB7,22,0.217,0.37770888209343
TAF3,83860,0.149,0.377740234136581
LNP1,348801,0.043,0.377996444702148
FZD4,8322,0.085,0.378152638673782
C18orf25,147339,0.18,0.378176122903824
PDIA5,10954,0.324,0.37819105386734
MKNK2,2872,0.181,0.378532707691193
MLLT10,8028,0.164,0.378639727830887
MGAT1,4245,0.058,0.378657609224319
RTEL1,51750,0.17,0.378906458616257
ZNF37BP,100129482,0.332,0.378912717103958
CACNB1,782,0.025,0.378985583782196
ADAM8,101,0.284,0.379086554050446
GON4L,54856,0.011,0.379123449325562
C8orf31,286122,0.073,0.379174500703812
ZNF555,148254,0.113,0.379266023635864
CADM4,199731,0.137,0.379274368286133
ZNF35,7584,0.105,0.379482358694077
JAK1,3716,0.249,0.379519760608673
PRR3,80742,0.018,0.379533737897873
LOC727896,0,0.135,0.379569828510284
SATB2,23314,0.012,0.379588931798935
FAN1,0,0.062,0.379642128944397
IMPA1,3612,0.088,0.380049377679825
CACNA2D3,55799,0.048,0.380280286073685
RGMA,56963,0.061,0.38028347492218
LGI2,55203,0.12,0.380474150180817
APOL4,80832,0.005,0.380604922771454
WIPF3,644150,0.137,0.380705833435059
LINC-PINT,0,0.377,0.380731254816055
PRMT7,54496,0.036,0.380752444267273
RUFY2,55680,0.006,0.380873590707779
FGR,2268,0.066,0.381045520305634
GALR1,2587,0.07,0.381138801574707
PHLDA3,23612,0.098,0.381421834230423
ZNF791,163049,0.078,0.381494909524918
CCDC138,165055,0.207,0.381530046463013
TIMM8A,1678,0.015,0.381547629833221
ERICH5,0,0.311,0.381557494401932
ERMP1,79956,0.062,0.381601870059967
FBXO16,157574,0.01,0.381881386041641
GLIS1,148979,0.361,0.381883323192596
BBS1,582,0.081,0.381904155015945
GTF2A2,2958,0.091,0.382250726222992
MKRN2,23609,0.008,0.382262259721756
ENO2,2026,0.037,0.382269650697708
THBS3,7059,0.188,0.382505625486374
PPM1A,5494,0.061,0.382550090551376
ARMCX3,51566,0.019,0.382578462362289
USP36,57602,0.048,0.38259893655777
SLC2A6,11182,0.048,0.382680207490921
HSPA12A,259217,0.075,0.382768273353577
12-Sep,0,0.12,0.382815361022949
SLC19A3,80704,0.012,0.382913529872894
UBE2O,63893,0.215,0.382950782775879
AKAP13,11214,0.27,0.383115112781525
ANO4,143662,0.05,0.383229106664658
FAM57B,83723,0.104,0.383245527744293
SLC3A1,6519,0.188,0.383407920598984
SLC4A9,83697,0.218,0.383485853672028
BICRAL,0,0.14,0.383524239063263
DRP2,1821,0.029,0.38370206952095
DNAJC28,54943,0.262,0.383736878633499
PRKCQ-AS1,0,0.031,0.383761346340179
FAM98C,147965,0.036,0.383819490671158
PCBP2,5094,0.145,0.383827656507492
ZGRF1,0,0.069,0.383833527565002
DDX55,57696,0.168,0.384019732475281
HIST1H4A,8359,0.227,0.384052962064743
MAGED2,10916,0.068,0.38410884141922
ZNF774,342132,0.214,0.384117722511292
CCDC126,90693,0.023,0.384124487638474
UBL3,5412,0.176,0.384136468172073
PRPF4B,8899,0.137,0.38414403796196
EMC10,0,0.104,0.384323954582214
ZNF654,55279,0.058,0.384468644857407
ITPK1,3705,0.035,0.384586870670319
