ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
insula R,0.5464203767020732,0.7328447858240308,0.8465290895626033,0.7093932606343001,0.6200640354939514,0.4077635638213654,0.6438358520063874
isthmuscingulate L,0.4896338190834772,0.7257075477518966,0.8738593169014761,0.7675590824247981,0.6235250175207773,0.4699952953513261,0.6583800131722919
isthmuscingulate R,0.5388701652906505,0.7393784121002401,0.8776409466077016,0.7651357469347916,0.6240422667474721,0.43469172311291104,0.6632932101322945
lateraloccipital L,0.6155778649154604,0.7001174812435076,0.7792113279573722,0.6602603003179326,0.7684658925169046,0.6584986154481544,0.697021913733222
lateraloccipital R,0.5967302186132556,0.715117036573196,0.8090174316242091,0.687949499672261,0.8262826631459778,0.7254218475703972,0.7267531161998827
lateralorbitofrontal L,0.493223265370155,0.7053542729289664,0.7705073665657178,0.7076216537801762,0.5129625952657731,0.537151462446289,0.6211367693928462
lateralorbitofrontal R,0.4855748686789598,0.6954842007222906,0.7531997745880086,0.6558201165202777,0.520592923687319,0.43957292273255805,0.591707467821569
lingual L,0.5089304305732143,0.6749934398401886,0.8012606894263484,0.6495415478896278,0.7067744265524306,0.48975406644517266,0.638542433454497
lingual R,0.525852748937105,0.676796510210713,0.8346229634396286,0.6772622431971781,0.7255894531976127,0.5181989531953088,0.6597204786962577
medialorbitofrontal L,0.45652451585831866,0.6780255863317819,0.718862264480225,0.6647637062652739,0.5091772214540548,0.5243040858703771,0.5919428967100053
medialorbitofrontal R,0.45962254801094793,0.6892215078699796,0.7184151162864396,0.6581956688284374,0.510359371119474,0.459047857438592,0.5824770115923118
middletemporal L,0.5979490566797807,0.7892703889502246,0.8779262491287915,0.7752348629665601,0.5787324581390845,0.5199736934450434,0.6898477848849142
middletemporal R,0.6027156249284488,0.7439332385782147,0.8906864434615228,0.7440671258306443,0.7690101982444265,0.6448313189028226,0.7325406583243467
paracentral L,0.618543562997133,0.7070257873308756,0.8664013869567386,0.7549353112435884,0.6272876952370843,0.5080640657374653,0.6803763015838142
paracentral R,0.6301659727442601,0.7119606664177461,0.8569367379796333,0.7370268975163137,0.598349810245221,0.5077245129908885,0.6736940996490105
parahippocampal L,0.47234009441756086,0.700281695142054,0.8157516212059285,0.5954336162744225,0.4640048529546103,0.37823899089473906,0.5710084784815526
parahippocampal R,0.47128227395561617,0.6600238603174567,0.7983211385142512,0.6138602221098323,0.5341692391957448,0.33518856304153366,0.5688075495224059
parsopercularis L,0.5663494521802178,0.7705880954210926,0.8070864178598102,0.743349993221732,0.59202530901521,0.5601977640382416,0.6732661719560507
parsopercularis R,0.574699207689458,0.7502824374300903,0.8177261046845594,0.7251632538733752,0.5945286474817422,0.5347168632956897,0.6661860857424857
parsorbitalis L,0.5199600834456158,0.6658203640754223,0.707502260718629,0.671919913629697,0.47102255193778875,0.5230177720783842,0.5932071576475896
parsorbitalis R,0.53180071263712,0.6906393333014949,0.7132924929193797,0.6209838476829052,0.47365524809124376,0.5316289640860347,0.5936667664530296
