Subjects,Twin_DZ_1A,Twin_DZ_1B,Twin_DZ_2A,Twin_DZ_2B,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_DZ_4B,Twin_DZ_5A,Twin_DZ_5B,Twin_DZ_6A,Twin_DZ_6B,Twin_DZ_7A,Twin_DZ_7B,Twin_DZ_8A,Twin_DZ_8B,Twin_DZ_9A,Twin_DZ_9B,Twin_DZ_10A,Twin_DZ_10B,Twin_DZ_11A,Twin_DZ_11B,Twin_DZ_12A,Twin_DZ_12B,Twin_DZ_13A,Twin_DZ_13B
Twin_DZ_1A,0.9970989587823577,0.9864785769701927,0.9839020570408643,0.9611823857681479,0.9841507439973822,0.9842490109895851,0.9829215043378813,0.9799640430897183,0.9823271337792758,0.9722794240233477,0.9837851224071171,0.9573272892045971,0.9685785315377995,0.9798274567485699,0.9752426803315832,0.9861195453601403,0.9784435227653081,0.9860504879467054,0.9860854464814582,0.9537381097401612,0.9822422782760045,0.9795349377202036,0.9426192967249463,0.9800536388615221,0.9697633011516881,0.9731217278757116
Twin_DZ_1B,0.9878423459296242,0.9962441714486555,0.9906567644523829,0.9636856931991751,0.9870902627957081,0.9838339027074825,0.9843507437077486,0.9808042651769078,0.9873606521386109,0.9747194265996921,0.9899092336372619,0.963669198646269,0.9759733909774239,0.9833661352891806,0.9774861179597734,0.9881391205029584,0.9753278128453999,0.9875744037526257,0.9862544053222222,0.960780189848887,0.9854240351956615,0.9784386142082835,0.9371105887342639,0.9831258255394277,0.9730493499497034,0.9746523656419692
Twin_DZ_2A,0.9860469447981591,0.9906451923902807,0.9971314899045093,0.9711180066028212,0.9887718736176048,0.9871452300376233,0.9867418588052621,0.9824380144338265,0.988101712385348,0.9717712784264811,0.9875154844096273,0.963145123201105,0.9728539138056311,0.9831838885418636,0.9818161049469067,0.9895810771235072,0.9812835339570919,0.9896623109415161,0.987665951499866,0.960364449119835,0.9865335661131535,0.980743609239374,0.9485093093384962,0.9851729459440179,0.975569204162323,0.9803866723331707
Twin_DZ_2B,0.9624499217104904,0.9687773409448707,0.9742992685866455,0.9965111066079999,0.9742792567630804,0.9697907440228761,0.9787315553876468,0.9710470113987675,0.9654910226665003,0.9396288290420866,0.9553611492687206,0.9542455982755432,0.9648824335145114,0.9661575496323198,0.9818020402112945,0.9744008335298016,0.9809386649034302,0.9659876303975641,0.9692167299775072,0.9148716541592818,0.9726488766745687,0.9815416730654865,0.9474606441783024,0.9714568716384082,0.9655305000659256,0.9654086265594176
Twin_DZ_3A,0.9822470169240165,0.9844793807233855,0.9850767305639752,0.9732122551980487,0.99616713183871,0.9843945951254849,0.9867722659424525,0.9872142420680686,0.9808917127990711,0.9731337590702654,0.9826861058840803,0.9746237310246695,0.9813472709516754,0.9868084526539491,0.9766976145047682,0.9863815612624192,0.9789866044713984,0.9796768978347743,0.9788239570455255,0.9370846481062489,0.981757786182518,0.9834864460506327,0.9563621230884898,0.9865044420496323,0.9774190303310066,0.9777671527774567
Twin_DZ_3B,0.9820232843497367,0.9829258807991785,0.9857259775280336,0.967265402042047,0.9854421561197104,0.9960974248843754,0.9809230964247936,0.9766054923573152,0.9824045732116939,0.9726757725815114,0.9832089837440006,0.9508117763038084,0.962981168874385,0.9737096447026301,0.9818472491795223,0.9863929884398537,0.9831643673709745,0.9864701243826379,0.9844520466217526,0.9632601950442361,0.9851559125254592,0.9821331254808251,0.9485587112925724,0.9768490869281532,0.9684186403866835,0.9703656894067855
Twin_DZ_4A,0.9811159956098633,0.9858161759450484,0.9868449370060981,0.9778900427844128,0.9886281103039877,0.9809990938674922,0.9941072681738362,0.9881547271254167,0.9806290147423826,0.9701452469164731,0.9787986708557015,0.9737915592954465,0.9769468508226318,0.9827832931543944,0.9804602594846072,0.9844796328459247,0.982464470565793,0.9796186502999646,0.9787790509803951,0.9344931683039253,0.9832176739694549,0.983735744496727,0.9655106851417719,0.9872381206120296,0.9817060470092009,0.9813271867245563
Twin_DZ_4B,0.9836252434440803,0.98347790274551,0.9853489130201303,0.974887131599881,0.9923423523512673,0.9838636042178004,0.9906597102424866,0.9956047650619898,0.9838667268370411,0.9729665868139664,0.983459847029239,0.9726244214674414,0.9790701541859183,0.9871025060048688,0.9809857241898338,0.984987305307696,0.9800340229875831,0.9799098981736655,0.9776733442984467,0.9330085698467896,0.9832962122122343,0.9831525556874003,0.9569570223011679,0.9886990770582316,0.9721529650426284,0.9733387528146511
Twin_DZ_5A,0.9804205619582285,0.984446533776213,0.9874382908458647,0.9604477695840222,0.9829130851565646,0.9789770878434583,0.9780557564383907,0.9791720882142214,0.9970657928620048,0.9721728443404964,0.9872478276174853,0.9549778539748415,0.9644045448797101,0.9749664436257455,0.9748767848454398,0.9804632497558028,0.9703453211131752,0.9825713035004966,0.9799080622545415,0.9575304710411885,0.9798625796013472,0.9741633668875826,0.9352969117837059,0.9807484085289002,0.9626761827570918,0.9721884160003491
Twin_DZ_5B,0.9793794944023335,0.9833174360535522,0.9810308596046612,0.9526785003552124,0.9870889436025183,0.9796482022648783,0.974300928324742,0.9784121139746211,0.980991103207282,0.9889555782713948,0.9874312191730265,0.963843315732464,0.9709777049079305,0.9797139862693716,0.9680193473944887,0.9807958737809249,0.9690534245627945,0.9818212703207045,0.9759382063200972,0.9494764015110303,0.9731472920757758,0.9677484573739165,0.9438538660255955,0.979069437818394,0.9699238336588221,0.971855898900003
