region,region,hemi,func_grad,x.mni,y.mni,z.mni,OMEGA_dir,HCP_dir
G front sup,RF,right,1,9.28,22.781,52.457,1.353318489,1.35045389
G insular short,LT,left,2,-35.043,8.586,-2.554,1.315096167,1.301436027
G insular short,RT,right,2,36.318,9.454,-2.202,1.292768886,1.306493276
G oc-temp lat-fusifor,LT,left,3,-35.646,-53.889,-17.966,1.28808018,1.277787336
G oc-temp lat-fusifor,RT,right,3,34.63,-52.534,-17.037,1.344889224,1.332456656
G oc-temp med-Lingual,LO,left,3,-11.197,-73.654,-5.086,1.332281526,1.316372673
G oc-temp med-Lingual,RO,right,3,12.425,-67.656,-4.46,1.344392015,1.324818064
G oc-temp med-Parahip,LT,left,1,-23.67,-19.45,-26.838,1.328287948,1.310756615
G oc-temp med-Parahip,RT,right,1,25.122,-16.652,-27.74,1.318725661,1.322325289
G occipital middle,LO,left,3,-39.239,-82.374,11.232,1.330794261,1.32674491
G occipital middle,RO,right,3,40.033,-79.453,12.821,1.322850361,1.323693615
G occipital sup,LO,left,3,-14.847,-86.955,26.707,1.341438805,1.312736111
G occipital sup,RO,right,3,18.948,-85.935,31.252,1.334283756,1.352481517
G orbital,LPF,left,1,-27.36,30.677,-17.425,1.315842266,1.326932038
G orbital,RPF,right,1,26.58,30.04,-17.02,1.331257027,1.304031967
G pariet inf-Angular,LP,left,1,-42.927,-64.441,38.345,1.320570528,1.296737671
G pariet inf-Angular,RP,right,1,46.059,-60.622,39.301,1.31717792,1.308023658
G pariet inf-Supramar,LP,left,2,-55.777,-36.111,31.904,1.342852256,1.324646999
G pariet inf-Supramar,RP,right,2,56.53,-31.724,30.782,1.351267138,1.32462204
G parietal sup,LP,left,3,-18.662,-57.73,58.569,1.309943575,1.313941507
G parietal sup,RP,right,2,18.166,-53.808,60.08,1.341767397,1.310464355
G postcentral,LC,left,2,-45.544,-25.929,54.949,1.31317184,1.307090876
G postcentral,RC,right,2,45.826,-23.617,54.373,1.308557306,1.299210301
G precentral,LC,left,2,-41.773,-9.72,51.554,1.318165668,1.308957102
G precentral,RC,right,2,40.651,-8.156,53.418,1.358380785,1.342386434
G precuneus,LP,left,1,-7.562,-58.501,45.07,1.321546867,1.323428944
G precuneus,RP,right,1,7.723,-59.505,46.822,1.333662563,1.335375519
G rectus,LPF,left,1,-5.893,36.009,-20.016,1.308602045,1.304869664
G rectus,RPF,right,1,6.54,33.631,-20.422,1.360067633,1.326838548
G subcallosal,LL,left,1,-5.987,15.553,-8.696,1.277875497,1.273260156
G subcallosal,RL,right,1,6.973,15.34,-11.926,1.46442809,1.48271166
G temp sup-G T transv,LT,left,2,-47.781,-21.011,5.17,1.339299247,1.331193451
G temp sup-G T transv,RT,right,2,48.106,-19.114,5.111,1.30893243,1.305192449
G temp sup-Lateral,LT,left,2,-59.331,-15.346,-0.934,1.360808764,1.316539338
G temp sup-Lateral,RT,right,2,60.502,-12.851,-0.826,1.302609223,1.31909292
G temp sup-Plan polar,LT,left,1,-37.993,2.343,-25.039,1.311137912,1.296926951
G temp sup-Plan polar,RT,right,1,40.349,3.752,-24.303,1.344487123,1.348183283
