name,x.mni,y.mni,z.mni,lobe,hemi,index,class,name2,,region
lG_occipital_sup,-14.847,-86.955,26.707,Occipital,L,20,G,G_occipital_sup,,G occipital sup
rG_occipital_sup,18.948,-85.935,31.252,Occipital,R,94,G,G_occipital_sup,,G occipital sup
lG_orbital,-27.36,30.677,-17.425,Frontal,L,24,G,G_orbital,,G orbital
rG_orbital,26.58,30.04,-17.02,Frontal,R,98,G,G_orbital,,G orbital
lG_pariet_inf.Angular,-42.927,-64.441,38.345,Parietal,L,25,G,G_pariet_inf.Angular,,G pariet inf-Angular
rG_pariet_inf.Angular,46.059,-60.622,39.301,Parietal,R,99,G,G_pariet_inf.Angular,,G pariet inf-Angular
lG_pariet_inf.Supramar,-55.777,-36.111,31.904,Parietal,L,26,G,G_pariet_inf.Supramar,,G pariet inf-Supramar
rG_pariet_inf.Supramar,56.53,-31.724,30.782,Parietal,R,100,G,G_pariet_inf.Supramar,,G pariet inf-Supramar
lG_parietal_sup,-18.662,-57.73,58.569,Parietal,L,27,G,G_parietal_sup,,G parietal sup
rG_parietal_sup,18.166,-53.808,60.08,Parietal,R,101,G,G_parietal_sup,,G parietal sup
lG_postcentral,-45.544,-25.929,54.949,Parietal,L,28,G,G_postcentral,,G postcentral
rG_postcentral,45.826,-23.617,54.373,Parietal,R,102,G,G_postcentral,,G postcentral
lG_precentral,-41.773,-9.72,51.554,Frontal,L,29,G,G_precentral,,G precentral
rG_precentral,40.651,-8.156,53.418,Frontal,R,103,G,G_precentral,,G precentral
lG_precuneus,-7.562,-58.501,45.07,Parietal,L,30,G,G_precuneus,,G precuneus
rG_precuneus,7.723,-59.505,46.822,Parietal,R,104,G,G_precuneus,,G precuneus
lG_rectus,-5.893,36.009,-20.016,Frontal,L,31,G,G_rectus,,G rectus
rG_rectus,6.54,33.631,-20.422,Frontal,R,105,G,G_rectus,,G rectus
lG_subcallosal,-5.987,15.553,-8.696,Limbic,L,32,G,G_subcallosal,,G subcallosal
rG_subcallosal,6.973,15.34,-11.926,Limbic,R,106,G,G_subcallosal,,G subcallosal
lG_temp_sup.G_T_transv,-47.781,-21.011,5.17,Temporal,L,33,G,G_temp_sup.G_T_transv,,G temp sup-G T transv
rG_temp_sup.G_T_transv,48.106,-19.114,5.111,Temporal,R,107,G,G_temp_sup.G_T_transv,,G temp sup-G T transv
lG_temp_sup.Lateral,-59.331,-15.346,-0.934,Temporal,L,34,G,G_temp_sup.Lateral,,G temp sup-Lateral
rG_temp_sup.Lateral,60.502,-12.851,-0.826,Temporal,R,108,G,G_temp_sup.Lateral,,G temp sup-Lateral
lG_temp_sup.Plan_polar,-37.993,2.343,-25.039,Temporal,L,35,G,G_temp_sup.Plan_polar,,G temp sup-Plan polar
rG_temp_sup.Plan_polar,40.349,3.752,-24.303,Temporal,R,109,G,G_temp_sup.Plan_polar,,G temp sup-Plan polar
lG_temp_sup.Plan_tempo,-57.002,-41.383,15.188,Temporal,L,36,G,G_temp_sup.Plan_tempo,,G temp sup-Plan tempo
rG_temp_sup.Plan_tempo,58.087,-34.708,15.135,Temporal,R,110,G,G_temp_sup.Plan_tempo,,G temp sup-Plan tempo
lG_temporal_inf,-51.331,-37.894,-24.64,Temporal,L,37,G,G_temporal_inf,,G temporal inf
rG_temporal_inf,52.585,-34.688,-23.578,Temporal,R,111,G,G_temporal_inf,,G temporal inf
lG_temporal_middle,-58.882,-35.896,-12.614,Temporal,L,38,G,G_temporal_middle,,G temporal middle
rG_temporal_middle,59.788,-33.921,-12.556,Temporal,R,112,G,G_temporal_middle,,G temporal middle
lLat_Fis.ant.Horizont,-38.82,32.499,-2.872,Frontal,L,39,S,Lat_Fis.ant.Horizont,,Lat Fis-ant-Horizont
