Subjects,Twin_MZ_1A,Twin_MZ_2A,NotTwin1,Twin_DZ_1A,Twin_DZ_2A,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_MZ_3A,NotTwin2,Twin_MZ_4A,NotTwin3,Twin_DZ_2B,Twin_MZ_5A,Twin_MZ_6A,NotTwin4,NotTwin5,NotTwin6,Twin_DZ_5A,Twin_MZ_7A,Twin_DZ_6A,Twin_MZ_8A,Twin_MZ_3B,NotTwin7,Twin_MZ_9A,Twin_MZ_10A,Twin_DZ_7A,NotTwin9,NotTwin10,NotTwin11,Twin_MZ_11A,Twin_MZ_12A,NotTwin12,NotTwin13,Twin_MZ_13A,Twin_DZ_8A,Twin_MZ_11B,Twin_DZ_9A,Twin_MZ_14A,Twin_MZ_15A,Twin_MZ_14B,NotTwin14,Twin_DZ_10A,Twin_MZ_10B,Twin_MZ_8B,NotTwin15,Twin_DZ_4B,Twin_MZ_16A,Twin_DZ_11A,Twin_MZ_17A,Twin_MZ_1B,Twin_MZ_4B,Twin_DZ_6B,Twin_MZ_18A,Twin_DZ_10B,NotTwin16,Twin_MZ_16B,Twin_DZ_12A,NotTwin17,Twin_DZ_7B,Twin_MZ_6B,NotTwin18,NotTwin19,Twin_DZ_8B,Twin_MZ_7B,Twin_MZ_15B,NotTwin20,Twin_MZ_12B,Twin_MZ_18B,NotTwin21,NotTwin22,Twin_MZ_19A,NotTwin23,Twin_MZ_2B,NotTwin8,NotTwin24,Twin_DZ_1B,Twin_DZ_13A,Twin_DZ_12B,Twin_MZ_5B,Twin_DZ_13B,Twin_DZ_9B,Twin_MZ_13B,Twin_MZ_17B,Twin_DZ_11B,Twin_DZ_5B,Twin_MZ_9B,NotTwin25,Twin_MZ_19B
NotTwin1,0.9591429510137177,0.9474859801506176,0.9930686690695254,0.9558116180203053,0.9608111637706167,0.9612511344745613,0.9504402482762241,0.9520597576731977,0.9592186745708485,0.9506309459069195,0.9643734352451124,0.9565199508609825,0.951742647117503,0.9395308511238083,0.9477856563848218,0.9546821298344628,0.9598371284772385,0.9590020094905427,0.9461977984312697,0.9484928494292346,0.9551128676003541,0.9625164320166711,0.924526216361927,0.8897067441127863,0.9699477558693645,0.9599744191467372,0.9618639784332054,0.9404979776085399,0.9666634807994999,0.9603495316395012,0.9645799394299963,0.9577776217938443,0.9696478974608703,0.9575178685255059,0.955652970355622,0.9465713920023024,0.9610597563987452,0.9418404022052592,0.9255191404431562,0.9569169732287237,0.9462096369388263,0.9533584491456576,0.9528617393348898,0.9631048744395809,0.967568144524163,0.9372642723872278,0.959554059826563,0.952731409902813,0.9534528751107928,0.965322897328873,0.9579278427571571,0.9620511928943192,0.9542783530266814,0.9628298010702463,0.9274885742209684,0.9670385497034545,0.9615625612726464,0.9487101678682236,0.9630260191267774,0.9575897952524144,0.9475586263330628,0.9627443295977622,0.9594874414878418,0.9576008499396444,0.9589898991969578,0.95393798979363,0.946337719490826,0.9491209813482832,0.9674667439079082,0.9552605425343452,0.9590086731812488,0.9562014353381485,0.9466635588392324,0.9505064783735668,0.9300473138156964,0.9262264054776875,0.9624275721761952,0.935938100035607,0.9626775597982976,0.9598491649064469,0.9411638631445582,0.9456875412941024,0.9556097499983287,0.9629067952246406,0.9493114899035999,0.9541156013383727,0.9672092671247274,0.9642317197960018,0.9561917974426324
NotTwin2,0.93839100520414,0.9450851096442003,0.9565153791188672,0.9528363935287436,0.9587335689206613,0.942550009042622,0.9490874503885698,0.9430428718468029,0.9450114428858619,0.9918842859486707,0.9574728422782929,0.9487870696862004,0.9464999578037824,0.9193068308354273,0.943680815576758,0.9436816661840777,0.9505307879092837,0.9582835882490397,0.9383114670532073,0.9516587510235834,0.950215251513207,0.9459067140145022,0.8988659913426511,0.8908218544138797,0.9581621448572966,0.9478946319831574,0.9401110592023687,0.9531078718346223,0.9588027275434872,0.9642816959352265,0.9594716746521701,0.9431647289910695,0.9570534213678414,0.9503765837180984,0.9395822230524493,0.9475128214801434,0.9574478737580896,0.9407365225988162,0.9013766716769043,0.9292636299671433,0.951785298563562,0.9395125256982951,0.956473210643208,0.9588077839325748,0.9491117596460084,0.9535485567720716,0.9439354201472077,0.9532498578072817,0.9504296161039907,0.9503144755893831,0.9378585772150769,0.9495758399678829,0.9327165604203724,0.9386201138856013,0.9495197946028575,0.954746742965346,0.9508752452568393,0.9290288750866067,0.9506331431039945,0.9470102568305103,0.9368002845799417,0.9492466873579137,0.9498652318030587,0.9571990791303255,0.9600264617602876,0.9236283748489422,0.9469362609769572,0.934060680704631,0.9368821281633162,0.9290649368481213,0.9612544304597357,0.9517603111562309,0.9517096668311364,0.9426168932844939,0.9196123553314787,0.9337694486213319,0.9589308746276404,0.9135931644314119,0.94796528232522,0.9587224277241845,0.9235851927838848,0.9465182974405972,0.9404530535963395,0.9452248197581328,0.9428815995709503,0.9396679904074479,0.9505839689709588,0.9534370936101884,0.9432633990152512
NotTwin3,0.9552083741085086,0.9522853899450283,0.9589703681374837,0.9497203532159025,0.9570387552607205,0.9545687771175411,0.9467180057966413,0.9537375330758388,0.9489382061308331,0.9477721249294067,0.9535653868945206,0.9947540963112124,0.9518240228986645,0.9197837895689129,0.9416663805186014,0.957659323341777,0.9617109180106795,0.9596831527844732,0.9563154504718809,0.9494911451373492,0.9562687107093536,0.955376188826584,0.9199865015249241,0.9035611868043069,0.9665953398758036,0.9586854464455571,0.9527982541657661,0.9471501692712274,0.9627448894062106,0.9613822923268043,0.9644316702273912,0.9501935177422656,0.965174343680214,0.9622695401451989,0.9488112935944322,0.9447440738122206,0.9622800786272363,0.9440203975503456,0.9067510369540313,0.9424655489050118,0.9472647830970178,0.9510054015021433,0.9545574813986523,0.9608483317095461,0.9612235326929441,0.9516354245683252,0.950615431639708,0.9575381730834172,0.9475411703823141,0.9597583843314601,0.9514261334613594,0.952393861893305,0.9522962231271953,0.9559049473330302,0.9346376106259986,0.957521302767601,0.9537903836606172,0.9479709951776385,0.9609187009857978,0.9490196899977896,0.9378567354959562,0.9563868114175291,0.9484784392706739,0.9566704404616531,0.9613399555432647,0.9416838932867051,0.9367769394855968,0.942367932444444,0.9510107333496687,0.9477588800559572,0.9545865613167166,0.9490244403933514,0.9430493088016564,0.9525205178232468,0.9241134550634983,0.9292418642203356,0.9640896280438731,0.9163919114569734,0.9586069141693789,0.9525476414120431,0.92480246847166,0.9520834762851929,0.9487255532100419,0.9533436214997397,0.9405307509384337,0.951777143500423,0.9632447584732429,0.9537025413935334,0.949609315251652
NotTwin4,0.9533773596241343,0.9501428767512208,0.9544292894523219,0.9535004200266708,0.9546307622512136,0.9522375061629669,0.9464794799211662,0.9602392252452376,0.9535538407303971,0.9360976780515219,0.9614986810638486,0.9478461445844355,0.9498029437651541,0.9398537674132161,0.9488934811209475,0.9847207879199706,0.9599200745847853,0.9513891221880202,0.9537710576659697,0.9395777704249881,0.9437927344728615,0.9579650376986395,0.9226633329072494,0.9118012844636407,0.9602469070172672,0.9579123713063005,0.9448083014996909,0.9348360998765264,0.9521894555156667,0.9532945722569897,0.9535997477289702,0.9529982838315196,0.9546285338124221,0.9601077266666895,0.9533307546938978,0.9535074703265154,0.9462800423216031,0.9486058810532254,0.9275587690466459,0.9421826565482658,0.9474759375722092,0.944103253909116,0.9491892191014477,0.9593221016735992,0.9573237096263378,0.9402718347599179,0.9560333295578702,0.945332401772428,0.9458501075030723,0.9522123867506074,0.9529270864173968,0.9501372684285156,0.9518406520386149,0.9560072420525958,0.9104411346602704,0.9518843518914845,0.9413857782845396,0.951817066398585,0.9594119712205944,0.9428787091611008,0.9452762378874349,0.9500291159125736,0.94997771901784,0.9546940024206731,0.9541479992396587,0.9342225341331785,0.9503883098811597,0.9519886981975607,0.9510396809954385,0.9471907903337609,0.9400953126707927,0.9569107944984238,0.9485293088413214,0.9496278356140752,0.9235003676112847,0.9404358581846615,0.9518142802930838,0.930516276808173,0.9640403341380106,0.9532010051949138,0.9369743420314041,0.9403171242811887,0.9512729969786238,0.9463561154762798,0.9440119594276424,0.9489841881087029,0.9589120048944468,0.9559218816984734,0.9628737498305693
NotTwin5,0.958583755665358,0.9506665106857549,0.9592482216196938,0.9582593806592021,0.966099559970026,0.9654094861842883,0.9588225302936738,0.9650757264342051,0.9561419855130935,0.9457654713631831,0.9684136670257498,0.9586943046528805,0.950577256216724,0.9372272493508885,0.9597525071132508,0.9625177289218692,0.993517647668827,0.9587924374199464,0.9569414418117403,0.953023241390285,0.9614566810100638,0.9667921732272282,0.9231291061727793,0.9139604934944908,0.9646365701294357,0.9673381292708719,0.949444736636791,0.9464990737822438,0.9599476859588312,0.9627002388142648,0.9610784966756396,0.9591822006456098,0.9642931533081633,0.9613933928436706,0.9542888152065576,0.9567804419003308,0.9565433963967112,0.9496224684521495,0.9206628149266571,0.9513593408878249,0.9512663796314573,0.9557557123354447,0.9550148466931984,0.9661695870615146,0.964308608575778,0.9440201678921207,0.9693169668693218,0.9537173795634251,0.9539376637742587,0.9669956218618748,0.9595778873384146,0.9554422973523096,0.9594474413763063,0.9629291931130646,0.9252063692204124,0.9576286455229821,0.9492907597515209,0.9591783933313147,0.9652007144073782,0.9532596736576147,0.9598443609129631,0.9614250312955922,0.9545566975788868,0.9595715631930075,0.9611402283115573,0.9439683239354217,0.9560208112003803,0.9536610835938537,0.9549319278329811,0.9593481157312203,0.9554529660126223,0.9618300719167487,0.9562379970526954,0.9527500005349645,0.9329851098252288,0.9401156788301667,0.9653364595100262,0.934363044451898,0.9632355058177129,0.9619087147321344,0.9399663730571041,0.9559688540849893,0.9568053453946569,0.9616315283712307,0.9548254195927918,0.9603612151939245,0.9642847153980583,0.9557679713654561,0.9605711550618847
NotTwin6,0.9549248368474359,0.9488108099443966,0.9578014719867691,0.9590923566517582,0.965885017019227,0.9567880424816507,0.95728324931807,0.9600871151903673,0.9505928060910886,0.9511075270716355,0.9646946664032183,0.9569738208366556,0.959452227017268,0.9388454699676905,0.9551198931096401,0.9507236934249559,0.959331430299637,0.9943322219321817,0.9577821701409432,0.959833298701529,0.9585523778880791,0.9614904654993714,0.9216458036965152,0.902088123012232,0.9641904949965499,0.9546600701173726,0.9543513048733401,0.9613432924353255,0.9617394852098968,0.96549654321574,0.9661188662789459,0.9597722483864578,0.963591419809052,0.963414196255798,0.9628405662254117,0.9598831413385625,0.9632060168996575,0.9543276609217937,0.9180304001597694,0.933193365947321,0.9650276025896886,0.9423199983706748,0.960333203259151,0.9625816213447893,0.9594206630364588,0.9444659527211886,0.9612562668545941,0.9580280283599623,0.962785668188501,0.9621317277435248,0.9564608889188217,0.958264314770125,0.9392926758852211,0.9544897322768245,0.9395566120907689,0.9597521776868404,0.9623612168023741,0.9466262897718913,0.960228284056938,0.9485000095977358,0.9566719958498002,0.9550762468726286,0.9589544406615085,0.9622744216962704,0.9671498245450867,0.940128707327259,0.9574464351703615,0.9505835176273232,0.9535172441985225,0.9469207248807319,0.9584595544837753,0.9560733493984939,0.9590914342704739,0.9504198652050303,0.9245540956286524,0.9437783543109746,0.966397327528836,0.9239744733890655,0.9565975234158919,0.9654223658595511,0.9322153657052545,0.9559714659111365,0.9611790712990274,0.9543837413903153,0.9580930983818998,0.9496857296793755,0.9608429480199863,0.9532334463152143,0.9591213433699541
NotTwin7,0.942206965329974,0.9523053759691382,0.9580918105735008,0.9608489128048956,0.9632043685467097,0.9646914130643711,0.9690363511439397,0.9606548587146582,0.9516860611331237,0.9537874190060112,0.9649448317746547,0.9544815752487712,0.9458451503977072,0.9360958096297214,0.9517425224669475,0.9562684388749213,0.9615223083918486,0.9632002292648688,0.9607899983904513,0.9633367511039626,0.9673980049744115,0.9653906484858248,0.9283633173090953,0.9269352486285254,0.9659751572580446,0.9617132861486549,0.9510657352370403,0.9592674560793231,0.9662898623571654,0.9699261013220051,0.9658814697526314,0.9577791746638722,0.9621823562362475,0.9631674290173396,0.9511940864144506,0.9537719190601813,0.9670696402470236,0.9501850747748317,0.9202487146710097,0.9478705043358904,0.9589106528678641,0.9581371388770563,0.9705202792582509,0.9635019277463124,0.9630116179272208,0.9511027275107353,0.9581687687835867,0.968276094984273,0.9636175136856031,0.9638111891726779,0.9486716228577747,0.9616164738131212,0.9481674327134391,0.9607334405410627,0.9573531214578761,0.9684255624123234,0.9670035319656776,0.9467473513078632,0.9581585138505426,0.9467541719349768,0.9507880023875133,0.9637099510414842,0.9618876011517882,0.9630417695958908,0.9665711336355831,0.946682908932555,0.9537212972180772,0.9537437295875686,0.9524967803557933,0.9507352575089204,0.966633010675725,0.952290001477166,0.9589362407638252,0.9501898988508027,0.9271212159146505,0.9336114863400911,0.9648486835991537,0.9320503518350518,0.9585884342321613,0.9657854751239853,0.9351656880439971,0.9545038346043873,0.9533122874277912,0.9591265066355912,0.9561249043541746,0.96257704762442,0.963499914322999,0.961159485087314,0.9539082334834246
NotTwin8,0.9404139896274,0.9331230330583521,0.9531770764764788,0.9335803504404849,0.9406715638407057,0.9354248829765234,0.9303274401685468,0.9543925899904253,0.9327257120238457,0.9324060056866503,0.9484465289889861,0.9430689840415446,0.9327916367176969,0.9323424759975714,0.9359389515388363,0.9369418962072961,0.9434755227736137,0.9405072323359511,0.9321505922892266,0.9295379951897177,0.9391512641421962,0.9484986118065091,0.9199896028344402,0.8967350928437521,0.952176045871615,0.949261788555593,0.9425457057198169,0.9175335082363345,0.9526768199091402,0.9465579725619511,0.951549875541248,0.9431339054482442,0.9516430375610003,0.9495339108259568,0.9389404609777674,0.9260030416151961,0.9387296486341966,0.924843822426352,0.8937842249530586,0.9405842345259049,0.9347815502167174,0.9359483866521099,0.9354944633546058,0.9552608026408949,0.9481773637783841,0.9243117094377689,0.9420341547809123,0.9322801269448953,0.9358468247916144,0.9485104224365264,0.9454494411609116,0.9482525518867149,0.9535657795345232,0.9435642778975242,0.910845676411997,0.9409210173684006,0.9467209123808611,0.9340684943148577,0.9450735204392987,0.9469110492246502,0.9347498854372437,0.9403462490869472,0.9423414599193716,0.9424283728895877,0.941938878443005,0.9374310481923734,0.9191022156021906,0.9466827003049569,0.9452790790829422,0.9399330706101372,0.9320691597378434,0.9415810765073231,0.9348861003843578,0.9379623564192043,0.9633342359469027,0.9229313220806761,0.9393425486405111,0.9281806436323339,0.9487457898869907,0.9365399019131484,0.9414496200858974,0.9342097037664658,0.9353140809348133,0.9486762713201402,0.927529521483768,0.9403010368381584,0.9475515301191693,0.9412097080657862,0.9412680188681999
NotTwin9,0.9187117077745734,0.9294819390036471,0.9379227543678992,0.9477314081188999,0.9468129095059696,0.9365522955410392,0.9559116550748297,0.9397993583779439,0.9244880419413675,0.934785334218024,0.9410039004390116,0.9398652474123478,0.9304996587210789,0.9171751984079304,0.9389086386977543,0.9293362913962485,0.940031517183413,0.9517350668427934,0.9463210519554113,0.9583404864990538,0.9527148618137846,0.9395497948806897,0.924228984838777,0.8910998770770966,0.942617688953896,0.9422158693031554,0.9209247486928169,0.9862897368641939,0.9442225274666289,0.9562221198864098,0.9515884675468357,0.9467060188811365,0.9465757266256791,0.9480823142341922,0.9428680078618271,0.9549314764130478,0.9527792860168449,0.948652858172923,0.8848126260212872,0.9163631517324236,0.9508539126602606,0.9329833029254664,0.9565137000011397,0.9437744466720315,0.9416108126466749,0.9328097530503554,0.9465587893689975,0.9513041993685502,0.9481879731450856,0.9488106209189155,0.9211898685840882,0.9392610814441282,0.9195623340593919,0.9324523989938038,0.9571074529641765,0.9461843003004107,0.9541399032668552,0.9180641399202506,0.9278148193009201,0.9273038594236069,0.9339622447396043,0.9474940297892791,0.9373431263682652,0.9503361769029934,0.9589300879469653,0.9199352409605539,0.9364501407743582,0.946832591922444,0.9296858084088244,0.9280535180798248,0.9581565812474455,0.929515791795797,0.9370279630545724,0.9379970794946779,0.9131640805361827,0.9259127102853777,0.9534375348365041,0.9070643249289851,0.9327141009333388,0.9524203944170058,0.9223632967083144,0.9497906914570204,0.9375367354642674,0.9431975564936096,0.944537293602895,0.9438614686826681,0.9317022732533482,0.9365727676151251,0.9276018340690737
NotTwin10,0.9629668740693209,0.9560266113186828,0.9673688191756031,0.9621702083631718,0.9652434021999597,0.959450212274827,0.9576224489976749,0.9586507904746395,0.9616432516691861,0.9520514392380144,0.9648048422321563,0.9595412153406141,0.955720363894805,0.9311478005846963,0.9584037262803262,0.9587404767065149,0.9630124881069164,0.9618076497790036,0.9549145334209419,0.960229035660073,0.9657656308747535,0.9706183646074271,0.9250669137481856,0.9019382723639497,0.9696376073475573,0.9688497899817535,0.9599498995653784,0.949465991398512,0.9940979015796911,0.9693170154129259,0.9719065763277064,0.9615403168836636,0.9691886860728283,0.965631054245766,0.9571504027613273,0.9528492350414042,0.969329822602483,0.948026552558739,0.9157055186670426,0.9594278425482412,0.9572468706945894,0.9597376363093181,0.9615052853697357,0.9686192488439298,0.9740112937136213,0.9533292078606264,0.9635986287196563,0.9620387100324472,0.959170225435612,0.9704577130599746,0.9610740300130214,0.957802480940519,0.9590653818239082,0.968204684470273,0.9413689658338342,0.9630785590285229,0.9607060796492418,0.9507008995570317,0.9623840503319234,0.9648412705030158,0.9566099415885231,0.9619394708138995,0.9587093871552741,0.9696868389274668,0.9661364850610081,0.9576807845262578,0.9472199586706265,0.9495418346158542,0.9672984408029112,0.955887015984344,0.9604116621650753,0.9559601602517176,0.9559996668753079,0.955487034070968,0.9286193192872407,0.9379063300786663,0.9690118659692986,0.9221930604586814,0.9630416566535773,0.9615964952466008,0.9287904635505134,0.9547761845227113,0.9561011287343057,0.9660162001737185,0.9486903161492992,0.9632244615792578,0.9709167458917083,0.9641937248457718,0.9551112197994769
