Subjects,Twin_DZ_1A,Twin_DZ_1B,Twin_DZ_2A,Twin_DZ_2B,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_DZ_4B,Twin_DZ_5A,Twin_DZ_5B,Twin_DZ_6A,Twin_DZ_6B,Twin_DZ_7A,Twin_DZ_7B,Twin_DZ_8A,Twin_DZ_8B,Twin_DZ_9A,Twin_DZ_9B,Twin_DZ_10A,Twin_DZ_10B,Twin_DZ_11A,Twin_DZ_11B,Twin_DZ_12A,Twin_DZ_12B,Twin_DZ_13A,Twin_DZ_13B
Twin_DZ_1A,0.9780731701092111,0.8392833690579803,0.8842993553299852,0.8322412685472218,0.8992288152128687,0.8856730770794684,0.865577852062011,0.803235944186902,0.8536096477506181,0.7950632826186748,0.7711522333581254,0.6889745413150998,0.81064307533221,0.739119451504643,0.8618666382871446,0.8770829357119143,0.882622131978392,0.8912709039693683,0.882067231011357,0.6715666251246825,0.8712475857066805,0.854939922215348,0.8376889931008262,0.8235361585329422,0.9029860544403655,0.8693455503630697
Twin_DZ_1B,0.8647883775834124,0.9865699817863175,0.8854545386369381,0.8003554372721833,0.8903939940692807,0.8620558653828914,0.8711124501679813,0.8956771293024461,0.8826532053090037,0.8620966755990684,0.8591494438044749,0.777823877202107,0.8446646034656112,0.8393116286901623,0.8349126028929243,0.8616054487925253,0.8306322309389214,0.8860083802017769,0.8964392558251179,0.7245737708259067,0.8700416763478016,0.8299928247340386,0.8305733956566209,0.8884830063918503,0.8695152499339415,0.8796700550310358
Twin_DZ_2A,0.8786273040032094,0.8765938336682721,0.989005828067677,0.8701547153250075,0.8949415798532091,0.9000186584117806,0.8878105068185097,0.8605381079570913,0.8672036129807235,0.8397779304769865,0.8077297887604308,0.7293123638072662,0.8504234710195238,0.7886924281885517,0.8788475486006082,0.89132704431572,0.9070572317416793,0.9042934151247813,0.9025270826039693,0.7060951555206404,0.9046761851819545,0.877776918292436,0.8583916128317768,0.8626267878144944,0.908297051852641,0.9041909748964452
Twin_DZ_2B,0.8121567624115544,0.8127347038420933,0.8572111208994947,0.9927118231886202,0.8698437966060732,0.866477278712272,0.8934230498177729,0.8396984206066951,0.7769405671678697,0.7905288199494683,0.739528293126052,0.7421946820777499,0.8302715124514091,0.7793767459312408,0.8965171191268315,0.8699934600757777,0.8995300648206469,0.82773870145097,0.8518842908811471,0.6118761368945049,0.8854184951273267,0.8995943301740854,0.8615483389725846,0.8021434679140632,0.8674530834724917,0.8544474433435395
Twin_DZ_3A,0.8575848039500787,0.8865739055867317,0.8685328820925649,0.8400944597437632,0.972246214259813,0.8719287331585305,0.8876138620573978,0.9134628199169118,0.8551204256220981,0.8719480057980669,0.8667307663397033,0.8369016213087105,0.885117006543938,0.8755619601917175,0.8557788885485341,0.8474726330864023,0.8495069814745724,0.8629755289770186,0.8871196535286581,0.6720078411524927,0.8739346544334398,0.8429802516521964,0.8689466066604485,0.8703224932483622,0.8604465272108942,0.8570938657602633
Twin_DZ_3B,0.8612248918096936,0.8638309629607759,0.8968049262653216,0.8759079303158596,0.901378884173089,0.9912403821303082,0.8757932451463111,0.8534504268098266,0.8660755242845725,0.8451757819153372,0.7879092172799151,0.7334460619435633,0.831172343051233,0.7725197149670534,0.891758780123219,0.8710679801989353,0.89466979699691,0.8675660490994122,0.8871925300026517,0.7015775229067173,0.890020692108391,0.8704141097730682,0.847794481235183,0.8430379365588266,0.8901690737143862,0.8756814933537015
Twin_DZ_4A,0.860123235996431,0.8635532437847291,0.8825848617648867,0.8874890496272589,0.9052357497876796,0.8737760279457895,0.9934646211003071,0.8815896048453182,0.8468961528159851,0.8379246608425147,0.8094311189858876,0.7672238488120688,0.8672730351283429,0.8062714232043191,0.8830067464548161,0.8715280868166774,0.8786028662337703,0.8712695806434206,0.8669500101464184,0.6399894060549889,0.8899683356323872,0.8811642196200007,0.878804340136895,0.86345478711166,0.8713282451543688,0.8934467327913808
Twin_DZ_4B,0.7878079899254138,0.8869072603665248,0.8340430466910767,0.7794104155095913,0.8768214464380671,0.8102212321241613,0.8474574800069865,0.9714233908978417,0.857272456332056,0.8687142055817443,0.8666636789387979,0.7926288004859732,0.8157128808246326,0.8411274930557336,0.7847091212453096,0.8018513368264689,0.7879712735693396,0.8223537784892144,0.8441037465874263,0.6360967946061673,0.8368007023739689,0.7744794179673841,0.8105564779245021,0.8550933831381099,0.7986962898024806,0.810080396207589
Twin_DZ_5A,0.8430075178303706,0.8815188187665468,0.8669431117567489,0.7700196359369997,0.8655302084139225,0.8585397852949261,0.8445645844126846,0.8728213938613532,0.9857842462731221,0.8782154384794724,0.8605680099356658,0.7234393201901285,0.7833319722342001,0.7928584516193791,0.8039473827321234,0.8375164640114651,0.8049372853924024,0.8432376458444805,0.8658238473935116,0.6990029332711125,0.8515972596162174,0.7879448044162557,0.7877366307904352,0.8509686817368879,0.8209786956560247,0.8358663420325896
Twin_DZ_5B,0.7774798097680619,0.848691448535956,0.8244143323516444,0.7630812965754319,0.828176389720048,0.806149677326724,0.8179919271771228,0.8528981698384233,0.8446035143778441,0.9876430994182309,0.8611253950329855,0.8013940037196214,0.7965756901050919,0.8472174721383665,0.7796474885447526,0.8242887120919398,0.7620605229391935,0.7958641777515779,0.8390642402941058,0.6712670620222889,0.8218399747159107,0.7588097224513763,0.7871583537376339,0.8386065923993515,0.7736640471478713,0.8110307470895081
