ID,Z_score
Twin_MZ_1A,0.4593402016369645
Twin_MZ_2A,0.3937234737727099
NotTwin1,0.4248642260422876
Twin_DZ_1A,0.36364326393456936
Twin_DZ_2A,0.3894333294649684
Twin_DZ_3A,0.2854995533780901
Twin_DZ_3B,0.4955499689938383
Twin_DZ_4A,0.2359287984654286
Twin_MZ_3A,0.4234176846657859
NotTwin2,-2.0115617107064114
Twin_MZ_4A,0.46976301810328336
NotTwin3,0.4709191696763207
Twin_DZ_2B,0.41976547517650964
Twin_MZ_5A,-0.6344316341121095
Twin_MZ_6A,0.4960929183679102
NotTwin4,0.42456473088312846
NotTwin5,0.47033176793221265
NotTwin6,0.40031945542779657
Twin_DZ_5A,0.4107734809598747
Twin_MZ_7A,0.3948469765742947
Twin_DZ_6A,0.5191804784515246
Twin_MZ_8A,0.4721973904232233
Twin_MZ_3B,-2.601366842684495
NotTwin7,-3.4839365837361616
Twin_MZ_9A,0.5129554603619729
Twin_MZ_10A,0.5162360569399129
Twin_DZ_7A,0.11364977894886413
NotTwin9,0.4245945632458205
NotTwin10,0.46375442672752576
NotTwin11,0.37478587434623317
Twin_MZ_11A,0.39851849871542877
Twin_MZ_12A,0.4717373994333636
NotTwin12,0.5016418754040901
NotTwin13,0.49881886322190394
Twin_MZ_13A,0.5086291913716408
Twin_DZ_8A,0.49091848495178086
Twin_MZ_11B,0.3745138548503736
Twin_DZ_9A,0.4622929919143794
Twin_MZ_14A,-3.1643913583339747
Twin_MZ_15A,0.41981428800476694
Twin_MZ_14B,-1.24169437336665
NotTwin14,0.5128716054833238
Twin_DZ_10A,-0.23467534888221858
Twin_MZ_10B,0.1801351754131577
Twin_MZ_8B,0.3286817891337403
NotTwin15,-0.3832489595993297
Twin_DZ_4B,0.37312027622455746
Twin_MZ_16A,0.09523659008523985
Twin_DZ_11A,0.4837902542778632
Twin_MZ_17A,0.495359713889471
Twin_MZ_1B,0.4604763088187914
Twin_MZ_4B,-0.041595317369697085
Twin_DZ_6B,-0.41545885060705756
Twin_MZ_18A,0.30870974798279477
Twin_DZ_10B,0.44940646840692405
NotTwin16,0.1564790107812358
Twin_MZ_16B,-2.9049451278010356
Twin_DZ_12A,0.3770665834193418
NotTwin17,0.30192776504807134
Twin_DZ_7B,0.37477518280480243
Twin_MZ_6B,0.23502754962299643
NotTwin18,-0.42234272148212737
NotTwin19,0.16348324862929853
Twin_DZ_8B,0.4575316912930751
Twin_MZ_7B,0.46186490161795885
Twin_MZ_15B,0.46376760427954766
NotTwin20,-0.2581673334637896
Twin_MZ_12B,-0.07821802342583566
Twin_MZ_18B,0.342917712415211
NotTwin21,-0.0005075848078036842
NotTwin22,0.4661116445094628
Twin_MZ_19A,0.49794503601879175
NotTwin23,0.3202168645802457
Twin_MZ_2B,0.28519065448552905
NotTwin8,-1.9601211155165887
NotTwin24,-0.9777783510547584
Twin_DZ_1B,0.4572049766403557
Twin_DZ_13A,0.3203146813181851
Twin_DZ_12B,0.47267478005494395
Twin_MZ_5B,-0.36179005391491637
Twin_DZ_13B,-1.0566611977809788
Twin_DZ_9B,0.48708559511690985
Twin_MZ_13B,0.46985437142353803
Twin_MZ_17B,0.41106522591637684
Twin_DZ_11B,0.43695374958052213
Twin_DZ_5B,-5.19969440159446
Twin_MZ_9B,0.5467411387057107
NotTwin25,-0.1722103483455248
Twin_MZ_19B,0.45779236983950783
